Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R132 [4683],TRACHYTE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,224228.5695,16661.652,,88067.36640000001,,,,74853.99,56318.36,22794.911999999997,1858.6992,,26730.83,30564.5084,3796.8627,,,,,,,,,,,,,,,,20700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,114,10,,,,68,,,29,,,,,87,1256,36,506,155.1,,,,,,,,,,,,,1217,92.64,172.21,19.04,73.67,12.43,3.9,11.858,1.32,7.06,1.24,3.04,0.39,2.13,,8.47,,,,,,,,,,10,,13.86,2.58,,,,,,,,,,,,,,,,,,,,,,,,,100059
[1576][406],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / PACIFIC OCEAN,,20.23,20.23,-155.8,-155.8,SUBAERIAL,,,s HMC-6 [1576],TRACHYTE [1576],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1576] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,,5.93,2.2,,,,,,18.55,,,,,,,,,,,,,,,,,,,1007-HMC-6
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-1 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09,14.48,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,,,,,,,,,,,,,,,,,,,,,,10191
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-2 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.16,14.37,,,,,,,,,,,,,,,,,,,,,,,,0.51282,,,,,,,,,,,,,,,,,,,,,,,,10192
[181],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s A-15220 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12,14.4,,,,,,,,,,,,,,,,,,,,,,,,0.51305,,,,,,,,,,,,,,,,,,,,,,,,10195
[2745],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN,BOMBAY ISLAND,19.03,19.03,72.92,72.92,SUBAERIAL,,,s 13 [2745],TRACHYTE [2745],,,,CENOZOIC [2745],,,,GRANOPHYRIC [2745] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2745] ,299392.1175,1378.482,,80657.8524,,5105.62,30081.510000000002,,32018.56,2653.3759999999997,,,41507.5,44214.6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102729
[2745],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN,BOMBAY ISLAND,19.03,19.03,72.92,72.92,SUBAERIAL,,,s 29 [2745],TRACHYTE [2745],,,,CENOZOIC [2745],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2745] ,298644.22150000004,,,86955.9393,,1888.38,30625.62,,24943.030000000002,,,,39764.185,47849.7765,3229.5153999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102745
[1210],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-1 [1210],TRACHYTE [1210],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1210] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,14.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283092,,,,,,,10307
[1210],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-2 [1210],TRACHYTE [1210],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1210] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926,15.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283028,,,,,,,10308
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIII-F38 [4744],TRACHYTE [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,307992.92150000005,5034.455999999999,,84786.0102,,,,23474.46,7933.170000000001,2834.2879999999996,929.3496,,26149.725,56900.431899999996,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,7,,,120,30,,,,,60,48,48,560,93,,,,,,,,,,,,,2351,90.3,179,23.5,87.2,15.9,5.72,14.4,2,10.7,2.03,5.32,0.677,4.29,0.563,,,,,,,,,,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,103129
