Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA,,39.4027,39.4087,14.3868,14.3905,SUBAQUATIC,-2600,-2875,s MRS1C [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,229417.098,7132.145999999999,,93042.32579999999,,,,65215.47,71541.47,42755.536,1006.7954,,6641.200000000001,26039.180699999997,872.8420000000001,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,192,,,37,104,,,,,,,,14,355,21,94,8,,,,,,,,,,,,,195,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119492,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA,,39.4027,39.4087,14.3868,14.3905,SUBAQUATIC,-2600,-2875,s MRS1C [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,231427.06850000002,7132.145999999999,,94047.9027,,,,65526.39,71827.35,43358.576,1084.2412000000002,,6724.215,25816.6236,916.4841,,,,,,,,,,,,,,,,7500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119493,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA,,39.4027,39.4087,14.3868,14.3905,SUBAQUATIC,-2600,-2875,s MRS1B [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,229978.02000000002,7132.145999999999,,92618.925,,,,65759.58,70826.77,44323.439999999995,1084.2412000000002,,6309.14,25964.995,872.8420000000001,,,,,,,,,,,,,,,,6500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,214,,,37,118,,,,,,,,14,354,20,94,7,,,,,,,,,,,,,198,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119494,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA,,39.4027,39.4087,14.3868,14.3905,SUBAQUATIC,-2600,-2875,s MRS1H [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,229043.15000000002,6892.409999999999,,91930.8987,,,,65915.04000000001,70469.42,47760.768,1084.2412000000002,,6309.14,25594.0665,872.8420000000001,,,,,,,,,,,,,,,,6600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,252,,,38,145,,,,,,,,16,349,20,90,7,,,,,,,,,,,,,198,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119495,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS3 / TYRRHENIAN SEA,,39.4245,39.4282,14.3655,14.3695,SUBAQUATIC,-3150,-3150,s MRS3C [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"VITROPHYRIC, GLASSY GROUNDMASS (NTERSERTAL) [5163] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5163] ,233483.78250000003,6712.608,,95476.8804,,,,56665.17,69397.37000000001,42755.536,1006.7954,,8301.5,26632.666299999997,1178.3367,,,,,,,,,,,,,,,,11399.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,207,,,31,122,,,,,,,,16,409,21,109,17,,,,,,,,,,,,,349,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119497,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS2 / TYRRHENIAN SEA,,39.3895,39.3993,14.3833,14.391,SUBAQUATIC,-2425,-2725,s MRS2E [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICRO-CRYPTOCRYSTALLINE GROUNDMASS [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,230164.99400000004,4075.512,,96641.23260000002,,,,49669.469999999994,88622.8,45770.736,851.9038,,7720.395,17433.6395,698.2736,,,,,,,,,,,,,,,,11000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,158,,,30,92,,,,,,,,23,376,16,58,5,,,,,,,,,,,,,414,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119499,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS2 / TYRRHENIAN SEA,,39.3895,39.3993,14.3833,14.391,SUBAQUATIC,-2425,-2725,s MRS2B [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICRO-CRYPTOCRYSTALLINE GROUNDMASS [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,229791.046,4075.512,,97170.4836,,,,49669.469999999994,89194.56,46916.511999999995,851.9038,,7554.365000000001,16914.3396,741.9157,,,,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,153,,,30,98,,,,,,,,19,376,15,58,6,,,,,,,,,,,,,418,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119500,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS5 / TYRRHENIAN SEA,,39.3172,39.3185,14.4142,14.4265,SUBAQUATIC,-1325,-1775,s MRS5B [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"PORPHYRIC, MICROCRYSTALLINE GROUNDMASS (INTERGRANULAR( [5163] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5163] ,165752.45100000003,3655.9739999999997,,68538.0045,,,,47959.409999999996,137293.87,67419.87199999999,929.3496,,1411.255,11498.7835,654.6315,,,,,,,,,,,,,,,,110300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,331,,,29,119,,,,,,,,5,379,14,49,2,,,,,,,,,,,,,69,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119503,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS6 / TYRRHENIAN SEA,,39.2623,39.2632,14.312,14.3208,SUBAQUATIC,-2050,-2325,s MRS6 [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"SLIGHTLY PORPHYRIC, MICROCRYSTALLINE GROUNDMASS (INTERGRANULAR) [5163] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5163] ,228014.79300000003,4974.521999999999,,88914.168,,,,51301.799999999996,83977.25,53369.03999999999,1006.7954,,9131.650000000001,18620.610699999997,916.4841,,,,,,,,,,,,,,,,17300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,363,,,32,153,,,,,,,,29,491,19,86,11,,,,,,,,,,,,,403,20,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119504,
[5163],SEAMOUNT,AEOLIAN ARC / MARSILI / DREDGE MRS7 / TYRRHENIAN SEA,,39.252,39.2532,14.3648,14.3722,SUBAQUATIC,-750,-1100,s MRS7A4 [5163],"BASALT, CALC-ALKALINE [5163]",,,,,,,,"APHYRIC, MICROCRYSTALLINE (INTERGRANULAR TO PILOTAXITIC) [5163] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5163] ,238017.90200000003,5274.192,,94100.82780000001,,,,63816.33000000001,71112.65,31900.816,1161.687,,11539.085,22923.381299999997,1047.4104,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,14,,,31,19,,,,,,,,41,458,21,86,9,,,,,,,,,,,,,469,27,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119505,
