Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,FLOOR OF SUMMIT CALDERA,-37.721,-37.721,77.825,77.825,SUBAQUATIC,-875,-875,s WC44A [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,237129.77550000002,15762.641999999998,,71660.5854,,,,101904.03,66395.62999999999,28101.664,1703.8076,,6226.125,22923.381299999997,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,44.4,,21.3,5.1,,,,4.9,,3.5,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146845,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,FLOOR OF SUMMIT CALDERA,-37.721,-37.721,77.825,77.825,SUBAQUATIC,-875,-875,s WC44B [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,238298.363,16122.246,,71448.88500000001,,,,103380.90000000001,65895.34000000001,27679.535999999996,1548.9160000000002,,6475.17,22255.71,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,17,,,41,22,57,118,,,1.8,,,15.7,264,33,175,28,1.03,,,,,,,,,,,0.198,205,19.8,41.5,5.2,23.4,5.8,1.9,6.4,0.94,6.5,1.2,3.6,0.49,3.5,0.44,4.9,1.9,,,,,,,,,1.537,,2.372,0.591,0.51284,,,0.70381,,19.139,,15.618,,39.472,,,,,,,,,,,,,,,146846,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,FLOOR OF SUMMIT CALDERA,-37.721,-37.721,77.825,77.825,SUBAQUATIC,-875,-875,s WC44C [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,238719.05450000003,15582.84,,71978.136,,,,101593.11,66895.92,28403.183999999997,1858.6992,,6309.14,22700.8242,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146847,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45A [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,237270.00600000002,12706.008,,75471.1926,,,,90710.91,75186.44,35458.752,1626.3618,,5063.915,20771.996,1091.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146848,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45B [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,237456.98,12646.073999999999,,74571.4659,,,,90166.8,75043.5,35036.623999999996,1626.3618,,5146.93,20920.3674,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,36,,18,4.8,,,,5.4,,3.6,,2.7,,,,,,,,,,,,0.224,,,,0.51279,,,0.70456,,18.554,,15.586,,39.036,,,,,,,,,,,,,,,146849,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45C [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,238345.10650000002,15163.301999999998,,72930.7878,,,,101748.56999999999,66324.15999999999,28885.615999999998,1703.8076,,6143.11,22404.0814,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,38.7,,20.2,5.2,,,,5.7,,4.1,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146850,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45D [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,238298.363,12825.876,,75418.2675,,,,93120.54000000001,76187.02,35941.184,1394.0244,,5146.93,21736.4101,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146851,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45E [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,237737.44100000002,15283.169999999998,,72295.6866,,,,103847.28,67396.20999999999,28825.311999999998,1394.0244,,6309.14,23665.238299999997,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146852,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45F [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,235353.52250000002,12765.942,,74465.61570000001,,,,92887.34999999999,75472.32,34976.32,1471.4702,,5146.93,20994.5531,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146853,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45G [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,236288.39250000002,15223.235999999999,,72348.61170000001,,,,102836.79000000001,66324.15999999999,28945.92,1703.8076,,6226.125,23665.238299999997,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146854,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45H [6370],BASALT [6370],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6370] ,235540.4965,12945.744,,74042.2149,,,,92032.31999999999,75472.32,34855.712,1548.9160000000002,,5229.945,21513.853,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146855,
[6370],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45SED [6370],NOT GIVEN [6370],,,,,,,,,SEDIMENTARY ROCK,,,FRESH,,WHOLE_ROCK [6370] ,,,,2540.4048,,,,382742.52,7933.170000000001,4341.888,3794.8442,,,,1832.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,105,12,,,8.5,7.6,136,481,,,44,,,2.9,206,9,33,4.9,13,,,,,,,,,,,0.067,71,5.7,10.4,1.3,6,1.4,0.46,1.8,0.27,1.7,0.32,0.94,0.14,1,0.2,1.1,0.36,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,146856,
[10787],SEAMOUNT,AMSTERDAM-ST. PAUL / ST. PIERRE SEAMOUNT / INDIAN OCEAN,,-38.7808,-38.7808,77.9638,77.9638,SUBAQUATIC,-1678,-1678,s WC 34 [10787],BASALT [10787],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [10787] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512664,,,0.704782,,17.858,,15.516,,38.287,,,,,,,,,,,,,,,313669,
[10787],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,FLOOR OF SUMMIT CALDERA,-37.721,-37.721,77.825,77.825,SUBAQUATIC,-875,-875,s WC44 [10787],BASALT [10787],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [10787] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512844,,,0.703813,,19.139,,15.618,,39.472,,,,,,,,,,,,,,,313670,
[10787],SEAMOUNT,AMSTERDAM-ST. PAUL / BOOMERANG / INDIAN OCEAN,JUST OUTSIDE CALDERA RIM,-37.716,-37.716,77.832,77.832,SUBAQUATIC,-647,-647,s WC45 [10787],BASALT [10787],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [10787] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512791,,,0.704564,,18.554,,15.586,,39.036,,,,,,,,,,,,,,,313671,
