Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-5R-1,45-47 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,229276.8675,15522.905999999999,,86003.2875,,,,77263.62,73113.81,36785.439999999995,1006.7954,,11622.099999999999,21513.853,1309.263,,,,,,,,,,,,,,,,117500.,,,,,,,,,,,,,,,,,,,,,,,1309,,,11622,,,15527,,,,,,,,,,,,,,27,530,23,194,46,,,,,,,,,,,,,302,79,63,,41,25,22,,,9.8,,7.2,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142204,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-5R-3,104-108 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,229604.07200000001,12885.81,,82774.8564,,,,75864.48,64608.88,51318.704,1161.687,,9961.8,20104.324699999997,1003.7683000000001,,,,,,,,,,,,,,,,39800.,,,,,,,,,,,,,,,,,,,,,,,1004,,,9962,,,12889,,,,,,,,,,,,,,26,375,20,159,33,,,,,,,,,,,,,222,56,48,,32,20,19,,,7.9,,5.7,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142205,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-6R-1,75-80 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,231193.35100000002,14024.555999999999,,84838.93530000001,,,,73454.84999999999,75114.97,42092.192,1006.7954,,7803.41,20994.5531,1091.0525,,,,,,,,,,,,,,,,21800.,,,,,,,,,,,,,,,,,,,,,,,1091,,,7803,,,14028,,,,,,,,,,,,,,22,426,22,168,35,,,,,,,,,,,,,235,71,53,,30,21,23,,,9.8,,7.6,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142206,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-7R-4,65-67 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,230164.99400000004,14444.094,,88437.84210000001,,,,78040.92,56103.95,48544.72,1239.1328,,11207.025000000001,21142.9245,1178.3367,,,,,,,,,,,,,,,,40500.,,,,,,,,,,,,,,,,,,,,,,,1178,,,11207,,,14448,,,,,,,,,,,,,,24,351,21,175,39,,,,,,,,,,,,,237,73,56,,31,19,19,,,8.7,,6.2,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142207,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-8R-2,89-92 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,228155.02350000004,14743.764,,84415.5345,,,,74853.99,74400.27,37810.60799999999,1239.1328,,9297.68,23591.0526,1265.6209,,,,,,,,,,,,,,,,24900.000000000004,,,,,,,,,,,,,,,,,,,,,,,1266,,,9298,,,14747,,,,,,,,,,,,,,24,429,23,199,42,,,,,,,,,,,,,231,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142208,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-9R-5,131-133 [5862]","BASALT, ALKALINE [5862]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,246665.44950000005,11747.063999999998,,74042.2149,,,,71356.14,54031.32,60726.128,697.0122,,4648.84,21365.4816,480.0631,,,,,,,,,,,,,,,,46300.,,,,,,,,,,,,,,,,,,,,,,,480,,,4649,,,11750,,,,,,,,,,,,,,3,255,16,114,20,,,,,,,,,,,,,83,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142209,
[5862],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872C,10.0937,10.0937,162.8667,162.8667,SUBAQUATIC,-1093,-1093,"s 144-872C-18X-2,26-28 [5862]",BASALT [5862],,,,,,,,APHYRIC [5862] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [5862] ,230912.89,14803.698,,90396.0708,,,,78818.22,50529.29,47037.119999999995,1161.687,,11788.13,22552.4528,1178.3367,,,,,,,,,,,,,,,,41900.00000000001,,,,,,,,,,,,,,,,,,,,,,,1178,,,11788,,,14807,,,,,,,,,,,,,,25,426,25,275,37,,,,,,,,,,,,,252,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142210,
[2280],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,"s 144-872B-9R-2,115-120 [2280]",HAWAIITE [2280],,,,,,,,"TRACHYTIC, INTERSERTAL, FINE-GRAINED GROUNDMASS [2280] ",VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51267,,,0.704223,,19.093,,15.564,,39.009,,,,,,,,,,,,,,,"25534-144-872B-9R-2,115-120",
[12924],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,s LOE-1_LEACHED [12924],NOT GIVEN [12924],,,,MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12924] ,212729.6685,9889.109999999999,,64621.54710000001,,44621.72,,,70326.48,82676.784,1239.1328,,6060.095,7121.8272,916.4841,,,,,,,,,,,,,,,,19000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,55,,,18.9,,8,121,,,,,,18,,12.6,138,33.4,2.7,,,,,,,2,0.31,,,0.8,,5.1,13,1.7,9,1.9,1.39,0.83,0.11,0.56,0.12,0.26,0.02,0.91,0.16,3.6,2,0.5,,,,,,,0.07,,,0.0008,0.4,0.51267,,,0.704185,,19.083,,15.559,,38.991,,,,,,,,,,,,,,,383582,
[12924],SEAMOUNT,ANEWETAK SEAMOUNT TRAIL / LO-EN GUYOT / SITE 871 / PACIFIC OCEAN,HOLE 872B,10.0968,10.0968,162.8666,162.8666,SUBAQUATIC,-1094.5,-1094.5,s LOE-1_LEACHED [12924],NOT GIVEN [12924],,,,MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12924] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,334,,,,,,,,,,,,,,,,,,,,8.9,2.6,,,,,,,,,,,,,,,,,,,,13,,0.0005,0.166,0.512677,,,0.704241,,18.999,,15.572,,39.013,,,,,,,,,,,,,,,383583,
