Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s CYA-6-4 [7847],BASALT [7847],,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7847] ,219227.015,5094.389999999999,,109554.957,,,,63039.03,82905.2,24905.551999999996,1161.687,,5562.005,20401.067499999997,523.7052,20800.,,,,11000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,33,26,,75,17,,,,,9,155,22.2,68,1.25,,,,,,,,,,,,,70,4.2,9.9,1.5,7.2,2.36,0.87,3.05,0.55,3.8,0.81,2.45,0.36,2.42,0.36,1.6,0.08,,,,,,,,,1.3,,0.8,0.42,,,,,,18.718,,15.647,,38.712,,,,,,,,,,,,,,,467582,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s POS 785-1 III-D-1 [7847],"ANDESITE, BASALTIC [7847]",,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7847] ,240729.02500000002,5214.258,,106379.45100000002,,,,65293.200000000004,77902.3,23036.127999999997,1161.687,,3071.555,16691.7825,349.1368,13400.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,35,19,,78,20,,,,,9,135,20.5,59,1.15,,,,,,,,,,,,,27,3.8,8.9,1.39,6.7,2.23,0.83,2.88,0.53,3.57,0.76,2.32,0.33,2.23,0.33,1.41,0.08,,,,,,,,,2,,0.8,0.28,0.512918,,,0.70499,,18.706,,15.63,,38.648,,,,,,,,,,,,,,,467583,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s POS 785-1 IV-D-4 [7847],"ANDESITE, BASALTIC [7847]",,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [7847] ,240729.02500000002,5274.192,,107437.95300000001,,,,64749.090000000004,79331.7,23036.127999999997,1161.687,,2905.5249999999996,16914.3396,349.1368,11800.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,33,24,,78,18,,,,,11,135,21.4,58,1.26,,,,,,,,,,,,,27,4,9.1,1.45,7,2.34,0.87,2.97,0.55,3.71,0.79,2.4,0.35,2.33,0.35,1.47,0.09,,,,,,,,,2.1,,0.8,0.29,,,,,,,,,,,,,,,,,,,,,,,,,467584,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s POS 785-1 IV-D-2 ALT [7847],"ANDESITE, BASALTIC [7847]",,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [7847] ,220629.32000000004,5453.994,,112730.463,,,,67936.02,82905.2,28704.703999999998,1239.1328,,1992.36,16691.7825,305.4947,19000.,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,37,24,,86,20,,,,,4,144,22.8,59,1.25,,,,,,,,,,,,,40,4.1,9.5,1.52,7.5,2.48,0.93,3.23,0.59,3.94,0.83,2.49,0.35,2.39,0.36,1.52,0.09,,,,,,,,,2.3,,0.9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,467585,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s CYA-6-4_LEACHED [7847],BASALT [7847],,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7847] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512943,,,0.705067,,,,,,,,,,,,,,,,,,,,,467736,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s POS 785-1 III-D-1_LEACHED [7847],"ANDESITE, BASALTIC [7847]",,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7847] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512924,,,0.704831,,18.716,,15.641,,38.691,,,,,,,,,,,,,,,467737,
[7847],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / EL MANSOUR / MEDITERRANEAN SEA,,36.15,36.15,-1.9333,-1.9333,SUBAQUATIC,,,s POS 785-1 III-D-1_LEACHATE [7847],"ANDESITE, BASALTIC [7847]",,,,NEOGENE [7847],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7847] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512915,,,0.705114,,18.712,,15.646,,38.696,,,,,,,,,,,,,,,467769,
[12611],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / AL MANSOUR,WEST SUMMIT,36.1488,36.1488,-1.9948,-1.9948,SUBAQUATIC,,,s 485-DR2 [12611],BASALT [12611],,,,MIOCENE [12611],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12611] ,227640.84500000003,4974.521999999999,,109554.957,,,,56820.63,82190.5,30031.392,1161.687,,4565.825000000001,18694.7964,392.77889999999996,10100.,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,38.6,,266,39,,,29,14.4,37.2,77,20,,,,,9.11,144,19.3,51,1,,,,,,,,,,,,0.3,51,3.73,9.48,1.35,6.68,2.16,0.81,2.93,0.52,3.52,0.76,2.36,0.35,2.29,0.35,1.46,0.1,,,,,,,,0.12,2.02,,0.94,0.63,,,,0.704711,,,,,,,,,,,,,,,,,,,,,468793,
[12611],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / AL MANSOUR,WEST SUMMIT,36.1488,36.1488,-1.9948,-1.9948,SUBAQUATIC,,,s 485-DR3 [12611],BASALT [12611],,,,MIOCENE [12611],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12611] ,224836.23500000002,5094.389999999999,,111671.96100000001,,,,60396.21,81475.8,32624.464,1161.687,,3818.69,18843.1678,392.77889999999996,14700.,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,42,,,31,14,,72,21,,,,,7,145,21,51,4,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512912,,,0.704711,,,,,,,,,,,,,,,,,,,,,468794,
[12611],SEAMOUNT,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / IBN BATOUTA,WEST SEAMOUNT,35.8437,35.8437,-4.2133,-4.2133,SUBAQUATIC,,,s 462-DR1 [12611],GABBRO [12611],,,,MIOCENE [12611],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12611] ,193518.09,8990.099999999999,,111142.71,,,,62494.91999999999,66824.45,59037.615999999995,542.1206000000001,,8550.545,16691.7825,174.5684,43900.,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,57,,711,129,,,31,131,9,32,15,,,,,77,146,20.5,22,0.3,,,,,,,,,,,,40.4,48,0.52,1.48,0.34,2.65,1.52,0.66,2.98,0.55,3.9,0.87,2.37,0.35,2.08,0.29,0.47,0.07,,,,,,,,1.5,0.83,,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,468795,
