Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12578],SEAMOUNT,CANARY ISLANDS / UNNAMED SEAMOUNT (HIJO DE TENERIFE) / ATLANTIC OCEAN,"SEAMOUNT, HIJO DE TENERIFE",28.0867,28.0867,-16.1733,-16.1733,SUBAQUATIC,-1966,-1966,s 756-1 [12578],BASALT [12578],,,,MIOCENE [12578],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12578] ,248441.7025,7012.277999999999,,78699.6237,,60917.740000000005,,,25514.789999999997,16161.472,4027.1816,,30549.52,46514.433899999996,3840.5048,35600.,,,,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,,,20,34,,281,31,,,,,6,523,35.2,1914,44.4,,,,,,,,,,,,0.2,173,35.8,81,10.8,46.1,9.77,3.3,9.18,1.35,6.88,1.31,3.16,0.44,2.44,0.3,8.2,2.87,,,,,,,,,0,,3.64,0.89,0.512821,,,0.703286,,19.704,,15.633,,39.737,,,,,,,,,,,,,,,370549,
[12578],SEAMOUNT,CANARY ISLANDS / UNNAMED SEAMOUNT (HIJO DE TENERIFE) / ATLANTIC OCEAN,"SEAMOUNT, HIJO DE TENERIFE",28.09,28.09,-16.1683,-16.1683,SUBAQUATIC,-1660,-1660,s 759-1 [12578],BASALT [12578],,,,MIOCENE [12578],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12578] ,244188.04400000002,7611.6179999999995,,79070.0994,,67771.86,,,29088.29,17729.376,3562.5068,,28142.085000000003,46514.433899999996,4407.8521,24400.,,,,2400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,,,25,50,,281,26,,,,,5,586,33.8,1755,50.7,,,,,,,,,,,,0.2,163,43.1,97.3,13,55.6,11,3.6,10,1.41,7,1.26,3.03,0.4,2.22,0.26,9.2,3.26,,,,,,,,,0,,3.92,1.05,0.512822,,,0.70328,,19.681,,15.589,,39.599,,,,,,,,,,,,,,,370550,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-1 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,286210.45050000004,2037.756,,93677.427,,,,16012.380000000001,5431.72,2713.68,697.0122,,49393.925,45846.762599999995,349.1368,10800.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,8.59,,,0.78,,8.86,70.3,,,,,,121,697,21.6,495,101,,,,,,,,,,,,0.51,13945,128,187,20,59.9,8.77,1.94,6.28,0.91,5.03,0.86,2.16,0.31,1.84,0.26,18.4,9.71,,,,,,,,,5.19,,20.8,0.94,0.512872,,,0.708987,,19.534,,15.613,,39.745,,,,,,,,,,,,,,,553107,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-2 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,224088.339,2277.4919999999997,,75577.0428,,,,9560.789999999999,4431.14,1869.424,309.7832,,38518.96,37241.221399999995,392.77889999999996,7300.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,9.11,,,0.55,,10.9,67.2,,,,,,56.8,2542,9.92,187,53.9,,,,,,,,,,,,0.63,104470,62,103,9.23,27.6,3.89,0.87,2.74,0.37,2.17,0.37,0.91,0.12,0.75,0.09,7.3,5.48,,,,,,,,,6.12,,11.1,1.29,,,,,,,,,,,,,,,,,,,,,,,,,553108,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-3 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,248441.7025,2157.624,,82986.5568,,,,11737.23,4645.55,1809.12,387.22900000000004,,42752.725000000006,39911.906599999995,305.4947,8500.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,12.8,,,0.5,,16.7,76.3,,,,,,93.6,1883,13.9,300,91.4,,,,,,,,,,,,0.5,64876,69.7,127,11.2,33.4,4.78,1.03,3.32,0.47,2.85,0.5,1.35,0.2,1.33,0.17,10.3,8.73,,,,,,,,,9.2,,14.8,0.79,,,,,,,,,,,,,,,,,,,,,,,,,553109,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-4 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,272374.37450000003,2037.756,,90343.14570000001,,,,20442.989999999998,6360.83,2291.5519999999997,619.5664,,47318.55,43769.563,916.4841,8100.000000000001,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,13.8,,,1.09,,10.7,134,,,,,,147,683,20.9,542,160,,,,,,,,,,,,0.46,26896,117,180,19,55.5,7.33,1.15,4.87,0.69,4.19,0.76,2.11,0.33,2.39,0.29,14.6,13.6,,,,,,,,,7.77,,25.3,22.7,,,,,,,,,,,,,,,,,,,,,,,,,553110,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-7 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,260968.96050000002,2097.6899999999996,,86109.1377,,,,15001.89,5646.13,2110.64,774.4580000000001,,44911.115,43250.2631,654.6315,9500.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,4.96,,,0.54,,12.2,68.7,,,,,,112,1387,20,443,132,,,,,,,,,,,,0.55,44631,99.9,129,15.6,47.4,6.96,1.73,4.79,0.67,3.84,0.68,1.81,0.27,1.61,0.23,14.6,11.4,,,,,,,,,5.92,,21.4,6.44,0.512896,,,0.708783,,19.59,,15.609,,39.865,,,,,,,,,,,,,,,553111,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-8 [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,287659.499,1798.0199999999998,,94524.2286,,,,14380.050000000001,19153.960000000003,1990.032,619.5664,,50722.165,44363.0486,5673.473,7800.,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,6.08,,,1.39,,11.3,51.2,,,,,,124,172,53,627,127,,,,,,,,,,,,0.53,2308,127,184,20.1,64.5,10.3,2.52,8.83,1.31,8.15,1.74,5.07,0.74,4.56,0.69,16.9,11.7,,,,,,,,,26.1,,20.5,9.25,,,,,,,,,,,,,,,,,,,,,,,,,553112,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 397 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3510,-3510,s BARITE [15622],NOT GIVEN [15622],,,,HOLOCENE [15622],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [15622] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,16910,22.2,0.231,0.069,,,,,,,,,,,,,569300,11.4,2.45,0.784,,0.195,,0.033,0.007,0.041,0.007,0.018,0.008,,,,,,,,,,,,,0.055,,0.004,0.392,,,,,,,,,,,,,,,,,,,,,,,,,553113,
[15622],SEAMOUNT,CANARY ISLANDS / HENRY / DREDGE 395 / ATLANTIC OCEAN,,27.3083,27.3083,-17.7833,-17.7833,SUBAQUATIC,-3400,-3400,s 395-1_LEACHED [15622],TRACHYTE [15622],,,,HOLOCENE [15622],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15622] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708779,,19.53,,15.601,,39.402,,,,,,,,,,,,,,,553122,
