Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 8A / PACIFIC OCEAN,,1.03,1.03,-82.19,-82.19,SUBAQUATIC,,,s 8A-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,299,394,,,48.5,143,75.3,76.8,,,,,,2.18,86.1,30,60.2,0.75,,,,,,,,,,,,,9.46,1.47,5.23,1.06,6.17,2.54,0.94,3.67,0.7,4.78,1.07,3.12,0.47,3,0.45,1.68,0.06,,,,,,,,,0.21,,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,296952,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 8A / PACIFIC OCEAN,,1.03,1.03,-82.19,-82.19,SUBAQUATIC,,,s 8A-DR-5 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,223,304,,,33.5,83.4,59.5,57,,,,,,3.42,65.2,23.9,48.9,0.63,,,,,,,,,,,,,5.24,1.27,4.41,0.9,5.29,2.2,0.83,3.22,0.62,3.9,0.88,2.58,0.39,2.45,0.37,1.38,0.04,,,,,,,,,0.24,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,296953,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 11A / PACIFIC OCEAN,,0.06,0.06,-82.12,-82.12,SUBAQUATIC,,,s 11A-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,233156.57800000004,7731.486,,82774.8564,,,,69646.08,96555.97,42815.84,1161.687,,1328.24,14762.9543,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,337,462,,,65.2,126,167,90.4,,,,,,1.55,170,24.9,78.2,8.12,,,,,,,,,,,,,35.1,6.34,15.3,2.26,10.6,3.17,1.14,3.81,0.66,4.2,0.9,2.53,0.37,2.29,0.34,2.07,0.49,,,,,,,,,0.37,,0.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,296954,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 11A / PACIFIC OCEAN,,0.06,0.06,-82.12,-82.12,SUBAQUATIC,,,s 11A-DR-19 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,264,338,,,51.3,92.7,104,78.1,,,,,,1.59,141,20.9,65.4,6.77,,,,,,,,,,,,,32.8,5.25,12.6,1.87,8.77,2.56,0.93,3.11,0.55,3.48,0.75,2.09,0.31,1.89,0.29,1.73,0.42,,,,,,,,,0.47,,0.51,0.22,,,,,,,,,,,,,,,,,,,,,,,,,296955,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 12 / PACIFIC OCEAN,,0.4,0.4,-81.45,-81.45,SUBAQUATIC,,,s 12-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,232174.96450000003,7911.288,,84415.5345,,,,69723.81000000001,101916.22,37810.60799999999,1548.9160000000002,,1992.36,14317.8401,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,338,446,,,52.5,74.8,96,94.2,,,,,,4.45,184,26.9,85.9,8.79,,,,,,,,,,,,,40,7.03,16.7,2.48,11.5,3.42,1.22,4.08,0.72,4.53,0.98,2.73,0.4,2.46,0.37,2.2,0.52,,,,,,,,,0.48,,0.65,0.23,,,,,,,,,,,,,,,,,,,,,,,,,296956,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 13 / PACIFIC OCEAN,,-0.44,-0.44,-81.99,-81.99,SUBAQUATIC,,,s 13-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,414,259,,,59.4,114,79.2,160,,,,,,3.93,219,44.6,116,13.2,,,,,,,,,,,,,42.6,13.3,27.8,4.12,18.8,5.32,1.75,6.17,1.06,6.51,1.41,3.97,0.57,3.47,0.52,3.09,0.79,,,,,,,,,5.96,,1.09,3.67,,,,,,,,,,,,,,,,,,,,,,,,,296957,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 17 / PACIFIC OCEAN,,-2.16,-2.16,-82.61,-82.61,SUBAQUATIC,,,s 17-TVG-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,236568.85350000003,3356.304,,87696.8907,,,,64515.90000000001,64966.229999999996,30815.344,1084.2412000000002,,19093.449999999997,26632.666299999997,2094.8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,,350,182,,,35.2,80.5,139,68.3,,,,,,60.7,438,14.2,23.7,12.5,,,,,,,,,,,,,821,2.79,4.22,0.64,2.99,1.04,0.47,1.56,0.29,2.06,0.48,1.49,0.23,1.5,0.23,0.7,0.49,,,,,,,,,4.8,,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,296958,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 17 / PACIFIC OCEAN,,-2.16,-2.16,-82.61,-82.61,SUBAQUATIC,,,s 17-TVG-3 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,411,196,,,51.4,91,162,105,,,,,,19,175,30.9,101,12.2,,,,,,,,,,,,,152,8.79,20.5,2.97,13.6,3.87,1.34,4.62,0.81,5.23,1.12,3.16,0.46,2.89,0.43,2.62,0.71,,,,,,,,,0.8,,0.96,0.27,,,,,,,,,,,,,,,,,,,,,,,,,296959,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 18 / PACIFIC OCEAN,,-2.23,-2.23,-83.68,-83.68,SUBAQUATIC,,,s 18-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,236194.90550000002,4914.588,,83727.50820000001,,,,61173.51,89408.97,50595.056,1084.2412000000002,,1826.33,13427.6117,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,227,444,,,41.4,116,95.6,59.1,,,,,,4.59,122,20.7,51.1,3.22,,,,,,,,,,,,,59.7,2.66,6.72,1.09,5.52,1.98,0.77,2.76,0.52,3.43,0.76,2.15,0.32,1.97,0.29,1.32,0.18,,,,,,,,,0.76,,0.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,296960,
[7776],SEAMOUNT,CARNEGIE RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (CARNEGIE RIDGE SEAMOUNTS) / DREDGE 18 / PACIFIC OCEAN,,-2.27,-2.27,-84.43,-84.43,SUBAQUATIC,,,s 19-DR-4 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,239560.43750000003,3056.634,,82086.8301,,,,57209.280000000006,90481.02,60484.91199999999,1084.2412000000002,,1743.3149999999998,11202.0407,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,203,541,,,44.6,152,95.7,52.5,,,,,,4.27,97.1,14.1,24,2,,,,,,,,,,,,,55.9,1.53,3.5,0.56,2.89,1.12,0.47,1.64,0.32,2.22,0.51,1.48,0.23,1.41,0.21,0.68,0.11,,,,,,,,,0.47,,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,296961,
