Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9542],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 69 / PACIFIC OCEAN,,5.2087,5.2087,-87.9462,-87.9462,SUBAQUATIC,-2077,-2077,s 69 DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512986,,,0.702974,,19.231,,15.575,,38.827,,,,,,,,,,,,,,,259007,
[9542],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 71 / PACIFIC OCEAN,,5.516,5.516,-88.5798,-88.5798,SUBAQUATIC,-1251,-1251,s 71 DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513018,,,0.703163,,19.274,,15.591,,38.979,,,,,,,,,,,,,,,259008,
[9542],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 42 / PACIFIC OCEAN,,5.1447,5.1447,-87.5433,-87.5433,SUBAQUATIC,-2050,-2050,s 42DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513007,,,0.702924,,19.197,,15.573,,38.781,,,,,,,,,,,,,,,259009,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 38 / PACIFIC OCEAN,,4.36,4.36,-85.78,-85.78,SUBAQUATIC,,,s 38-DR-12 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,223433.93,11447.393999999998,,92195.52420000001,,,,58530.69,62393.310000000005,36966.352,1084.2412000000002,,14444.61,25519.8808,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,194,127,,,31.9,102,25.8,75.6,,,,,,38.8,521,25.4,199,68.5,,,,,,,,,,,,,498,37.6,68.6,7.84,29.1,5.67,1.83,5.26,0.79,4.46,0.9,2.38,0.35,2.11,0.32,4.2,3.81,,,,,,,,,2.01,,5.27,1.28,,,,,,,,,,,,,,,,,,,,,,,,,296970,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 40A / PACIFIC OCEAN,,4.64,4.64,-87.37,-87.37,SUBAQUATIC,,,s 40A-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,222358.82950000002,15762.641999999998,,89072.9433,,,,59929.83,62607.72,48303.50399999999,1084.2412000000002,,14693.655,24778.0238,3011.3048999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,225,258,,,40.7,198,40.4,78.3,,,,,,36.8,672,31.7,316,79.9,,,,,,,,,,,,,516,45.4,88.9,10.9,41.8,8.46,2.63,7.51,1.07,5.83,1.12,2.91,0.4,2.43,0.36,6.64,4.49,,,,,,,,,2.08,,5.2,1.42,,,,,,,,,,,,,,,,,,,,,,,,,296972,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 41 / PACIFIC OCEAN,,4.67,4.67,-87.91,-87.91,SUBAQUATIC,,,s 41-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,228482.22800000003,13005.677999999998,,86426.6883,,,,73610.31000000001,85621.06,29368.048,1084.2412000000002,,8384.515,18398.0536,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,322,56.3,,,38.7,44.8,54.5,89.9,,,,,,19,516,30.2,179,35.8,,,,,,,,,,,,,251,22.9,49.1,6.51,26.6,6.15,1.99,6.1,0.94,5.39,1.08,2.87,0.4,2.36,0.34,4.15,2.17,,,,,,,,,1.64,,2.22,0.44,,,,,,,,,,,,,,,,,,,,,,,,,296973,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 42 / PACIFIC OCEAN,,5.14,5.14,-87.54,-87.54,SUBAQUATIC,,,s 42-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,237643.95400000003,14623.895999999999,,95053.4796,,,,71589.33,47813.43,18935.456,1239.1328,,17101.09,33383.565,4015.0732000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,152,1.68,,,19.8,9.35,19.4,123,,,,,,47.7,662,39.7,438,84.9,,,,,,,,,,,,,506,54.9,109,13.3,52.4,10.9,3.34,9.61,1.4,7.46,1.42,3.55,0.5,3.01,0.44,9.43,4.87,,,,,,,,,2.73,,6.71,1.42,,,,,,,,,,,,,,,,,,,,,,,,,296974,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 64A / PACIFIC OCEAN,,5.73,5.73,-86.92,-86.92,SUBAQUATIC,,,s 64A-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,205484.426,16541.783999999996,,103309.79520000001,,,,60784.86,74185.86,21287.311999999998,697.0122,,11040.995,26558.4806,12437.9985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,183,173,,,21.8,71.1,48.4,76.8,,,,,,21,2439,47.8,267,54.4,,,,,,,,,,,,,442,36.3,68.3,9.32,38.1,8.75,2.76,8.81,1.36,7.89,1.61,4.3,0.6,3.64,0.55,6.09,3.17,,,,,,,,,1.67,,3.75,3.86,,,,,,,,,,,,,,,,,,,,,,,,,296992,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 64 / PACIFIC OCEAN,,5.76,5.76,-86.9,-86.9,SUBAQUATIC,,,s 64-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,230492.19850000003,17620.595999999998,,109396.18170000002,,,,46793.46,71898.82,9166.207999999999,774.4580000000001,,17599.18,32493.3366,3360.4417000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,223,147,,,12.6,13.9,21.2,65.4,,,,,,51.5,732,33.9,271,81.9,,,,,,,,,,,,,709,46,88,10.5,41.1,8.43,2.72,7.81,1.13,6.21,1.24,3.28,0.46,2.79,0.42,5.86,4.56,,,,,,,,,2.14,,5.62,1.29,,,,,,,,,,,,,,,,,,,,,,,,,296993,
[7776],SEAMOUNT,COCOS ISLAND SEAMOUNTS / UNNAMED SEAMOUNT (COCOS ISLAND SEAMOUNTS) / DREDGE 65A / PACIFIC OCEAN,,5.74,5.74,-86.8,-86.8,SUBAQUATIC,,,s 65-DR-12 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,238,96.3,,,34.7,88.9,27.5,90.8,,,,,,48.7,658,40.1,312,102,,,,,,,,,,,,,801,54.7,102,12.2,46.1,9.44,2.94,8.73,1.27,7.2,1.41,3.68,0.51,3.04,0.44,6.72,5.49,,,,,,,,,2.56,,7.13,1.75,,,,,,,,,,,,,,,,,,,,,,,,,296994,
