Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 29A / PACIFIC OCEAN,,1.59,1.59,-90.79,-90.79,SUBAQUATIC,,,s 29A-DR-5 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,228715.94550000003,8330.826,,84362.6094,,,,77185.89,85263.70999999999,51379.007999999994,1316.5786,,1245.225,15208.068499999998,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,280,329,,,45.3,150,94.4,75.6,,,,,,2.23,118,28.9,82.8,4.55,,,,,,,,,,,,,25,3.78,10.7,1.79,9.3,3.15,1.15,4.03,0.73,4.68,1.02,2.86,0.42,2.64,0.39,2.19,0.28,,,,,,,,,0.33,,0.29,0.09,,,,,,,,,,,,,,,,,,,,,,,,,296964,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 35B / PACIFIC OCEAN,,3.38,3.38,-88.31,-88.31,SUBAQUATIC,,,s 35B-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,226378.7705,6832.475999999999,,75682.89300000001,,,,84337.05,74042.92,70012.94399999999,1471.4702,,747.135,13872.7259,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,211,697,,,61.2,357,85.3,85.6,,,,,,1.25,129,19.9,51.7,3.12,,,,,,,,,,,,,56.4,2.62,7.15,1.18,6.18,2.15,0.85,2.9,0.53,3.37,0.72,1.99,0.29,1.76,0.26,1.39,0.2,,,,,,,,,0.23,,0.17,0.05,,,,,,,,,,,,,,,,,,,,,,,,,296968,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 37 / PACIFIC OCEAN,,2.59,2.59,-87.48,-87.48,SUBAQUATIC,,,s 37-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,225443.9005,6053.334,,77111.8707,,,,78274.11,88694.27,55359.07199999999,1394.0244,,249.045,12092.2691,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,318,376,,,47.2,149,93.9,67.5,,,,,,0.39,45.8,26.7,49,1.67,,,,,,,,,,,,,5.98,1.59,5.06,0.94,5.5,2.21,0.78,3.26,0.63,4.27,0.98,2.88,0.44,2.79,0.43,1.47,0.12,,,,,,,,,0.17,,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,296969,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 39 / PACIFIC OCEAN,,4.51,4.51,-86.77,-86.77,SUBAQUATIC,,,s 39DR-2 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,215534.27850000001,11866.931999999999,,97805.58480000001,,,,54644.19,100486.82,17488.16,774.4580000000001,,4648.84,22552.4528,10386.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,227,654,,,29.1,46.5,25.9,165,,,,,,8.41,324,35.7,130,8.22,,,,,,,,,,,,,42.8,8.39,20.2,3.07,14.9,5.06,1.79,6.3,1.09,6.51,1.32,3.4,0.48,2.84,0.4,3.69,0.57,,,,,,,,,0.78,,1.11,1.96,,,,,,,,,,,,,,,,,,,,,,,,,296971,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 43 / PACIFIC OCEAN,,5.31,5.31,-85.38,-85.38,SUBAQUATIC,,,s 43-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,227266.897,12466.271999999999,,77111.8707,,,,83248.83,87908.1,35880.88,1239.1328,,1743.3149999999998,18843.1678,2051.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,440,170,,,54.8,69.6,114,156,,,,,,2.35,210,41.9,137,8.51,,,,,,,,,,,,,119,7.59,19.7,3.19,15.8,5.01,1.74,6.17,1.09,6.87,1.47,4.16,0.61,3.75,0.56,3.56,0.54,,,,,,,,,0.55,,0.52,1.51,,,,,,,,,,,,,,,,,,,,,,,,,296975,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 44 / PACIFIC OCEAN,,5.97,5.97,-83.67,-83.67,SUBAQUATIC,,,s 44-DR-14 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,231520.55550000002,5993.4,,73830.5145,,,,78429.56999999999,83691.37000000001,48484.41599999999,1316.5786,,1909.345,17359.4538,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,,325,375,,,52.6,84.5,191,82.9,,,,,,26.5,68.5,25.1,48.4,2.93,,,,,,,,,,,,,8.62,2.02,5.74,1.01,5.39,2.06,0.77,2.89,0.55,3.72,0.84,2.61,0.4,2.49,0.38,1.4,0.17,,,,,,,,,0.29,,0.09,0.05,,,,,,,,,,,,,,,,,,,,,,,,,296976,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 49A / PACIFIC OCEAN,,6.94,6.94,-84.25,-84.25,SUBAQUATIC,,,s 49A-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,229510.58500000002,9769.241999999998,,74200.9902,,,,77963.18999999999,87550.75,41368.544,1161.687,,2490.45,17359.4538,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,303,198,,,72.4,113,70,123,,,,,,3.72,175,30.7,96.2,7.57,,,,,,,,,,,,,35.1,6.65,16.7,2.54,12.3,3.76,1.33,4.6,0.81,5.09,1.11,3.06,0.45,2.81,0.42,2.52,0.46,,,,,,,,,0.46,,0.59,2.7,,,,,,,,,,,,,,,,,,,,,,,,,296980,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 50 / PACIFIC OCEAN,,6.98,6.98,-83.69,-83.69,SUBAQUATIC,,,s 50-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,230538.942,8390.759999999998,,78011.5974,,,,72522.09,92625.12000000001,39680.032,1006.7954,,2324.42,17285.2681,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,324,362,,,44.1,63.5,54.4,132,,,,,,4.65,181,30.8,90.2,5.07,,,,,,,,,,,,,24.2,5.89,13.3,2.16,10.7,3.4,1.23,4.25,0.75,4.76,1.03,2.91,0.42,2.59,0.39,2.4,0.32,,,,,,,,,0.51,,0.34,0.41,,,,,,,,,,,,,,,,,,,,,,,,,296981,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 51 / PACIFIC OCEAN,,7,7,-82.86,-82.86,SUBAQUATIC,,,s 51-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,226285.2835,14444.094,,69914.0571,,,,108044.7,67110.33,35760.272,1703.8076,,3984.72,19955.953299999997,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,432,94.8,,,49.1,52.4,176,117,,,,,,7.21,117,46.5,195,20.2,,,,,,,,,,,,,130,15.2,35.8,5.07,23,6.42,1.99,7.56,1.32,8.22,1.78,5.04,0.75,4.65,0.7,4.7,1.19,,,,,,,,,0.57,,1.58,0.55,,,,,,,,,,,,,,,,,,,,,,,,,296982,
[7776],SEAMOUNT,COCOS RIDGE SEAMOUNTS / UNNAMED SEAMOUNT (COCOS RIDGE SEAMOUNTS) / DREDGE 52 / PACIFIC OCEAN,,7.38,7.38,-82.9,-82.9,SUBAQUATIC,,,s 52-DR-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,230351.96800000002,8990.099999999999,,77746.9719,,,,83404.29000000001,83476.95999999999,46132.56,1471.4702,,830.1500000000001,16172.482600000001,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,312,217,,,46.2,80.1,135,84.5,,,,,,0.5,145,25.9,87.3,9.08,,,,,,,,,,,,,31.8,6.52,16.3,2.35,11.1,3.25,1.14,3.88,0.7,4.34,0.93,2.59,0.38,2.41,0.36,2.18,0.55,,,,,,,,,0.42,,0.67,0.3,,,,,,,,,,,,,,,,,,,,,,,,,296983,
