Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T429R24 [10272],TRACHYTE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,282330.74,5154.324,,101086.941,,,,28915.56,17295.739999999998,4583.103999999999,619.5664,,41922.575,44956.534199999995,1832.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317339,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s L2-79NC-D1-37 [10272],MUGEARITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,237924.415,14504.027999999998,,93677.427,,,,52778.67,53602.5,22915.519999999997,1471.4702,,24240.38,35015.6504,6371.7465999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317340,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T427R2 [10272],HAWAIITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,219694.45,21036.834,,87855.66600000001,,,,66925.53,63179.479999999996,37870.912,1084.2412000000002,,21500.885,28784.0516,3709.5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317341,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T429R4 [10272],HAWAIITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,227173.41000000003,16242.114,,93148.176,,,,59618.909999999996,63894.17999999999,30031.392,3485.061,,18844.405,26113.3664,6022.609799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317342,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T140R16 [10272],"BASALT, ALKALINE [10272]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,227173.41000000003,12046.733999999999,,84150.909,,,,69568.34999999999,68754.14,50595.056,1703.8076,,14776.67,23442.6812,3360.4417000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317343,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T145R10 [10272],"BASALT, TRANSITIONAL [10272]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,234652.37000000002,11986.8,,77270.64600000001,,,,87057.59999999999,65109.17,43720.399999999994,1006.7954,,10376.875,23294.3098,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317344,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN,,37.333,37.4,-123.4,-123.4666,SUBAQUATIC,,,s T603R6 [10272],HAWAIITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,241663.89500000002,16421.916,,93148.176,,,,60940.32,61893.020000000004,21950.656,1006.7954,,17267.12,32048.222400000002,3622.2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317345,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN,,37.333,37.4,-123.4,-123.4666,SUBAQUATIC,,,s T627R1 [10272],"BASALT, ALKALINE [10272]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,221564.19,18100.068,,89972.67,,,,83171.09999999999,66895.92,33529.024,1161.687,,13614.46,23961.981099999997,3971.4311000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317346,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN,,37.333,37.4,-123.4,-123.4666,SUBAQUATIC,,,s 76D4-4 [10272],THOLEIITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10272] ,234652.37000000002,13365.282,,76741.395,,,,84725.7,80046.4,33348.112,1161.687,,3735.675,27151.9662,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317347,
[10272],SEAMOUNT,CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN,,35.5,35.83,-122.666,-123,SUBAQUATIC,,,s T429R17 [10272],BENMOREITE [10272],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [10272] ,273916.91000000003,7491.75,,101086.941,,,,34978.5,16509.57,7658.607999999999,1006.7954,,32541.88,34570.5362,2705.8102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317348,
