Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9542],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 48 / PACIFIC OCEAN,,6.7957,6.7957,-85.3813,-85.3813,SUBAQUATIC,-1517,-1517,s 48DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512917,,,0.703359,,19.33,,15.559,,39.112,,,,,,,,,,,,,,,259003,
[9542],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 60 / PACIFIC OCEAN,,7.3867,7.3867,-85.1863,-85.1863,SUBAQUATIC,-1723,-1723,s 60 DR-2 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512885,,,0.703554,,19.36,,15.571,,39.09,,,,,,,,,,,,,,,259004,
[9542],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 74 / PACIFIC OCEAN,,7.3837,7.3837,-86.5215,-86.5215,SUBAQUATIC,-2210,-2210,s 74 DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512978,,,0.703982,,19.028,,15.557,,38.892,,,,,,,,,,,,,,,259005,
[9542],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 78 / PACIFIC OCEAN,,8.1147,8.1147,-85.7917,-85.7917,SUBAQUATIC,-1465,-1465,s 78 DR-1 [9542],NOT GIVEN [9542],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9542] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512838,,,0.703572,,19.277,,15.591,,39.291,,,,,,,,,,,,,,,259006,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 46 / PACIFIC OCEAN,,6.49,6.49,-85.57,-85.57,SUBAQUATIC,,,s 46-TVG-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,219741.1935,16721.586,,97911.435,,,,60784.86,55389.25,40524.28799999999,929.3496,,13282.400000000001,27968.0089,4582.4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,153,150,,,35.3,140,30.5,68.1,,,,,,34.8,1591,33.5,310,88.3,,,,,,,,,,,,,643,48.8,91.4,10.8,41,8.41,2.67,7.66,1.11,6.11,1.19,3.08,0.43,2.56,0.37,6.52,4.91,,,,,,,,,2.27,,6.85,1.6,,,,,,,,,,,,,,,,,,,,,,,,,296977,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 47 / PACIFIC OCEAN,,6.64,6.64,-85.75,-85.75,SUBAQUATIC,,,s 47-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,175,166,,,34.7,140,34,87.2,,,,,,26,681,37.1,311,74.8,,,,,,,,,,,,,561,42.5,81.1,10.3,41.3,9.12,2.92,8.4,1.23,6.76,1.3,3.36,0.46,2.72,0.39,6.96,4.28,,,,,,,,,1.97,,5.02,1.31,,,,,,,,,,,,,,,,,,,,,,,,,296978,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 48 / PACIFIC OCEAN,,6.8,6.8,-85.38,-85.38,SUBAQUATIC,,,s 48-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,194312.72950000002,14324.226,,95688.5808,,,,71744.79000000001,105847.07,14593.568,851.9038,,6143.11,21142.9245,15754.7981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,308,30.6,,,27.4,42,26.1,106,,,,,,7.22,714,29.4,158,28.1,,,,,,,,,,,,,181,18.6,40.1,5.39,23,5.64,1.9,5.7,0.88,4.94,0.98,2.45,0.33,1.98,0.28,3.7,1.72,,,,,,,,,2.39,,1.74,3.27,,,,,,,,,,,,,,,,,,,,,,,,,296979,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 56 / PACIFIC OCEAN,,7.87,7.87,-84.44,-84.44,SUBAQUATIC,,,s 56-TVG-1 [7776],"BASALT, THOLEIITIC [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,237503.72350000002,11087.789999999999,,91295.7975,,,,52001.37,80832.57,36483.92,1006.7954,,3818.69,22181.5243,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,279,293,,,42.5,95.6,71.8,102,,,,,,4.43,312,34,174,23.1,,,,,,,,,,,,,149,16.3,35.2,4.8,20.6,5.39,1.78,5.9,0.97,5.9,1.22,3.35,0.48,2.92,0.43,4.08,1.4,,,,,,,,,1,,1.58,0.27,,,,,,,,,,,,,,,,,,,,,,,,,296987,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 58A / PACIFIC OCEAN,,7.77,7.77,-85.15,-85.15,SUBAQUATIC,,,s 58A-DR-1 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,170286.5705,17081.19,,65309.5734,,,,102992.25,,19297.28,,,6226.125,19436.6534,26141.6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,287,1.7,,,48.3,161,30.9,185,,,,,,9.11,583,46.2,244,54.6,,,,,,,,,,,,,253,32.8,70.4,9.21,38.8,8.69,2.64,8.54,1.29,7.33,1.49,3.92,0.56,3.36,0.51,5.8,3.66,,,,,,,,,1.8,,3.25,4.17,,,,,,,,,,,,,,,,,,,,,,,,,296988,
[7776],SEAMOUNT,COSTA RICA SEAMOUNT PROVINCE / UNNAMED SEAMOUNT (COSTA RICA SEAMOUNT PROVINCE) / DREDGE 60 / PACIFIC OCEAN,,7.39,7.39,-85.19,-85.19,SUBAQUATIC,,,s 60-DR-2 [7776],"BASALT, ALKALINE [7776]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7776] ,241196.46000000002,19778.219999999998,,71025.4842,,,,93586.92,52244.57,18995.76,1471.4702,,18429.33,22775.009899999997,4364.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,278,3.98,,,34,13.1,105,148,,,,,,58.2,383,61.5,477,87.4,,,,,,,,,,,,,500,57.1,121,15.8,64.9,14.4,3.89,13.7,2.02,11.2,2.17,5.69,0.77,4.57,0.65,10.5,5.4,,,,,,,,,2.97,,5.99,1.98,,,,,,,,,,,,,,,,,,,,,,,,,296989,
