Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6182],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 35 / PACIFIC OCEAN,,-26.37,-26.37,-105.192,-105.192,SUBAQUATIC,-1534,-1534,s D35-7 [6182],BASALT [6182],,3000000 [6182],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6182] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,76.3,,,7.1,,,,,,,,,,,,,,,,,,,,,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,138916,
[6182],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 37 / PACIFIC OCEAN,,-26.547,-26.547,-106.255,-106.255,SUBAQUATIC,-2184,-2184,s D37-2 [6182],BASALT [6182],,3000000 [6182],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6182] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,99.9,,,10.9,,,,,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,138918,
[6182],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 48 / PACIFIC OCEAN,WEST OF SALAS Y GOMEZ RIDGE,-26.425,-26.425,-108.559,-108.559,SUBAQUATIC,-3271,-3271,s D48-2G [6182],BASALT [6182],,3000000 [6182],,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [6182] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,54.5,,,7.65,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,138933,
[6184],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 52 / PACIFIC OCEAN,,-26.702,-26.702,-110.84,-110.84,SUBAQUATIC,-2630,-2630,s D52-4G [6184],BASALT [6184],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6184] ,,,,,,,,,,,,,,,,6420.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139667,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-102-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,236989.54500000004,9289.77,,95794.43100000001,,,,61484.43,34805.89,24604.032,697.0122,,18927.42,32641.708000000002,4276.9258,,,,,,,,,,,,,,,,38000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,66,78,,,19,43,,,,,,,,45,745,,,,,,,,,,,,,,,,512,66,102,,55,10,3.5,9,1.5,9.3,,,0.75,4.6,0.67,10,5.8,,,,,,,,,,,6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,15199,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-107-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,243066.2,10907.988,,93148.176,,,,65137.740000000005,37378.810000000005,27800.144,851.9038,,21998.975,33383.565,4058.7153000000003,,,,,,,,,,,,,,,,16000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,85,83,,,20,58,,,,,,,,55,760,28,450,95,,,,,,,,,,,,,550,61,113,,46,9.5,2.7,8,1.3,7.5,,,0.63,3.8,0.53,10,5.3,,,,,,,,,,,8.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,15200,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-50-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,243066.2,10907.988,,96323.682,,,,61562.159999999996,37378.810000000005,21106.399999999998,851.9038,,23659.275,35980.06449999999,4015.0732000000003,,,,,,,,,,,,,,,,14100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,72,82,,,19,57,,,,,,,,65,780,23,490,85,,,,,,,,,,,,,575,65,110,,55,8.8,3,6.8,1.18,,,,0.56,3.3,0.54,12,6.4,,,,,,,,,,,7.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,15201,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-103-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,244935.94,9949.043999999998,,92089.674,,,,59230.26,39094.09,25267.376,851.9038,,23244.199999999997,33383.565,4233.2837,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,86,82,,,17,58,,,,,,,,56,744,,,,,,,,,,,,,,,,514,65,108,,56,8.6,2.8,7.3,1.25,,,,0.45,2.8,0.43,8.3,5.5,,,,,,,,,,,6.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,15202,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-54-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,245403.37500000003,10428.516,,93148.176,,,,61562.159999999996,34805.89,23880.384,774.4580000000001,,22829.125,33383.565,5629.8309,,,,,,,,,,,,,,,,22400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,69,67,,,20,49,,,,,,,,56,808,,,,,,,,,,,,,,,,562,62,100,,53,8.7,3.2,8.2,1.3,,,,0.63,3.6,0.6,11,6.5,,,,,,,,,,,7.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,15203,
[1241],SEAMOUNT,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / SALAS Y GOMEZ / PACIFIC OCEAN,,-26.47,-26.47,-105.47,-105.47,SUBAQUATIC,,,s F-109-72 [1241],"BASALT, OLIVINE-CLINOPYROXENE [1241]",,,,,,,,HYALOCRYSTALLINE [1241] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1241] ,246805.68,10428.516,,92618.925,,,,65215.47,36949.99,19840.016,851.9038,,24074.35,34125.422,3447.7259000000004,,,,,,,,,,,,,,,,16100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,83,83,,,18,54,,,,,,,,60,750,21,445,93,,,,,,,,,,,,,540,54,92,,52,8.3,2.3,6,1.05,6.5,,,0.6,4.4,0.7,14,5.6,,,,,,,,,,,8.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,15204,
