Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1334],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s D-3 [1334],TRACHYTE [1334],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1334] ,317388.36500000005,3715.908,,86797.16399999999,,14967.160000000002,4586.07,,7790.2300000000005,3437.3279999999995,1161.687,,34119.165,41321.4349,610.9894,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,,,13,4,2,,,,,,,104,185,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447-D-3,
[1334],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s G-29 [1334],SYENITE [1334],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1334] ,318323.235,1558.2839999999999,,91560.42300000001,,12729.08,4119.6900000000005,,1214.99,12.0608,542.1206000000001,,44662.07,40950.5064,1527.4734999999998,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,35,7,5,,,,,,,57,60,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70533,,,,,,,,,,,,,,,,,,,,,1447-G-29,
[1334],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s GS-44 [1334],"BASALT, ALKALINE [1334] / BASALT [1334]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1334] ,219694.45,16901.388,,78329.148,,25598.04,69257.43000000001,,68611.2,47760.768,1471.4702,,15938.88,24258.7239,1963.8945,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,240,,,68,290,27,,,,,,,24,700,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70327,,,,,,,,,,,,,,,,,,,,,1447-GS-44,
[1333][6583][1214],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s GU22 [1333],"BASALT, ALKALINE, LABRADORITE [1333] / BASALT, ALKALINE [6583]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1333] ,,,,,,,,,,,,,10791.95,29674.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,3.6,1,,,,,,20.038,,15.619,,40.019,,,,,,,,,,,,,,,1447-GU22,
[1333][1214],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s GU44 [1333],"BASALT, OLIVINE-LABRADORITE [1333] / BASALT, ALKALINE [1214]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1333] ,,,,,,,,,,,,,5395.975,16691.7825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.83,0.51,,,,,,20.088,,15.615,,40.106,,,,,,,,,,,,,,,1447-GU44,
[1333][94][1214],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s GU77 [1333],"BASALT, ALKALINE, LABRADORITE-ANDESINE [1333] / BASALT [94] / BASALT, ALKALINE [1214]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1333] ,,,,,,,,,,,,,16021.894999999999,35609.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,7.16,1.05,0.512942,,,0.70326,,20.303,,15.635,,40.263,,,,,,,,,,,,,,,1447-GU77,
[1333],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s GU52 [1333],"BASALT, ALKALINE, LABRADORITE-ANDESINE [1333]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1333] ,,,,,,,,,,,,,13697.474999999999,30267.7656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,4.91,1.36,,,,,,20.278,,15.73,,40.55,,,,,,,,,,,,,,,32812,
[2048],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s 1 [2048],"BASALT, ALKALINE [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7035,,,,,,,,,,,,,,,,,,,,,34955,
[2048],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s 2 [2048],"BASALT, ALKALINE [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7034,,,,,,,,,,,,,,,,,,,,,34956,
[2048],SEAMOUNT,FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN,,27.88,28.2,-118.23,-118.38,SUBAQUATIC,,,s 3 [2048],"BASALT, ALKALINE [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7033,,,,,,,,,,,,,,,,,,,,,34957,
