Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / NIU / PACIFIC OCEAN,,4.63,4.63,172.36,172.36,SUBAQUATIC,,,s NIU-2 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,245824.06650000004,16961.322,,76317.9942,,,,48503.520000000004,86978.99,34252.672,774.4580000000001,,13531.445,22626.638499999997,698.2736,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,3.03,,,,,,,,,,,,,0.512813,,,0.703326,,20.155,,15.662,,39.796,,,,,,,,0.282907,,,,,,,383125,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / SUA / PACIFIC OCEAN,,4.25,4.25,172.4,172.4,SUBAQUATIC,,,s SUA-1 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,274664.80600000004,18819.275999999998,,111354.4104,,,,33890.280000000006,49171.36,3316.7200000000003,464.6748,,8135.47,24703.8381,2356.6734,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,6.27,,,,,,,,,,,,,0.51258,,,0.703153,,20.101,,15.639,,39.665,,,,,,,,0.282942,,,,,,,383126,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / BURTARITARI / PACIFIC OCEAN,,2.7,2.7,172.82,172.82,SUBAQUATIC,,,s BUR-2 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,251900.7215,18519.606,,83092.407,,,,44927.94,82476.37999999999,25991.023999999998,697.0122,,7637.38,19065.724899999997,3273.1575000000003,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,4.49,,,,,,,,,,,,,0.51279,,,0.703487,,20.582,,15.722,,40.231,,,,,,,,0.282905,,,,,,,383127,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / MUSINA / PACIFIC OCEAN,,2.49,2.49,172.88,172.88,SUBAQUATIC,,,s MUS-2 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512784,,,0.703474,,20.546,,15.722,,40.305,,,,,,,,0.282876,,,,,,,383128,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / TOFE TOLU / PACIFIC OCEAN,,0.78,0.78,173.27,173.27,SUBAQUATIC,,,s TOF-2 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,0.703237,,20.282,,15.661,,39.866,,,,,,,,0.282907,,,,,,,383129,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / CURRERI / PACIFIC OCEAN,,0.19,0.19,172.84,172.84,SUBAQUATIC,,,s CUR-1 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512826,,,0.703644,,19.316,,15.637,,39.28,,,,,,,,,,,,,,,383130,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / CURRERI / PACIFIC OCEAN,,0.19,0.19,172.84,172.84,SUBAQUATIC,,,s CUR-3 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512809,,,0.703557,,20.753,,15.682,,40.568,,,,,,,,,,,,,,,383131,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / NONOUTI / PACIFIC OCEAN,,-0.43,-0.43,174.11,174.11,SUBAQUATIC,,,s NON-1 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,213524.30800000002,27389.838,,53401.4259,,,,86513.49,110349.68,55057.552,1084.2412000000002,,5395.975,3560.9136,2618.526,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,6.37,,,,,,,,,,,,,,,,,,20.043,,15.622,,40.93,,,,,,,,0.282972,,,,,,,383132,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / PALUTU / PACIFIC OCEAN,,-0.92,-0.92,175.49,175.49,SUBAQUATIC,,,s PAL-4 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,252929.0785,16361.981999999998,,81716.3544,,,,47493.030000000006,90123.67,29006.223999999995,619.5664,,5894.065,18991.5392,1003.7683000000001,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,3.74,,,,,,,,,,,,,0.512861,,,0.70313,,20.301,,15.662,,39.988,,,,,,,,0.282953,,,,,,,383133,
[12822],SEAMOUNT,GILBERT RIDGE SEAMOUNTS / BERU / PACIFIC OCEAN,,-1.14,-1.14,175.74,175.74,SUBAQUATIC,,,s BER-2 [12822],"BASALT, ALKALINE [12822]",64000000 [12822],78000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512874,,,0.703047,,19.862,,15.647,,39.631,,,,,,,,0.282939,,,,,,,383134,
