Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[1473][138][137],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN,,18.95,18.95,-155.27,-155.27,SUBAQUATIC,,,s HW2-16 [1473] / s 78HW-2-16 [138],THOLEIITE [1473],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from GLASS [137],VOLCANIC GLASS [1473] / WHOLE_ROCK [138] / MINERAL / COMPONENT (INCL. GROUNDMASS) [137] ,,,,,,,,,,,,,,,,4100.,,,,,,,290.,,,,,,,,,,,,,,,,,,,,,,,0.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703446,,,,,,,,,,,,,,,,24.4,,,,,11-78HW-2-16
[588],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN,,18.95,18.95,-155.27,-155.27,SUBAQUATIC,,,s 16A [588],BASALT [588],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [588] ,234184.93500000003,12586.14,,72507.387,,,,86280.3,78617,47700.464,1316.5786,,2656.48,17433.6395,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11857
[588],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN,,18.95,18.95,-155.27,-155.27,SUBAQUATIC,,,s 2C [588],BASALT [588],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [588] ,219227.015,19778.219999999998,,76741.395,,,,95607.90000000001,78617,34312.976,1316.5786,,6641.200000000001,14614.5829,1571.1155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11858
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-5068,-5068,s 2335-1 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,209644.59750000003,11027.856,,45991.9119,,,,94286.49,61821.55,121452.256,1316.5786,,3403.615,10385.998,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,269.34,1632.22,1353.86,,111.05,989.78,172.74,102.53,,,,,,7.36,283.49,17.68,197.94,14.72,,,,,,,,,,,,,107.05,8.9,26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12058
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-5068,-5068,s 2335-2 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,208803.21450000003,10788.119999999999,,44351.23380000001,,,,94597.41,59534.51,126336.87999999999,1316.5786,,3154.57,9866.6981,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.53,,255.26,1673.79,1334.99,,113.34,1017.27,181.35,99.76,,,,,,6.94,272,17.66,104.27,14.3,,,,,,,,,,,,,100.63,9.04,18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12059
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-5057,-5057,s 2335-3 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,206653.01350000003,9889.109999999999,,40858.1772,,,,96307.47,54817.49,136528.256,1316.5786,,2905.5249999999996,9569.9553,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.46,,238.91,1830.31,1372.6,,130.5,1137.81,158.99,101.75,,,,,,6.26,252.29,15.68,95.12,13.19,,,,,,,,,,,,,94.18,11.42,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-5025,-5025,s 2335-5 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,206232.32200000001,9889.109999999999,,41069.8776,,,,96307.47,54817.49,137613.728,1316.5786,,2988.54,9569.9553,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18,,236.91,1743.53,1351.54,,122.73,1151.74,156.03,102.48,,,,,,6.31,253.01,16.2,96.69,13.62,,,,,,,,,,,,,89.36,12.91,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12061
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4983,-4983,s 2335-6 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,205764.88700000002,9589.44,,39799.6752,,,,96074.28,54102.79,140267.104,1316.5786,,2822.51,9050.6554,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38,,229.68,1771.92,1384.36,,118.7,1151.43,143.68,101.23,,,,,,6.44,247.11,15.5,94.2,12.98,,,,,,,,,,,,,93.77,10.84,14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12062
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4979,-4979,s 2335-7 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,204923.50400000004,9469.572,,39958.4505,,,,97317.95999999999,53316.62,142076.224,1316.5786,,2739.4950000000003,8753.9126,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79,,230.23,1848.19,1358.56,,122.51,1205.67,153.77,101.84,,,,,,6.06,244.67,15.79,92.14,12.88,,,,,,,,,,,,,89.3,12.39,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12063
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4976,-4976,s 2335-8 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,205484.426,9769.241999999998,,40276.0011,,,,96074.28,55746.6,137674.03199999998,1316.5786,,2905.5249999999996,8976.4697,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16,,234.12,1757.21,1363,,120.04,1136.41,149.81,99.26,,,,,,6.66,250.54,15.86,94.42,13.09,,,,,,,,,,,,,91.01,8.53,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12064
