Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4562],SEAMOUNT,HONSHU ARC / MEIYO / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,,39.6,39.6,137.719,137.719,SUBAQUATIC,-1435,-1435,s MESA [4562],"ANDESITE, AUGITE [4562]",,,,,,,,HYALOPILITIC [4562] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [4562] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,,,,,,,,,,,,,,,,,,,,,127846,
[4562],SEAMOUNT,HONSHU ARC / MATSU / PACIFIC OCEAN,,39.533,39.533,138.183,138.183,SUBAQUATIC,975,975,s MASA [4562],"ANDESITE, AUGITE-HYPERSTHENE [4562]",,,,,,,,HYALOPILITIC [4562] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [4562] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,,,,,,,,,,,,,,,,,,,,,127847,
[4195][4087],SEAMOUNT,HONSHU ARC / SHIRIBESHI SEAMOUNT / SITE G-3 / PACIFIC OCEAN,,43.5825,43.5838,139.5212,139.5212,SUBAQUATIC,270,330,s II-1 [4195],"ANDESITE, OLIVINE-AUGITE [4195] / ANDESITE, BASALTIC [4087]",900000 [4087],900000 [4087],,QUATERNARY [4195],,,,"VESICULAR, PORPHYRITIC, HYALOPILITIC GROUNDMASS [4195] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4195] ,254565.10100000002,5094.389999999999,,98969.937,,,,53944.62,61821.55,32925.984,1161.687,,13531.445,20994.5531,1265.6209,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,37,71,,,,,,,,69,471,24,118,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,,15622-II-1,
[4195][4087],SEAMOUNT,HONSHU ARC / SHIRIBESHI SEAMOUNT / SITE G-3 / PACIFIC OCEAN,,43.5825,43.5838,139.5212,139.5212,SUBAQUATIC,270,330,s II-7 [4195],"ANDESITE, OLIVINE-AUGITE [4195] / ANDESITE, BASALTIC [4087]",900000 [4087],900000 [4087],,QUATERNARY [4195],,,,"VESICULAR, PORPHYRITIC, HYALOPILITIC GROUNDMASS [4195] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4195] ,253957.43550000002,4854.654,,98017.2852,,,,52623.21,62607.72,33951.151999999995,1006.7954,,13365.415,21513.853,1265.6209,2300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,39,70,,,,,,,,70,478,23,118,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70298,,,,,,,,,,,,,,,,,,,,,15622-II-7,
[4195][4087],SEAMOUNT,HONSHU ARC / SHIRIBESHI SEAMOUNT / SITE G-3 / PACIFIC OCEAN,,43.5825,43.5838,139.5212,139.5212,SUBAQUATIC,270,330,s II-9 [4195],"ANDESITE, OLIVINE-AUGITE [4195] / ANDESITE, BASALTIC [4087]",900000 [4087],900000 [4087],,QUATERNARY [4195],,,,"VESICULAR, PORPHYRITIC, HYALOPILITIC GROUNDMASS [4195] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4195] ,256434.84100000001,5094.389999999999,,98176.0605,,,,53089.590000000004,61893.020000000004,31478.688,1006.7954,,13946.519999999999,21217.1102,1309.263,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,37,72,,,,,,,,71,479,24,120,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70297,,,,,,,,,,,,,,,,,,,,,15622-II-9,
[4195][4087],SEAMOUNT,HONSHU ARC / SHIRIBESHI SEAMOUNT / SITE G-5 / PACIFIC OCEAN,,43.5937,43.5952,139.5713,139.5713,SUBAQUATIC,275,395,s IV-1 [4195],"BASALT, OLIVINE-AUGITE [4195] / ANDESITE, BASALTIC [4087]",900000 [4087],900000 [4087],,QUATERNARY [4195],,,,"VESICULAR, PORPHYRITIC, HYALOPILITIC GROUNDMASS [4195] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4195] ,249189.59850000002,4974.521999999999,,97646.8095,,,,52856.4,65680.93,36303.007999999994,929.3496,,12618.28,19881.7676,1221.9788,4800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,38,83,,,,,,,,55,422,22,99,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,,15624-IV-1,
[6927],SEAMOUNT,HONSHU ARC / SHIRIBESHI SEAMOUNT / SITE G-3 / PACIFIC OCEAN,,43.5825,43.5838,139.5212,139.5212,SUBAQUATIC,270,330,s 2-9 [6927],"ANDESITE, BASALTIC [6927]",900000 [6927],900000 [6927],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6927] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,4.96,,,,,,,,,,,,,,,,,,,,,,,,0.512923,,,,,,,,,,,,,,,,,,,,,,,,168463,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,STEEP SLOPE OF EASTERN PART OF YAMATO SEAMOUNT,38.895,38.91,136.013,136.023,SUBAQUATIC,-1510,-1600,"s D-5A,016 [4175]",TRACHYANDESITE [4175],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4175] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70359,,,,,,,,,,,,,,,,,,,,,303180,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,WESTERN FLANK OF EASTERN PART OF YAMATO SEAMOUNT,38.908,38.913,135.968,135.972,SUBAQUATIC,-910,-1220,"s D-5B,009 [4175]",TRACHYANDESITE [4175],,,,,,,,,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [4175] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7036,,,,,,,,,,,,,,,,,,,,,303182,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / MEIYO-DAISAN / DREDGE D-8 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,SLOPE OF WESTERN FLANK OF MEIYO-DAISAN SEAMOUNT,40.168,40.173,139.912,139.917,SUBAQUATIC,-2190,-2260,"s D-9,001 I [4175]",LIGNITE [4175],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4175] ,202866.79,8690.429999999998,,109184.4813,,5385.38,3264.66,,4216.73,2713.68,0.,,10459.89,6825.0844,785.5577999999999,,,,,,,,,,,,,,,,297200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303188,
