Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4658],SEAMOUNT,IZU-BONIN ARC / KAITOKU / DREDGE D77 / PACIFIC OCEAN,,25.1,25.1,141.5,142,SUBAQUATIC,-800,-975,s 77-6 [4658],ANDESITE [4658],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4658] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,249,1,,,26,4,65,,17,,,,,13.4,267,34.7,94.6,1.42,,,,,,,,,,,,0.48,229,6.53,14.4,2.56,12.8,3.73,1.28,5.14,0.93,5.42,1.17,3.43,0.55,3.27,0.54,2.83,0.1,,,,,,,,,3.08,,0.76,0.49,,,,,,,,,,,,,,,,,,,,,,,,,104830,
[2332],SEAMOUNT,IZU-BONIN ARC / TORISHIMA / SITE 783 / PACIFIC OCEAN,"HOLE 783A, TORISHIMA FORE-ARC",30.19643,30.19643,141.7878,141.7878,SUBAQUATIC,-4660,-4660,s 125-783A18R-1 [2332],"HARZBURGITE, SPINEL [2332]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [2332] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002518,,,,,,,,,,,,,,,,,,,,,,,,0.127374,,,,,,,,,,10587-783A 18R-1,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s #884-1 [5034],"ANDESITE, BASALTIC [5034]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,247132.88450000001,8031.156,,99022.86210000001,,,,59929.83,65895.34000000001,19297.28,1084.2412000000002,,9712.755,25964.995,1571.1155999999999,,,,,,,,,,,,,,,,13000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,352,19,,,28.3,13,91,114,,,,,,21,447,33,103,4,,,,,,,,,,,,0.4,137,10.9,24.6,,,4.84,1.73,,0.94,,,,,3.3,0.47,2.44,0.38,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,114578,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D8-5 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,314490.26800000004,3056.634,,84150.909,,,,22852.62,13293.42,5970.096,2400.8197999999998,,20089.63,40579.5779,610.9894,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,49,4,,,7.62,8,12,48,,,,,,24,184,26,167,6,,,,,,,,,,,,,242,9.19,22.9,,,2.85,0.86,,0.69,,,,,2.5,0.31,3.84,0.3,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,114579,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D8-6 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,322109.4585,2936.7659999999996,,78911.3241,,,,22930.350000000002,19296.9,6090.704,4569.3022,,13531.445,34570.5362,523.7052,,,,,,,,,,,,,,,,14100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,,41,11,,,10.2,20,11,68,,,,,,14,244,23,153,5,,,,,,,,,,,,,300,8.56,19.8,,,2.38,0.77,,0.45,,,,,2.2,0.27,3.39,0.27,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,114580,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D8-7 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,331738.61950000003,2996.7,,78170.3727,,,,19587.96,18582.2,1929.7279999999998,619.5664,,17018.074999999997,33680.3078,523.7052,,,,,,,,,,,,,,,,9700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,52,15,,,2.35,3,10,38,,,,,,17,208,23,146,4,,,,,,,,,,,,0.1,229,9.01,19.2,,,2.39,0.77,,0.47,,,,,2.4,0.28,3.2,0.25,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,114581,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D9-1 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,289248.77800000005,4495.049999999999,,84045.05880000001,,,,36844.020000000004,24228.33,20081.232,1161.687,,25651.635,21662.2244,785.5577999999999,,,,,,,,,,,,,,,,32500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,111,7,,,9.99,14,19,74,,,,,,41,198,40,192,7,,,,,,,,,,,,,243,15,34.5,,,5.14,1.55,,1.2,,,,,4.2,0.58,5.01,0.41,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,114582,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D9-2 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,293035.0015,4495.049999999999,,84997.71059999999,,,,36533.1,23513.63,18272.111999999997,1394.0244,,23161.185,23442.6812,785.5577999999999,,,,,,,,,,,,,,,,24500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,,94,10,,,4.91,29,16,70,,,,,,39,223,38,192,6,,,,,,,,,,,,0.1,215,7.13,15.3,,,2.5,0.73,,0.54,,,,,2.4,0.27,2.78,0.23,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,114583,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D9-7 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,287893.21650000004,4435.116,,88649.54250000001,,,,36377.64,23799.510000000002,18513.327999999998,774.4580000000001,,24655.455,28264.7517,785.5577999999999,,,,,,,,,,,,,,,,23600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,93,7,,,8.44,22,26,64,,,,,,41,226,38,204,7,,,,,,,,,,,,,210,12,26.3,,,4.26,1.2,,0.97,,,,,3.7,0.47,4.34,0.36,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,114584,
[5034],SEAMOUNT,IZU-BONIN ARC / MANJI / PACIFIC OCEAN,,31.83,31.92,138.92,139,SUBAQUATIC,,,s D9-9 [5034],DACITE [5034],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5034] ,301074.8835,4075.512,,82880.7066,,,,32257.950000000004,22084.23,16704.208,2168.4824000000003,,22497.065,26558.4806,698.2736,,,,,,,,,,,,,,,,19700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,95,4,,,13,70,13,62,,,,,,38,248,36,189,6,,,,,,,,,,,,0.2,215,17.8,36.8,,,6.04,1.63,,1.1,,,,,5.1,0.57,5.4,0.46,,,,,,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,114585,
