Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[764],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 9DS / PACIFIC OCEAN,,-33.7783,-33.7783,-81.7117,-81.7117,SUBAQUATIC,-1770,-1770,s 1D10FS [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,218245.4015,28648.452,,82192.6803,,,,98250.72,69969.12999999999,31418.384,1471.4702,,11207.025000000001,24852.2095,2269.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,27,,,,,,,,26,831,26,275,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51281,,,0.70351,,,,,,,,,,,,,,,,,,,,,111444,
[764],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 3D / PACIFIC OCEAN,,-33.6717,-33.6717,-78.4633,-78.4633,SUBAQUATIC,-322,-322,s 3D11AS [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,221283.72900000002,24333.203999999998,,87591.0405,,,,84647.97,69611.78,35458.752,1316.5786,,10874.965,27522.894699999997,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,,,,,44,,,,,,,,25,721,34,302,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51287,,,0.70347,,,,,,,,,,,,,,,,,,,,,111445,
[3526][16704],SEAMOUNT,JUAN FERNANDEZ ISLANDS / DOMINGO / DREDGE 10DS / PACIFIC OCEAN,,-33.955,-33.955,-81.8333,-81.8333,SUBAQUATIC,-2300,-2300,s 10DS-5 [3526],BASANITE [3526] / BASALT [16704],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,204035.3775,26191.158,,81504.65400000001,,,,101437.65000000001,62679.189999999995,41067.024,1316.5786,,12120.19,29080.7944,3971.4311000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,14.9,,277,119.6,,,46.6,121.4,38.6,138,,,,,,21.8,750,33.4,252,45.2,,,,,,,,,,,,0.33,328,32.6,75.9,9.95,42.9,9.45,3.09,8.71,1.23,6.7,1.16,3.03,0.37,2.28,0.3,6.02,2.82,,,,,,,,,2.83,,2.74,0.93,0.512878,,,0.703547,,19.185,,15.593,,39.035,,,,,,,,,,,,,,,15237-10DS-5,
[16704],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7 DS-1 [16704],BASALT [16704],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16704] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646066,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-1 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,237036.28850000002,16721.586,,87379.34010000002,,,,82704.72,50815.170000000006,23759.775999999998,1548.9160000000002,,16852.045,33012.6365,4233.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,172,46.5,,,20.5,29,12.3,160,,,,,,45.8,813,41.2,365,75.9,,,,,,,,,,,,0.64,542,58.9,125,14.94,60.1,12.46,3.86,11.47,1.5,7.94,1.37,3.54,0.44,2.79,0.37,8.18,4.07,,,,,,,,,4.07,,5.72,1.65,0.512846,,,0.703473,,19.175,,15.58,,39.04,,,,,,,,,,,,,,,79042,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-2 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,235914.4445,16661.652,,86373.7632,,,,82238.34,50815.170000000006,23759.775999999998,1471.4702,,16104.91,33754.4935,4189.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,182,149.6,,,22.3,91.5,11.6,166,,,,,,48.4,832,41.8,380,79.2,,,,,,,,,,,,0.62,546,59.8,127.3,15.08,60.6,12.51,3.85,11.5,1.51,8.04,1.38,3.61,0.44,2.67,0.36,8.17,4.13,,,,,,,,,4.06,,5.67,1.73,,,,,,,,,,,,,,,,,,,,,,,,,79043,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-3 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,218151.9145,26251.091999999997,,82774.8564,,,,94752.87,69969.12999999999,29850.48,1316.5786,,11954.16,24407.0953,2880.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,345,91.4,,,38.1,65.7,42,136,,,,,,31.2,729,32.2,260,54.6,,,,,,,,,,,,0.48,401,40.4,86.4,10.46,42.3,9.12,2.9,8.45,1.15,6.19,1.05,2.76,0.35,2.09,0.28,5.95,3,,,,,,,,,3.34,,3.8,1.14,0.512832,,,0.703493,,19.147,,15.555,,38.957,,,,,,,,,,,,,,,79044,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-3 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,218759.58000000002,26311.025999999998,,82827.78150000001,,,,95063.79000000001,69969.12999999999,30031.392,1394.0244,,12037.175,24258.7239,2880.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79045,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-4 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,168,167.6,,,20.5,104.5,11.8,159,,,,,,46.3,790,40.5,360,73.8,,,,,,,,,,,,0.64,541,58.1,124.1,15.07,60.2,12.37,3.85,11.06,1.51,8.08,1.39,3.66,0.45,2.8,0.37,8.44,4.25,,,,,,,,,4.25,,5.83,1.74,,,,,,,,,,,,,,,,,,,,,,,,,79046,
[3526],SEAMOUNT,JUAN FERNANDEZ ISLANDS / FRIDAY / DREDGE 7DS / PACIFIC OCEAN,,-33.7983,-33.7983,-81.715,-81.715,SUBAQUATIC,-2200,-2200,s 7ADS-5 [3526],BASANITE [3526],,,,,,,,"HIGHLY VESICULAR, PHYRIC [3526] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3526] ,237083.032,16781.519999999997,,87167.6397,,,,82860.18000000001,51529.87,23458.255999999998,1471.4702,,17018.074999999997,32196.5938,4233.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,169,10.3,,,20.2,7.7,9.7,162,,,,,,39.8,810,40.8,365,75.1,,,,,,,,,,,,0.6,542,58.6,125.2,15.11,60.1,12.48,3.87,11.18,1.49,8.11,1.4,3.66,0.45,2.75,0.37,8.22,4.21,,,,,,,,,4.07,,5.84,1.69,,,,,,,,,,,,,,,,,,,,,,,,,79047,
