Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 4 / INDIAN OCEAN,,-51.52,-51.52,71.15,71.15,SUBAQUATIC,,,s D4-33 [6183],BASALT [6183],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,231099.864,19178.88,,79916.901,,,,88767.66,58819.810000000005,34855.712,1161.687,,9214.665,27522.894699999997,2705.8102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,183,108,,,42.3,87,,140,27,,,,,17.8,577,29.1,325,38.9,,,,,,,,,,,,,210,29.5,69.7,,38.3,8.88,2.88,,1.06,,,,,1.97,0.27,7.16,2.35,,,,,,,,,,,3.17,,0.512946,,,0.703126,,19.669,,15.678,,39.315,,,,,,,,,,,,,,,138782,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 4 / INDIAN OCEAN,,-51.52,-51.52,71.15,71.15,SUBAQUATIC,,,s D4-37 [6183],BASALT [6183],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,238251.6195,20017.956,,77111.8707,,,,75942.20999999999,62822.13,32564.16,1006.7954,,19923.6,20326.8818,2487.5996999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,119,,,,105,,126,24,,,,,45.7,660,26.3,346,38,,,,,,,,,,,,,468,40,89,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512525,,,0.705942,,18.451,,15.551,,39.009,,,,,,,,,,,,,,,138783,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 5 / INDIAN OCEAN,,-51.52,-51.52,71.13,71.13,SUBAQUATIC,,,s D5-42 [6183],"BASALT, OLIVINE [6183]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,221610.9335,25052.411999999997,,66738.5511,,,,91177.29000000001,64394.47,45107.392,1161.687,,21749.93,19881.7676,4233.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,209,281,,,49.3,177,,167,23,,,,,46.2,882,33,447,71.2,,,,,,,,,,,,1.9,529,59.7,129,,62,12.4,3.84,,1.47,,,,,1.93,0.255,9.87,4.19,,,,,,,,,,,6.76,,0.512582,,,0.705654,,18.179,,15.511,,38.576,,,,,,,,,,,,,,,138784,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 5 / INDIAN OCEAN,,-51.52,-51.52,71.13,71.13,SUBAQUATIC,,,s D5-44A [6183],"BASALT, OLIVINE [6183]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,217030.0705,23374.26,,65785.8993,,,,90477.72,73185.28,45408.912,1703.8076,,18429.33,20771.996,6371.7465999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,221,307,,,51.3,187,,172,22,,,,,33.8,842,34.9,409,65,,,,,,,,,,,,0.3,498,57.7,121,,59.6,11.6,3.55,,1.33,,,,,2.18,0.32,9.2,3.82,,,,,,,,,,,6,,0.512606,,,0.705625,,18.214,,15.517,,38.634,,,,,,,,,,,,,,,138785,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 5 / INDIAN OCEAN,,-51.52,-51.52,71.13,71.13,SUBAQUATIC,,,s D5-44B [6183],"BASALT, OLIVINE [6183]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,214646.15200000003,26311.025999999998,,64674.472200000004,,,,97395.68999999999,70183.54000000001,43057.056,1084.2412000000002,,18180.285,21068.7388,7070.020200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,213,321,,,43.7,163,,229,22,,,,,34.6,907,53.1,451,74.2,,,,,,,,,,,,0.37,478,71.7,131,,69.4,13.4,4.08,,1.71,,,,,2.94,0.4,9.65,4.28,,,,,,,,,,,6.7,,0.512576,,,0.705658,,18.208,,15.527,,38.658,,,,,,,,,,,,,,,138786,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 6 / INDIAN OCEAN,,-51.02,-51.02,71.07,71.07,SUBAQUATIC,,,s D6-85 [6183],PICRITE [6183],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6183] ,215440.79150000002,12166.601999999999,,43504.4322,,,,92032.31999999999,51315.46,117291.27999999998,1239.1328,,11290.04,10756.9265,1527.4734999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,145,1095,,,89.7,799,,132,14,,,,,25.3,422,14.8,200,24,,,,,,,,,,,,0.24,321,25,54.7,,27,5.25,1.7,,0.75,,,,,0.95,0.136,4.32,1.32,,,,,,,,,,,2.4,,0.512543,,,0.705694,,17.875,,15.536,,38.266,,,,,,,,,,,,,,,138787,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 6 / INDIAN OCEAN,,-51.02,-51.02,71.07,71.07,SUBAQUATIC,,,s D6-88 [6183],PICRITE [6183],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6183] ,215347.30450000003,12046.733999999999,,42763.480800000005,,,,93353.73,49957.53,120849.21599999999,1316.5786,,11290.04,11127.855,1483.8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,152,1118,,,92.4,754,,137,14,,,,,26.7,415,15.4,207,24.8,,,,,,,,,,,,0.21,311,24.6,53.4,,24.9,5.18,1.67,,0.66,,,,,1.02,0.146,4.47,1.36,,,,,,,,,,,2.41,,0.512547,,,0.705681,,17.872,,15.538,,38.265,,,,,,,,,,,,,,,138789,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 6 / INDIAN OCEAN,,-51.02,-51.02,71.07,71.07,SUBAQUATIC,,,s D6-89 [6183],PICRITE [6183],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6183] ,215908.22650000002,11986.8,,42234.2298,,,,93042.81000000001,49957.53,121572.86399999999,1239.1328,,11290.04,10608.5551,1483.8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,144,1155,,,91.6,847,,132,13,,,,,25.6,406,14.5,194,23.6,,,,,,,,,,,,0.27,307,23.8,52,,24.8,5.13,1.64,,0.61,,,,,1.02,0.132,4.39,1.16,,,,,,,,,,,2.36,,0.512526,,,0.705699,,17.876,,15.541,,38.278,,,,,,,,,,,,,,,138790,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 4 / INDIAN OCEAN,,-51.52,-51.52,71.15,71.15,SUBAQUATIC,,,s D4-33 [6183],BASALT [6183],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512942,,,0.7031,,19.677,,15.686,,39.347,,,,,,,,,,,,,,,138876,
[6183],SEAMOUNT,KERGUELEN / UNNAMED SEAMOUNT (KERGUELEN) / DREDGE 5 / INDIAN OCEAN,,-51.52,-51.52,71.13,71.13,SUBAQUATIC,,,s D5-44B [6183],"BASALT, OLIVINE [6183]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6183] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705676,,18.197,,15.524,,38.662,,,,,,,,,,,,,,,138877,
