Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3501],SEAMOUNT,KERMADEC ARC / RUMBLE IV / PACIFIC OCEAN,EASTERN ESCARPMENT OF NGATORO BASIN,-35.9,-36.2,-177.7,-178.2,SUBAQUATIC,,,s VUW168-1B [3501],BASALT [3501],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3501] ,234886.08750000002,3895.71,,81504.65400000001,,7763.340000000001,57287.01,,89480.44,50112.624,1084.2412000000002,,3735.675,15653.182699999998,261.8526,,,,,,,,,,,,,,,,11399.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,278,355,,,,90,95,68,14,,,,,8,239,14,40,2,,,,,,,,,,,,,235,3,12,,,,,,,,,,,,,,,,,,,,,,,5,,1,1,0.512989,,,0.70427,,,,,,,,,,,,,,,,,,,,,12161-VUW168-1B,
[3501],SEAMOUNT,KERMADEC ARC / RUMBLE IV / PACIFIC OCEAN,,-35.9,-36.2,-177.7,-178.2,SUBAQUATIC,,,s VUW161 [3501],BASALT [3501],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3501] ,227173.41000000003,4914.588,,82245.6054,,7273.76,54022.35,,92625.12000000001,60364.304,1239.1328,,2241.405,16840.1539,349.1368,,,,,,,,,,,,,,,,5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,245,418,,,,147,57,55,14,,,,,3,203,17,54,2,,,,,,,,,,,,,110,4,10,,,,,,,,,,,,,,,,,,,,,,,5,,,,0.51303,,,0.703616,,,,,,,,,,,,,,,,,,,,,12162-VUW161,
[3501],SEAMOUNT,KERMADEC ARC / RUMBLE IV / PACIFIC OCEAN,,-35.9,-36.2,-177.7,-178.2,SUBAQUATIC,,,s VUW162-1 [3501],BASALT [3501],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3501] ,237830.92800000004,5274.192,,96852.933,,8182.98,60629.4,,80761.1,30634.431999999997,1316.5786,,3818.69,19436.6534,480.0631,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,300,64,,,,32,90,76,19,,,,,8,288,20,57,,,,,,,,,,,,,,187,5,16,,,,,,,,,,,,,,,,,,,,,,,7,,1,,0.513,,,0.703976,,,,,,,,,,,,,,,,,,,,,12162-VUW162-1,
[6185],SEAMOUNT,KERMADEC ARC / VULKANOLOG / DREDGE 46DR / PACIFIC OCEAN,,-30.688,-30.688,-178.451,-178.451,SUBAQUATIC,-125,-125,s 46DR-1 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,232315.19500000004,3835.776,,88014.44129999999,,,,79595.52,85764,47218.032,1394.0244,,1411.255,12314.8262,261.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,,154,,,46.8,76.9,87.2,82.5,,,,,,2.22,166,12.3,23.5,0.27,,,,,,,,,,,,0.14,45,1.39,3.57,0.64,3.4,1.27,0.51,1.7,0.32,2.18,0.48,1.49,0.22,1.47,0.22,0.9,0.04,,,,,,,,,1.8,,0.26,0.09,0.513022,,,0.703743,,18.711,,15.591,,38.514,,,,,,,,,,,,,,,138686,
[6185],SEAMOUNT,KERMADEC ARC / VULKANOLOG / DREDGE 46DR / PACIFIC OCEAN,,-30.688,-30.688,-178.451,-178.451,SUBAQUATIC,-125,-125,s 46DR-5 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,237924.415,3835.776,,95212.2549,,,,80761.47,80475.22,35820.576,1471.4702,,2573.465,12611.569,261.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,54.3,,,42.1,37,82.7,82.2,,,,,,5.2,163,16.7,24.3,0.34,,,,,,,,,,,,0.17,82.6,2.85,6.32,1.24,6.27,1.98,0.67,2.58,0.46,3.02,0.66,1.98,0.28,1.88,0.29,0.95,0.04,,,,,,,,,1.69,,0.34,0.12,0.512995,,,0.703768,,18.697,,15.567,,38.443,,,,,,,,,,,,,,,138687,
[6185],SEAMOUNT,KERMADEC ARC / SONNE / DREDGE 49DR / PACIFIC OCEAN,,-34,-34,-178.556,-178.556,SUBAQUATIC,-2000,-2000,s 49DR-1 [6185],DACITE [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,333748.59,4974.521999999999,,71395.9599,,,,39098.19,30088.87,16342.383999999998,1548.9160000000002,,830.1500000000001,21365.4816,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,,0.55,,,8.17,2.33,303,173,,,,,,0.54,151,34.4,88.1,1.55,,,,,,,,,,,,0.03,119,5.79,15,2.45,12.4,4.02,1.19,5.12,0.93,6.2,1.37,4.21,0.61,4.11,0.62,3.13,0.11,,,,,,,,,1.55,,0.83,0.45,0.513016,,,0.704081,,18.847,,15.624,,38.701,,,,,,,,,,,,,,,138688,
[6185],SEAMOUNT,KERMADEC ARC / SONNE / DREDGE 49DR / PACIFIC OCEAN,,-34,-34,-178.556,-178.556,SUBAQUATIC,-2000,-2000,s 49DR-7 [6185],NOT GIVEN [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,288874.83,5453.994,,77323.5711,,,,59852.1,47956.37,16583.6,1703.8076,,5728.035,29748.465699999997,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,0,,,18.8,2,44.3,92.2,,,,,,13.3,189,29.6,76,1.18,1.95,,,,,,,,0.14,,,0.81,293,5,13.1,2.17,11.2,3.64,1.21,4.62,0.81,5.43,1.19,3.41,0.51,3.44,0.52,2.5,0.08,0.5,,,,,,,0.14,4.26,,0.7,0.32,0.513019,,,0.704041,,18.832,,15.617,,38.672,,,,,,,,,,,,,,,138689,
[6185],SEAMOUNT,KERMADEC ARC / BROTHERS / DREDGE 52DR / PACIFIC OCEAN,NORTHERN INNER CALDERA WALL,-34.858,-34.858,-179.06,-179.06,SUBAQUATIC,-1680,-1680,s 52DR-3 [6185],DACITE [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,318323.235,5513.928,,77111.8707,,,,32802.06,22441.58,5849.487999999999,851.9038,,19093.449999999997,28635.6802,741.9157,,,,,,,2700.,5400.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,0.18,,,6.58,0.61,25.5,85.9,,,,,,43.3,192,38.4,169,3.1,,,,,,,,,,,,1.48,1009,14.5,33,4.79,21.2,5.54,1.64,6.25,1.07,6.88,1.51,4.7,0.69,4.78,0.73,5.59,0.2,,,,,,,,,8.2,,3.17,1.18,0.512987,,,0.704027,,18.891,,15.617,,38.66,,,,,,,,,,,,,,,138690,
[6185],SEAMOUNT,KERMADEC ARC / BROTHERS / DREDGE 52DR / PACIFIC OCEAN,NORTHERN INNER CALDERA WALL,-34.858,-34.858,-179.06,-179.06,SUBAQUATIC,-1680,-1680,s 52DR-4 [6185],DACITE [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,320192.97500000003,5633.795999999999,,77323.5711,,,,33035.25,22584.52,5970.096,1006.7954,,19342.495,27893.8232,785.5577999999999,,,,,,,2700.,5300.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,3.17,,,6.91,0.9,27.5,87.7,,,,,,43.3,190,39.1,169,3.14,,,,,,,,,,,,1.47,1023,14.8,34,4.93,22,5.72,1.64,6.25,1.08,7,1.52,4.78,0.7,4.88,0.75,5.64,0.2,,,,,,,,,8.36,,3.24,1.22,0.51298,,,0.704056,,18.871,,15.607,,38.619,,,,,,,,,,,,,,,138691,
[6185],SEAMOUNT,KERMADEC ARC / BROTHERS / DREDGE 59DR / PACIFIC OCEAN,NORTHERN INNER CALDERA WALL,-34.858,-34.858,-179.059,-179.059,SUBAQUATIC,-1623,-1623,s 59DR-4 [6185],DACITE [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,297288.66000000003,5813.597999999999,,76106.29380000001,,,,37776.780000000006,28873.88,9347.119999999999,542.1206000000001,,16852.045,31677.293899999997,1178.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,9.12,,,9.97,0,55.6,79.7,,,,,,23.5,234,36.7,161,2.96,2.73,,,,,,,,0.3,,,1.12,912,14.1,32.3,4.76,21.5,5.59,1.54,6.11,1.01,6.56,1.41,4.13,0.62,4.24,0.65,4.88,0.18,0.56,,,,,,,0.56,11.5,,2.66,1.25,,,,,,,,,,,,,,,,,,,,,,,,,138692,
