Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4190],SEAMOUNT,KURILE ARC / SEAMOUNT 7.10 / PACIFIC OCEAN,,46,47,148,149,SUBAQUATIC,,,s B150-80/5 [4190],"ANDESITE, BASALTIC [4190]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4190] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,73,,,0.48,,,,,,,,0.9,,,,,,,0.6,0.07,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.113,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,118299,
[3048],SEAMOUNT,"KURILE ARC / SEAMOUNT 3, 19 / PACIFIC OCEAN",,48,52,153,156,SUBAQUATIC,,,s V25-36/1 [3048],"BASALT, OLIVINE-ORTHOPYROXENE-CLINOPYROXENE [3048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3048] ,231006.37700000004,4315.248,,78276.2229,,20702.239999999998,45394.32,,90695.43,61268.863999999994,1394.0244,,5645.02,15949.9255,610.9894,,,,,,,,,,,,,,,,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,230,407,,,39.2,150,,,,,,,,9,380,,,,,,,,,,,,,,,0.41,192,6.23,14.7,,9,2.43,0.8,,0.48,,,,,1.49,0.23,1.45,0.1,,,,,,,,,,,1.08,0.4,,,,,,,,,,,,,,,,,,,,,,,,,137279,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 48-1-3A [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6484] ,224602.51750000002,5513.928,,90290.2206,,,,59696.64,79188.76,46916.511999999995,1161.687,,11705.115,17211.0824,1440.1893,10200.,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,188,,,34,93,,67,15,,,,,20,516,24,70,4,,,,,,,,,,,,,366,0,20,0,4,,,,,,,,,,,,,,,,,,,,,0,,6,,0.513048,,,0.702953,,18.389,,15.485,,38.101,,,,,,,,,,,,,,,147822,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 56-1-3A [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6484] ,225443.9005,5633.795999999999,,93889.1274,,,,54955.11,81904.62000000001,35820.576,929.3496,,12618.28,18546.425,1440.1893,14000.,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,172,,,34,96,,67,15,,,,,27,540,25,78,5,,,,,,,,,,,,,319,0,51,0,,,,,,,,,,,,,,,,,,,,,,0,,10,,0.513045,,,0.70294,,18.396,,15.491,,38.115,,,,,,,,,,,,,,,147825,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s GE99-39/6 [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6484] ,216889.84,3596.0399999999995,,113577.26460000001,,,,66770.06999999999,108062.64,21166.703999999998,1936.145,,1245.225,12982.4975,305.4947,7000.,,,,16600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,0,,,39,10,,72,14,,,,,0,344,11,36,0,,,,,,,,,,,,,87,0,0,0,,,,,,,,,,,,,,,,,,,,,,11,,0,,0.513096,,,0.703424,,18.38,,15.508,,38.194,,,,,,,,,,,,,,,147831,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s GE99-39/6 [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6484] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,0,,,23,15,185,49,17,1.7,0,,,0,318,10.3,17,0,0,,,,0,,0,0,0,,,0.1,45,0.99,2.8,0.45,2.54,0.91,0.45,1.32,0.25,1.61,0.36,1.08,0.17,1.15,0.17,0.5,0,0,,,,,,,0,,0,0.15,0.82,,,,,,,,,,,,,,,,,,,,,,,,,147841,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 48-1-1D [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6484] ,251199.56900000002,9349.704,,87591.0405,,,,64360.439999999995,45026.1,17126.336,1781.2534,,28391.13,30638.694099999997,3840.5048,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147843,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 48-1-3A [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6484] ,251433.28650000002,8870.232,,88067.36640000001,,,,63738.59999999999,41381.13,16342.383999999998,1626.3618,,28972.235,32790.079399999995,3447.7259000000004,,,,,,,,,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147844,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 48-1-3B [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6484] ,252087.69550000003,9589.44,,85844.5122,,,,64904.549999999996,43453.76,16221.775999999998,2013.5908,,30051.43,30787.0655,3971.4311000000002,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147845,
[6484],SEAMOUNT,KURILE ARC / GEOPHYSICIST / OKHOTSK SEA / PACIFIC OCEAN,,48.2,48.2,151.7,151.7,SUBAQUATIC,-2300,,s 56-1-2/2 [6484],NOT GIVEN [6484],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6484] ,253162.796,8870.232,,89602.1943,,,,64127.25,44168.46,16342.383999999998,1858.6992,,26481.785,31825.6653,4015.0732000000003,,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147847,
