Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,CRATER,12.2972,12.2972,61.6372,61.6372,SUBAQUATIC,-200,-200,s 017 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,216889.84,6173.202,,103521.4956,,17345.12,47570.76,,74471.74,59459.74399999999,1084.2412000000002,,4980.9,16543.411099999998,218.21050000000002,,5400.,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127235,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.3,12.3,61.63,61.63,SUBAQUATIC,,,s 018 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,217731.223,7192.079999999999,,104579.99760000002,,20072.780000000002,46948.92,,81261.39,48605.024,1316.5786,,5645.02,18323.8679,349.1368,,8200.,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127237,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2972,12.2972,61.6386,61.6386,SUBAQUATIC,-220,-220,s 11(2) [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,219320.50200000004,5993.4,,94577.15370000001,,18464.16,52001.37,,76758.78,63077.984000000004,1239.1328,,4316.78,16172.482600000001,261.8526,,5000.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127238,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2847,12.2847,61.6478,61.6478,SUBAQUATIC,-760,-760,s 014 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,219974.91100000002,6173.202,,97223.40870000001,,20352.54,46249.35,,72613.52,57469.71199999999,1239.1328,,5395.975,17433.6395,349.1368,,10100.,3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127239,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2847,12.2847,61.6617,61.6617,SUBAQUATIC,-1140,-1140,s 009 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,230211.73750000002,6053.334,,100240.13940000001,,17834.699999999997,45549.780000000006,,69397.37000000001,40162.464,1239.1328,,7969.44,19733.3962,436.42100000000005,,13600.000000000002,2900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127241,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,CRATER,12.2972,12.2972,61.6372,61.6372,SUBAQUATIC,-200,-200,s 020 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,232128.221,5573.862,,103786.1211,,17624.88,45705.24,,69111.49,34011.456,1394.0244,,7969.44,21662.2244,436.42100000000005,,15500.,3000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127242,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2994,12.2994,61.6464,61.6464,SUBAQUATIC,-560,-560,s 010 [4484],"BASALT, OLIVINE [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,234371.909,5394.0599999999995,,110031.2829,,13638.3,46948.92,,76758.78,22855.216,1316.5786,,9546.724999999999,23368.495499999997,436.42100000000005,,6100.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127243,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,,12.3083,12.3083,61.6575,61.6575,SUBAQUATIC,-1030,-1030,s 005 [4484],"BASALT, OLIVINE [4484]",,,,,,,,GLASSY [4484] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,234652.37000000002,5394.0599999999995,,105850.20000000001,,16365.96,46638,,74972.03,29488.655999999995,1239.1328,,8301.5,23516.866899999997,436.42100000000005,,5200.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127244,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,CRATER,12.2972,12.2972,61.6372,61.6372,SUBAQUATIC,-200,-200,s 017E [4484],"BASALT, ANDESITIC [4484]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,248628.6765,4854.654,,102410.06850000001,,19023.68,38165.43,,63108.01,25508.592,1161.687,,8965.62,22478.267099999997,392.77889999999996,,6500.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127245,
[4484],SEAMOUNT,LESSER ANTILLES / KICK-EM-JENNY / CARIBBEAN SEA / ATLANTIC OCEAN,CRATER,12.2972,12.2972,61.6372,61.6372,SUBAQUATIC,-200,-200,s 017B [4484],ANDESITE [4484],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4484] ,277142.21150000003,4914.588,,79175.9496,,6854.12,34512.12,,61678.61000000001,19659.103999999996,542.1206000000001,,5894.065,24852.2095,218.21050000000002,,29500.,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127246,
