Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2449],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN,HOLE 315A,4.1712,4.1712,-158.525,-158.525,SUBAQUATIC,-4164,-4164,"s 33-315A-32-4,53-55 [2449]","BASALT, TRANSITIONAL [2449]",,,,,,,,DIABASIC TO INTERSERTAL [2449] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2449] ,,,,,,,,,,,,,2008.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10015-32-4, 53-55",
[2449],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN,HOLE 315A,4.1712,4.1712,-158.525,-158.525,SUBAQUATIC,-4164,-4164,"s 33-315A-34-1,99-101 [2449]","BASALT, TRANSITIONAL [2449]",,,,,,,,DIABASIC TO INTERSERTAL [2449] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2449] ,,,,,,,,,,,,,1643.6970000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10015-34-1, 99-101",
[6181],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 69 / PACIFIC OCEAN,,20.1317,20.1317,-170.6933,-170.6933,SUBAQUATIC,-1490,-1490,s SO33-D69-1 [6181],MUGEARITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,244468.505,12526.205999999998,,99499.18800000001,,,,57908.85,52601.920000000006,14895.088,1703.8076,,23161.185,33012.6365,5411.6204,,,,,,,,,,,,,,,,19700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,46.4,1630,58,480,102,,,,,,,,,,,,,916,86.4,171,,74,13.3,3.99,11.1,1.55,,,,,3.65,0.49,10.4,7.45,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,140149,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 71 / PACIFIC OCEAN,,20.2233,20.2233,-170.6217,-170.6217,SUBAQUATIC,-1740,-2220,s SO33-D71-9 [6181],BENMOREITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,268775.125,7851.354,,101086.941,,,,49203.090000000004,28516.530000000002,8261.648000000001,2168.4824000000003,,28308.115,41395.6206,1832.9682,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,66.8,1250,62,602,122,,,,,,,,,,,,,1240,90.5,195,,82.7,14.6,4.42,12.2,1.6,,,,,3.76,0.52,12.7,8.7,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,140150,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 71 / PACIFIC OCEAN,,20.2233,20.2233,-170.6217,-170.6217,SUBAQUATIC,-1740,-2220,s SO33-D71-63 [6181],MUGEARITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,269242.56000000006,7851.354,,102674.694,,,,41818.74,30946.510000000002,8683.776,1936.145,,28640.175000000003,44363.0486,1876.6103,,,,,,,,,,,,,,,,19300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,49.6,1340,60,631,128,,,,,,,,,,,,,1300,99,213,,90.7,16,4.75,13.8,1.72,,,,,4.35,0.6,13.8,9.2,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,140151,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 72 / PACIFIC OCEAN,,20.2183,20.2183,-170.5883,-170.5883,SUBAQUATIC,-1404,-1480,s SO33-D72-22 [6181],TRACHYTE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,285602.78500000003,2816.8979999999997,,107967.204,,,,35988.99,10506.09,4703.7119999999995,2091.0366,,38435.945,41914.9205,261.8526,,,,,,,,,,,,,,,,30200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,56.8,477,28,756,156,,,,,,,,,,,,,1330,85.6,226,,61.2,9.79,3.01,7.52,0.66,,,,,1.02,0.13,19,12.1,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,140152,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 3 / PACIFIC OCEAN,,16.4467,16.4467,-169.5283,-169.5283,SUBAQUATIC,-2340,-2730,s F7-86-D3-1 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,201464.48500000002,21396.438,,90501.92100000002,,,,101437.65000000001,73614.1,27679.535999999996,1936.145,,13282.400000000001,19659.210499999997,10343.1777,,,,,,,,,,,,,,,,59000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,31.2,1190,62,547,100,,,,,,,,,,,,,551,89,189,,78.6,16.4,5.2,14.6,2.01,,,,,3.93,0.53,11.8,7.5,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,140153,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 5 / PACIFIC OCEAN,,16.3967,16.3967,-169.5417,-169.5417,SUBAQUATIC,-2420,-2750,s F7-86-D5-1 [6181],TRACHYBASALT [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,229043.15000000002,22055.712,,76741.395,,,,107733.78,53602.5,29247.439999999995,1084.2412000000002,,17765.210000000003,11647.1549,5411.6204,,,,,,,,,,,,,,,,93500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,,,45.2,311,32,241,50,,,,,,,,,,,,,353,36.5,62.1,,31,6.76,2.19,6.32,0.82,,,,,1.86,0.26,6.23,3.88,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,140154,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 14 / PACIFIC OCEAN,,16.4417,16.4417,-169.5483,-169.5483,SUBAQUATIC,-2290,-2390,s F7-86-D14-1 [6181],BASANITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,175288.125,30746.141999999996,,74095.14,,,,122424.75,95769.8,35820.576,2013.5908,,12950.34,9792.5124,14751.0298,,,,,,,,,,,,,,,,94400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,28.7,627,60,525,108,,,,,,,,,,,,,509,94.3,197,,90.6,16.6,4.85,13.3,1.81,,,,,3.42,0.48,11.9,8.3,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,140155,
[6181],SEAMOUNT,LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 14 / PACIFIC OCEAN,,16.4417,16.4417,-169.5483,-169.5483,SUBAQUATIC,-2290,-2390,s F7-86-D14-2 [6181],BASANITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,176690.43,30746.141999999996,,74624.391,,,,120326.04000000001,102916.8,41006.719999999994,2091.0366,,8301.5,7789.4985,10212.2514,,,,,,,,,,,,,,,,80600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,17.8,449,58,556,114,,,,,,,,,,,,,434,96.6,202,,94.7,17,4.98,13.7,1.87,,,,,3.36,0.47,12.2,8.4,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,140156,
