Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[792],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / OSBOURN / PACIFIC OCEAN,NORTHWEST SIDE OF SEAMOUNT,-25.53,-25.53,-174.04,-174.04,SUBAQUATIC,-2443,-3270,s SOTW-58-7 [792],"HAWAIITE, NEPHELINE [792]",66000000 [792],66000000 [792],,,,,,FINE-GRAINED [792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [792] ,216702.866,15582.84,,83780.4333,,,80606.01,,65109.17,36061.792,1394.0244,,26149.725,40579.5779,1003.7683000000001,,81300.00000000001,,,3000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,82,,,,,,,,12,3954,25,182,24,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164-SOTW-58-7,
[792],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / 27.6°S GUYOT / PACIFIC OCEAN,WESTSIDE OF SEAMOUNT,-27.28,-27.28,-174.21,-174.21,SUBAQUATIC,-3919,-3919,s SOTW-52-1 [792],"BASALT, ALKALINE [792]",,,,,,,,FINE-GRAINED [792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [792] ,221283.72900000002,20137.823999999997,,97699.73460000001,,,88689.93000000001,,69254.43,22915.519999999997,1084.2412000000002,,11788.13,21958.9672,3665.9364,,25099.999999999996,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,356,109,,,33,56,,117,,,,,,25,647,34,276,45,,,,,,,,,,,,0.59,202,31.07,71.06,,,8.65,2.68,,1.16,,,,,2.37,0.35,6.53,,,,,,,,,,,,2.96,0.75,,,,,,,,,,,,,,,,,,,,,,,,,10172-SOTW-52-1,
[792],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / CURRITUCK GUYOT / PACIFIC OCEAN,SOUTHEAST SIDE OF GUYOT,-30.1,-30.1,-173.25,-173.25,SUBAQUATIC,-3625,-3625,s SOTW-48-2 [792],HAWAIITE [792],,,,,,,,FINE-GRAINED [792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [792] ,215908.22650000002,21696.108,,85685.7369,,,92110.05,,68039.44,18151.503999999997,1084.2412000000002,,16852.045,25148.9523,12918.061599999999,,48300.,,,6700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,270,88,,,39,94,,153,,,,,,89,596,76,277,54,,,,,,,,,,,,5.85,135,44.39,65.58,,,9.48,3.02,,1.48,,,,,389,0.61,6.51,,,,,,,,,,,,3.08,1.19,,,,,,,,,,,,,,,,,,,,,,,,,10174-SOTW-48-2,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-41.45,-41.45,-164.27,-164.27,SUBAQUATIC,-1000,-1080,s MSN110-1 [791],"BASALT, ALKALINE [791]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63,824.7,,,,,,,,,,,,,,,,,,,,33.45,7.82,,,,,,,,,,,,,,,,,,,,,,,,0.51293,,,0.703659,,19.332,,15.626,,39.127,,,,,,,,,,,,,,,38561,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-41.45,-41.45,-164.27,-164.27,SUBAQUATIC,-1000,-1080,s MSN110-B [791],"BASALT, ALKALINE [791]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.89,754.6,,,,,,,,,,,,,,,,,,,,12.794,3.286,,,,,,,,,,,,,,,,,,,,,,,,0.512932,,,0.703675,,,,,,,,,,,,,,,,,,,,,38562,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-30.17,-30.17,-173.43,-173.43,SUBAQUATIC,-3291,-3291,s SOTW9-48-2 [791],HAWAIITE [791],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.06,1240,,,,,,,,,,,,,,,,,,,,4.399,0.8188,,,,,,,,,,,,,,,,,,,,,,,,0.51293,,,0.703657,,19.452,,15.632,,39.216,,,,,,,,,,,,,,,38567,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-27.47,-27.47,-174.41,-174.41,SUBAQUATIC,-3593,-3593,s SOTW9-52-1 [791],HAWAIITE [791],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.13,620.4,,,,,,,,,,,,,,,,,,,,62.02,5.751,,,,,,,,,,,,,,,,,,,,,,,,0.512888,,,0.703396,,,,,,,,,,,,,,,,,,,,,38568,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-25.87,-25.87,-175.09,-175.09,SUBAQUATIC,-3270,-3270,s SOTW9-58-1 [791],BASANITOID [791],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.528,127.1,,,,,,,,,,,,,,,,,,,,13.42,4.064,,,,,,,,,,,,,,,,,,,,,,,,0.512902,,,0.703601,,,,,,,,,,,,,,,,,,,,,38569,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-25.87,-25.87,-175.09,-175.09,SUBAQUATIC,-3270,-3270,s SOTW9-58-3 [791],"BASALT, ALKALINE [791]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41,370.9,,,,,,,,,,,,,,,,,,,,15.94,5.029,,,,,,,,,,,,,,,,,,,,,,,,0.512904,,,0.703561,,,,,,,,,,,,,,,,,,,,,38570,
[791],SEAMOUNT,LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN,,-25.87,-25.87,-175.09,-175.09,SUBAQUATIC,-3270,-3270,s SOTW9-58-5 [791],"BASALT, ALKALINE [791]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [791] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5213,23.08,,,,,,,,,,,,,,,,,,,,14.18,4.098,,,,,,,,,,,,,,,,,,,,,,,,0.512908,,,0.703505,,,,,,,,,,,,,,,,,,,,,38571,
