Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D8-1 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,227266.897,13425.216,,83145.33210000001,,19303.44,77185.89,,75114.97,35458.752,1858.6992,,7388.335,20549.4389,1920.2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,317,21,,,63,53,89,148,,,,,,26,273,40,166,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336676,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D8-2 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,229978.02000000002,12825.876,,83727.50820000001,,17624.88,70501.11,,78831.40999999999,34071.76,1471.4702,,6143.11,22923.381299999997,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,288,32,,,54,38,94,167,,,,,,19,321,34,157,23,,,,,,,,,,,,,32,17.47,34.1,,15.56,5.12,1.61,,0.81,,,,,2.33,0.38,3.2,1.4,,,,,,,,,,,1.6,,0.512929,,,0.703594,,18.704,,15.609,,38.33,,,,,,,,,,,,,,,336677,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D8-3 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,231099.864,16781.519999999997,,79758.1257,,19023.68,76097.67,,69254.43,32564.16,1703.8076,,7969.44,25668.2522,1963.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,359,40,,,64,31,75,185,,,,,,20,326,39,205,30,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336678,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D8-4 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,232455.4255,12526.205999999998,,84521.38470000001,,16925.48,67702.83,,76973.19,36785.439999999995,1006.7954,,4897.884999999999,23368.495499999997,1483.8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,289,175,,,60,48,85,129,,,,,,13,314,30,150,21,,,,,,,,,,,,,15,17.53,40.54,,20.06,5.12,1.78,,0.75,,,,,1.91,0.37,3.7,1.2,,,,,,,,,,,2.2,,0.512916,,,0.703561,,18.6,,15.632,,38.85,,,,,,,,,,,,,,,336679,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D9 [11540],TRACHYBASALT [11540],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,229697.559,22595.118,,86744.23890000001,,16505.84,65915.04000000001,,65395.05,18875.152,1161.687,,20421.69,26781.037699999997,5935.3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,306,50,,,52,17,29,154,,,,,,40,783,49,350,55,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336680,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D9-1 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,229650.81550000003,13125.545999999998,,85103.56079999999,,17554.94,70345.65000000001,,78617,33167.2,1084.2412000000002,,6392.155,22404.0814,2662.1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,298,200,,,50,43,87,152,,,,,,34,301,39,156,22,,,,,,,,,,,,,,16.2,33.23,,23.42,4.8,1.74,,0.88,,,,,1.96,0.36,3.3,1.4,,,,,,,,,,,2.2,,0.512922,,,0.704433,,18.667,,15.535,,38.68,,,,,,,,,,,,,,,336681,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D9-2 [11540],TRACHYBASALT [11540],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,228622.4585,21995.778,,83462.8827,,18044.52,72288.90000000001,,64251.53,20382.751999999997,1084.2412000000002,,20089.63,26039.180699999997,5804.3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,308,15,,,54,15,27,161,,,,,,54,749,45,344,53,,,,,,,,,,,,,441,51.21,106.44,,54.89,11.24,3.76,,1.47,,,,,2.64,0.43,7.4,3.7,,,,,,,,,,,4.4,,0.512813,,,0.703967,,18.954,,15.588,,38.99,,,,,,,,,,,,,,,336682,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D9-3 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,231286.83800000002,12765.942,,83939.2086,,17554.94,70267.92,,76830.25,34312.976,1161.687,,7388.335,22404.0814,2094.8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,296,41,,,55,44,93,151,,,,,,34,304,34,154,21,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336683,
[11540],SEAMOUNT,LUZON ARC / SCARBOROUGH / SOUTH CHINA SEA / PACIFIC OCEAN,,15.18,15.18,117.77,117.77,SUBAQUATIC,,,s V36-D10 [11540],"BASALT, ALKALINE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,230492.19850000003,20137.823999999997,,87485.19030000002,,16645.719999999998,66614.61,,66967.39,38112.128,1548.9160000000002,,22165.005,25371.5094,3884.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,249,146,,,58,77,48,118,,,,,,61,819,43,349,84,,,,,,,,,,,,,854,51.29,109.01,,57.74,11.56,3.81,,1.86,,,,,2.46,0.43,8.1,4,,,,,,,,,,,5.4,,0.512805,,,0.704007,,18.875,,15.593,,38.93,,,,,,,,,,,,,,,336684,
[11540],SEAMOUNT,LUZON ARC / REED BANK SEAMOUNTS / SOUTH CHINA SEA / PACIFIC OCEAN,,8.63,8.63,111.92,111.92,SUBAQUATIC,,,s SO23-40 [11540],"THOLEIITE, OLIVINE [11540]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11540] ,222732.7775,15642.773999999998,,83039.4819,,17764.760000000002,73143.93000000001,,643.23,41127.328,1394.0244,,8716.575,26706.852,2749.4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,254,200,,,70,133,52,142,,,,,,14,481,30,180,29,,,,,,,,,,,,,140,19.45,41.35,,22.82,6,2.16,,1.09,,,,,1.71,0.27,4.7,1.7,,,,,,,,,,,2.5,,0.512952,,,0.703814,,18.601,,15.557,,38.63,,,,,,,,,,,,,,,336685,
