Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12924],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / VLINDER GUYOT / PACIFIC OCEAN,,17.12,17.12,154.33,154.33,SUBAQUATIC,-2200,-2200,s VLI-4 [12924],NOT GIVEN [12924],,,,MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12924] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,120,83,,177,,,,,,33,20,2,192,117,,,,,,,,,,,,,,36,93,1,42,6.7,2.27,,,,,,,,0.4,7.3,6,0.9,,,,,,,,10,,8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,12476-VLI-4,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,19.88,19.88,151.87,151.87,SUBAQUATIC,-3640,-3640,s RC266-1 [449],"BASALT, ALKALINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512722,,,0.705065,,19.017,,15.636,,39.213,,,,,,,,,,,,,,,33245,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,19.48,19.48,151.57,151.57,SUBAQUATIC,-3950,-3950,s RC267-8 [449],"BASALT, TRANSITIONAL [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512758,,,0.704698,,19.297,,15.646,,40.592,,,,,,,,,,,,,,,33246,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,19.48,19.48,151.57,151.57,SUBAQUATIC,-3950,-3950,s RC267-16 [449],"BASALT, ALKALINE, OLIVINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512745,,,0.70511,,19.082,,15.621,,40.013,,,,,,,,,,,,,,,33247,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,20.17,20.17,151.53,151.53,SUBAQUATIC,-4259,-4259,s RC268-3 [449],"BASALT, ALKALINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512543,,,0.70794,,18.759,,15.61,,39.005,,,,,,,,,,,,,,,33248,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,20.17,20.17,151.53,151.53,SUBAQUATIC,-4259,-4259,s RC268-8 [449],"BASALT, ALKALINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512759,,,0.707718,,18.907,,15.664,,39.256,,,,,,,,,,,,,,,33249,
[449],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / HEMLER GUYOT / PACIFIC OCEAN,,20.17,20.17,151.53,151.53,SUBAQUATIC,-4259,-4259,s RC268-3 [449],"BASALT, ALKALINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.854,,15.684,,39.187,,,,,,,,,,,,,,,33267,
[1585],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / MAGELLAN SEAMOUNT TRAIL / PACIFIC OCEAN,,16.95,18.07,150.38,152.37,SUBAQUATIC,,,s 76/1 [1585],TRACHYBASALT [1585],,,,CRETACEOUS [1585],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1585] ,200997.05000000002,22954.721999999998,,81716.3544,,90432.42,23940.84,,50743.7,14955.392,1471.4702,,12120.19,26929.409099999997,3796.8627,,24100.,29900.000000000004,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,29,37,160,297,,,,,,22,513,,,,,,,,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36273,
[1585],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / MAGELLAN SEAMOUNT TRAIL / PACIFIC OCEAN,,16.95,18.07,150.38,152.37,SUBAQUATIC,,,s 77/26 [1585],BASALT [1585],,,,CRETACEOUS [1585],,,,PORPHYRITIC [1585] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1585] ,213617.79500000004,14024.555999999999,,88649.54250000001,,55812.12,26350.47,,77473.48,27679.535999999996,1084.2412000000002,,7305.32,25000.5809,1702.0419000000002,,10300.,19000.,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,35,79,61,128,,,,,,16,436,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36274,
[1585],SEAMOUNT,MAGELLAN SEAMOUNT TRAIL / MAGELLAN SEAMOUNT TRAIL / PACIFIC OCEAN,,16.95,18.07,150.38,152.37,SUBAQUATIC,,,s 85/10 [1585],"BASALT, OLIVINE [1585]",,,,CRETACEOUS [1585],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1585] ,186039.13,20557.362,,68802.63,,65673.66,25573.170000000002,,85049.3,41127.328,1161.687,,8965.62,13872.7259,7811.9359,,31900.,34900.,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,51,236,136,321,,,,,,15,1025,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36275,
