Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3177][3365][2409],SEAMOUNT,MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / DREDGE CI-10D / PACIFIC OCEAN,,14.25,14.25,142.92,142.92,SUBAQUATIC,-2800,-3600,s CIRCE10-D [3177] / s CI-10-D [3365],NOT GIVEN [3177] / DACITE [3365],,,,NEOGENE [2409],,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3177] / WHOLE_ROCK [3365] ,353193.88600000006,2157.624,,73671.7392,,6994,10027.17,17022.87,18510.73,3135.808,851.9038,,15689.835,20623.6246,87.2842,,30500.,13700.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.864,,15.538,,38.389,,,,,,,,,,,,,,,10005-CI-10-D,
[2595][2404][2384],SEAMOUNT,MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / PACIFIC OCEAN,,21.95,21.95,143.45,143.45,SUBAQUATIC,,,s MV1506 [2595],"ANDESITE [2595] / ANDESITE, AUGITE-HYPERSTHENE [2404] / ANDESITE, AUGITE [2384]",,,,RECENT [2595],,,,GLASSY [2404] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2595] / VOLCANIC GLASS [2404] ,278591.26,5873.531999999999,,78858.399,,13918.06,50835.42,68013.75,45597.86,15859.951999999997,1394.0244,,11040.995,24258.7239,741.9157,14940.,,,,800.,,3320.,2320.,,,,,,,30.,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,3,,,,0,,98,15,,,,,27,355,35,91,0,,,,,,,,,,,,,562,16,39,,22,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,10035-MV 1506,
[2595][2404][2384],SEAMOUNT,MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / PACIFIC OCEAN,,21.95,21.95,143.45,143.45,SUBAQUATIC,,,s MV15220 [2595],"ANDESITE [2595] / ANDESITE, AUGITE [2404]",,,,RECENT [2595],,,,GLASSY [2404] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2595] / VOLCANIC GLASS [2404] ,258491.555,6832.475999999999,,78329.148,,9721.66,61095.780000000006,77185.89,57318.939999999995,19116.368,1394.0244,,9961.8,19585.0248,610.9894,8980.,,,,4330.,,290.,490.,,,,,,,100.,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,31.4,,,10,,,26.9,3,,99,14,,,,,26,395,29,82,0,,,,,,,,,,,,0.68,476,16.1,27.6,,20,,1.4,,0.73,,,,,,,2.42,0.12,,,,,,,,,9,,7,0.72,,,,,,,,,,,,,,,,,,,,,,,,,10035-MV 15220,
[2377][2385],SEAMOUNT,MARIANA ARC / ESMERALDA BANK / STATION 45 / PACIFIC OCEAN,AT 100-300 M DEPTH FROM THE EASTERN WALL OF THE CENTRAL CRATER,14.9583,14.9583,145.275,145.275,SUBAQUATIC,-294,-294,s M-45-11 [2377] / s 45-11 [2385],BASALT [2377],,,,,,,,APHYRIC [2377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2377] ,242598.765,8091.09,,80446.152,,13988,100971.27,,65252.11000000001,23880.384,1781.2534,,8218.485,25223.138,1003.7683000000001,6600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,16,336,,96,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10080-M-45-11,
[2377][2385],SEAMOUNT,MARIANA ARC / ESMERALDA BANK / STATION 45 / PACIFIC OCEAN,AT 100-300 M DEPTH FROM THE EASTERN WALL OF THE CENTRAL CRATER,14.9583,14.9583,145.275,145.275,SUBAQUATIC,-294,-294,s M-45-G-2 [2377] / s 45-G-2 [2385],BASALT [2377],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2377] / VOLCANIC GLASS [2385] ,238391.85,7012.277999999999,,89443.419,,12449.32,90011.34,,72542.05,21528.528,1548.9160000000002,,7471.35,22255.71,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,14.67,377,,87,,,,,,,,,,,,,0.5,218.9,,17.25,,12.01,3.29,1.2,3.97,,4,,2.46,,2.38,,,,,,,,,,,,,,,,0.51306,,,0.70342,,,,,,,,,,,,,,,,,,,,,10080-M-45-G-2,
[2377][2385],SEAMOUNT,MARIANA ARC / ESMERALDA BANK / STATION 46 / PACIFIC OCEAN,"AT 800-1,200 M DEPTH ON THE WESTERN FLANK, FLOW BOTTOM",14.9533,14.9533,145.2283,145.2283,SUBAQUATIC,-1130,-1130,s M-46-10B [2377] / s 46-10B [2385],BASALT [2377],,,,,,,,VESICULAR [2377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2377] ,248207.98500000002,8151.024,,77270.64600000001,,17485.,103458.63,,65037.7,24483.423999999995,1781.2534,,7637.38,21513.853,916.4841,10800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,15.6,337.6,,91,,,,,,,,,,,,,0.95,270,,20.14,,14.39,4.17,1.46,4.9,,5.02,,3.17,,3.02,,,,,,,,,,,,,,,,0.51303,,,0.70348,,,,,,,,,,,,,,,,,,,,,10087-M-46-10B,
[2377][2385],SEAMOUNT,MARIANA ARC / ESMERALDA BANK / STATION 46 / PACIFIC OCEAN,"AT 800-1,200 M DEPTH ON THE WESTERN FLANK, FLOW BOTTOM",14.9533,14.9533,145.2283,145.2283,SUBAQUATIC,-1130,-1130,s M-46-10T [2377] / s 46-10T [2385],BASALT [2377],,,,,,,,VESICULAR [2377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2377] ,244001.07000000004,8091.09,,76212.144,,19653.14,102137.22,,65323.58,27016.192000000003,1781.2534,,7637.38,24481.281,960.1262,9000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,326,,88,,,,,,,,,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51304,,,0.70346,,,,,,,,,,,,,,,,,,,,,10088-M-46-10T,
[4658],SEAMOUNT,MARIANA ARC / NIKKO / DREDGE D45 / PACIFIC OCEAN,,23.08,23.08,143.9,145.6,SUBAQUATIC,-1310,-1865,s 45A [4658],DACITE [4658],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4658] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,365,7,,,39,21,115,,17,,,,,5.3,361,22.6,42,1.17,,,,,,,,,,,,0.16,181,4.59,9.89,1.52,7.58,2.43,0.89,2.88,0.57,3.46,0.76,2.09,0.33,2.1,0.34,1.25,0.056,,,,,,,,,2.62,,0.52,0.24,,,,,,,,,,,,,,,,,,,,,,,,,104818,
[4416][5376][2332],SEAMOUNT,MARIANA ARC / CONICAL / SITE 779 / PACIFIC OCEAN,HOLE 779A,19.5125,19.5125,146.6958,146.6958,SUBAQUATIC,-3957.9,-3957.9,"s 125-779A-14R-2,40-48 [4416] / s 125-779A-14R-2 [2332]","HARZBURGITE, XENOLITH [4416] / HARZBURGITE, SPINEL, XENOLITH [2332]",,,,,,,,,MANTLE XENOLITH,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [4416] ,205624.6565,,,4498.6335,3010.48,56021.939999999995,,61639.89,7647.290000000001,267387.936,929.3496,2435.98,174.3315,111.27855,17.45684,,,,,,,,,,,,,,,,90000,,,,,,,,,,,,,,4.41,,,,,,,,,,,,,,5.3,24.64,33,3011,,,,2127,2,,0.61,,,,,0.42,0.34,0.102,0.138,0.0045,,,,,,,,,,,,0.765,0.44,0.0037,0.0078,0.0015,0.0058,,0.0016,0.0039,0.0011,0.0094,0.004,0.0171,,0.033,0.0076,0.0031,,,,0.001594,,,,,,0.28,,0.0012,0.0006,,,,,,,,,,,,,,,0.127144,,,,,,,,,,"10585-125-779A 14R-2, 40-48",
[4416][2332],SEAMOUNT,MARIANA ARC / CONICAL / SITE 779 / PACIFIC OCEAN,HOLE 779A,19.5125,19.5125,146.6958,146.6958,SUBAQUATIC,-3957.9,-3957.9,"s 125-779A-19R-2,108-113 [4416] / s 125-779A-19R-2 [2332]","DUNITE, XENOLITH [4416] / HARZBURGITE, SPINEL, XENOLITH [2332]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [4416] ,208102.06200000003,,,4181.0829,2873.64,,,59385.719999999994,6003.48,268714.624,929.3496,2435.98,273.9495,942.1583899999999,34.91368,,,,,,,,,,,,,,,,102800.,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,,3.9,21.2,30.1,2874,,,,2436,5.5,,0.54,,,,,0.63,2.19,0.07,0.129,0.0047,,,,,,,,,,,,0.2036,2.375,0.0034,0.0052,0.0011,0.0031,,0.0009,0.0025,0.0007,0.0085,0.0027,0.012,,0.0273,0.0065,0.003,,,,0.002597,,,,,,0.23,,0.0012,0.0012,,,,,,,,,,,,,,,0.122089,,,,,,,,,,"10585-125-779A 19R-2, 108-113",
