Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 2404_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70353,,,,,,,,,,,,,,,,,,,,,43915,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 2411_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70355,,,,,,,,,,,,,,,,,,,,,43916,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 2505_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70361,,,,,,,,,,,,,,,,,,,,,43917,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 2511_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70397,,,,,,,,,,,,,,,,,,,,,43918,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 1876-3_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70354,,,,,,,,,,,,,,,,,,,,,43919,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 1880-1_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70397,,,,,,,,,,,,,,,,,,,,,43920,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 1880-3_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70393,,,,,,,,,,,,,,,,,,,,,43921,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 2 / PACIFIC OCEAN,,21.58,21.58,143.6,143.6,SUBAQUATIC,-2200,-2600,s 1880-5_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70393,,,,,,,,,,,,,,,,,,,,,43922,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 3 / PACIFIC OCEAN,,21.37,21.37,143.5,143.5,SUBAQUATIC,-2900,-3500,s 2304_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70347,,,,,,,,,,,,,,,,,,,,,43923,
[2523],SEAMOUNT,MARIANA NORTHERN SEAMOUNT PROVINCE / KASUGA 3 / PACIFIC OCEAN,,21.37,21.37,143.5,143.5,SUBAQUATIC,-2900,-3500,s 2305_LEACHED [2523],BASALT [2523],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2523] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70344,,,,,,,,,,,,,,,,,,,,,43924,
