Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-1 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,241804.1255,13545.083999999997,,92301.37440000002,,9651.72,64438.16999999999,,51386.93,17126.336,1548.9160000000002,,21085.81,36944.4786,5586.1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,106,1,,,,3,14,132,20,,,,,57,1231,44,439,112,,,,,,,,,,,,,569,93.9,198.6,,98.2,16.5,5.07,,1.55,,,,,3.39,0.43,12.2,,,,,,,,,,8,,9,,0.512835,,,0.703737,,19.448,,15.59,,39.119,,,,,,,,,,,,,,,21151,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-6 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,240869.25550000003,13185.48,,92513.0748,,9511.84,63427.68,,50100.47,17669.072,1548.9160000000002,,23410.23,35164.0218,5455.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,94,2,,,,5,17,137,24,,,,,49,1222,44,460,113,,,,,,,,,,,,,577,91.8,199.9,,103,15.2,4.96,,1.94,,,,,3.1,0.4,12.4,,,,,,,,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,21152,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-10 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,241383.434,13605.018,,92936.47559999999,,9651.72,64515.90000000001,,51458.4,15196.607999999998,1548.9160000000002,,21168.824999999997,38799.121100000004,5760.7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,115,0,,,,4,36,155,27,,,,,58,1247,43,452,114,,,,,,,,,,,,,584,92.6,187.4,,98.9,16.3,4.9,,1.61,,,,,3.57,0.45,11.5,,,,,,,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,21153,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-11 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,241523.6645,13605.018,,92671.85010000001,,9581.78,64049.520000000004,,51386.93,16704.208,1548.9160000000002,,21417.87,36944.4786,5629.8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,119,0,,,,3,20,132,22,,,,,55,1235,43,439,110,,,,,,,,,,,,,592,95.2,190.8,,97.2,16.4,5.07,,1.58,,,,,2.71,0.42,12.3,,,,,,,,,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,21154,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-12 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,241196.46000000002,13605.018,,93571.5768,,9651.72,64127.25,,51243.99,17427.856,1548.9160000000002,,21251.84,36499.3644,5629.8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,108,1,,,,2,14,133,23,,,,,56,1225,45,448,114,,,,,,,,,,,,,565,93.5,196.2,,96.6,16.1,5.17,,1.43,,,,,2.86,0.44,12.5,,,,,,,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,21155,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-17 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1182] ,239466.9505,13545.083999999997,,92142.5991,,9581.78,63738.59999999999,,51243.99,17427.856,1548.9160000000002,,23659.275,36870.29289999999,5629.8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,106,0,,,,2,6,128,24,,,,,56,1227,44,459,114,,,,,,,,,,,,,555,91,192.7,,93.5,15.5,5.02,,1.68,,,,,2.84,0.46,12.2,,,,,,,,,,8,,9,,,,,0.703753,,19.444,,15.554,,39.025,,,,,,,,,,,,,,,21156,
[1182],SEAMOUNT,MARQUESAS / UNNAMED SEAMOUNT (MARQUESAS) / PACIFIC OCEAN,"SMALL SEAMOUNT 50 KM SOUTHEAST OF FATU HIVA, STATION DH 12",-10.82,-10.82,-138.43,-138.43,SUBAQUATIC,-2985,-3136,s 12-10 [1182],TRACHYANDESITE [1182],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [1182] ,254892.30550000002,12825.876,,89972.67,,,64204.979999999996,,45454.920000000006,18935.456,1548.9160000000002,,22165.005,34125.422,3971.4311000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21180,
[780],SEAMOUNT,MARQUESAS / BANC JEAN GOGUEL / PACIFIC OCEAN,,-7.9,-7.9,-140,-140,SUBAQUATIC,,,s 6471 [780],"BASALT, ALKALINE [780]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [780] ,195808.52150000003,16361.981999999998,,60175.8387,,,,94830.59999999999,78617,83822.56,1316.5786,,5645.02,13279.2403,2967.6628,,13500.,9400.,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,28,,314,685,,,69,372,61,106,,,,,,11,1180,27,224,27,,,,,,,,,,,,,256,28.9,66,,39.3,7.69,2.26,,0.91,,,,,2.01,0.3,5.05,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,23634,
[780],SEAMOUNT,MARQUESAS / BANC JEAN GOGUEL / PACIFIC OCEAN,,-7.9,-7.9,-140,-140,SUBAQUATIC,,,s 6507 [780],"BASALT, ALKALINE [780]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [780] ,188890.4835,17800.398,,61393.116,,,,94597.41,83977.25,81410.4,1548.9160000000002,,2905.5249999999996,10608.5551,3840.5048,,15200.,14300.,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,28,,354,630,,,69,352,58,106,,,,,,6,1890,29,255,35,,,,,,,,,,,,,344,31.4,71.6,,38.6,8.18,2.49,,1.01,,,,,1.98,0.3,5.28,,,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,23635,
[770],SEAMOUNT,MARQUESAS / BANC JEAN GOGUEL / PACIFIC OCEAN,,-7.9,-7.9,-140,-140,SUBAQUATIC,,,s BJG-04 [770],"BASALT, ALKALINE [770]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [770] ,202352.6115,19298.748,,73195.4133,,,,90089.06999999999,87407.81,42212.799999999996,1239.1328,,8467.53,17582.0109,3098.5890999999997,26400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,377,169,,,49,99,77,113,,,,,,20,1325,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38556,
