Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12924],SEAMOUNT,MARSHALL SEAMOUNT GROUP / NEEN-KOIAAK / PACIFIC OCEAN,,14.28,14.28,160.92,160.92,SUBAQUATIC,-1500,-1500,s TUNES 6 13-5 (NEK-2) [12924],HAWAIITE [12924],,,,MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12924] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703694,,,,,,,,,,,,,,,,,,,,,12479-TUNES 6 13-5 (NEK-2),
[2280],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-98R-3,48-53 [2280]","BASALT, ALKALINE, OLIVINE [2280]",,,,,,,,"MICROPORPHYRITIC, INTERSERTAL, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512978,,,0.70337,,19.352,,15.555,,38.857,,,,,,,,,,,,,,,138199,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-46M-1,112-114 [5862]",BASALT [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,225677.61800000002,18699.408,,85156.4859,,,,70112.45999999999,70826.77,40403.68,774.4580000000001,,12037.175,20846.1817,2225.7471,,,,,,,,,,,,,,,,28700.,,,,,,,,,,,,,,,,,,,,,,,2226,,,12037,,,18704,,,,,,,,,,,,,,27,590,31,306,52,,,,,,,,,,,,,403,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142212,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-78R-1,127-129 [5862]",HAWAIITE [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,229978.02000000002,20557.362,,93042.32579999999,,,,75553.56000000001,52030.16,26111.631999999998,1471.4702,,15606.82,25297.3237,3054.9469999999997,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,3055,,,15607,,,20562,,,,,,,,,,,,,,34,728,31,297,70,,,,,,,,,,,,,544,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142213,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-78R-2,71-73 [5862]",HAWAIITE [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,225023.20900000003,20137.823999999997,,91242.8724,,,,84103.86,59605.979999999996,20563.664,929.3496,,17765.210000000003,24629.6524,2793.0944,,,,,,,,,,,,,,,,24000.,,,,,,,,,,,,,,,,,,,,,,,2793,,,17765,,,20143,,,,,,,,,,,,,,38,817,27,313,69,,,,,,,,,,,,,566,122,96,,60,36,33,,,14.2,,9.6,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142214,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-80R-6,98-101 [5862]",BASANITOID [5862],,,,,,,,FINE-GRAINED INTERGRANULAR [5862] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,200669.84550000002,22235.514,,64568.621999999996,,,,92032.31999999999,86192.82,77852.46399999999,1394.0244,,4980.9,11127.855,2269.3892,,,,,,,,,,,,,,,,32900.,,,,,,,,,,,,,,,,,,,,,,,2269,,,4981,,,22241,,,,,,,,,,,,,,10,632,28,315,65,,,,,,,,,,,,,387,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142215,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-81R-2,114-118 [5862]",BASANITOID [5862],,,,,,,,FINE-GRAINED INTERGRANULAR [5862] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,201978.66350000002,22834.854,,65415.4236,,,,91954.59,86693.11,76284.56,2245.9282,,4648.84,7196.0129,2618.526,,,,,,,,,,,,,,,,39700.,,,,,,,,,,,,,,,,,,,,,,,2618,,,4649,,,22841,,,,,,,,,,,,,,9,570,32,347,64,,,,,,,,,,,,,360,117,96,,63,36,31,,,12.7,,8.2,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142216,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-81R-5,22-25 [5862]",BASANITOID [5862],,,,,,,,FINE-GRAINED INTERGRANULAR [5862] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,212215.49000000002,23793.798,,77270.64600000001,,,,90944.09999999999,72470.58,46856.20799999999,3252.7236,,12535.265,12908.3118,2749.4523,,,,,,,,,,,,,,,,32100.,,,,,,,,,,,,,,,,,,,,,,,2749,,,12535,,,23800,,,,,,,,,,,,,,31,691,30,328,65,,,,,,,,,,,,,442,121,96,,62,38,34,,,14.5,,9.3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142217,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-85R-2,90-92 [5862]",BASANITOID [5862],,,,,,,,FINE-GRAINED INTERGRANULAR [5862] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,205671.40000000002,20737.163999999997,,72983.7129,,,,93276,79403.17,64284.064,2633.1572,,9380.695,8531.3555,2400.3155,,,,,,,,,,,,,,,,42000.,,,,,,,,,,,,,,,,,,,,,,,2400,,,9381,,,20742,,,,,,,,,,,,,,26,649,33,291,72,,,,,,,,,,,,,405,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142218,
[5862],SEAMOUNT,MARSHALL SEAMOUNT GROUP / MIT GUYOT / SITE 877 / PACIFIC OCEAN,HOLE 878A,27.3191,27.3191,151.8838,151.8838,SUBAQUATIC,-1337.6,-11337.6,"s 144-878A-88R-3,4-6 [5862]",BASANITOID [5862],,,,,,,,VERY FINE-GRAINED INTERGRANULAR [5862] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,221751.16400000002,21756.041999999998,,79017.1743,,,,91876.86,56604.24,32745.071999999996,3872.29,,14527.625,21439.6673,2443.9576,,,,,,,,,,,,,,,,28800.,,,,,,,,,,,,,,,,,,,,,,,2444,,,14528,,,21761,,,,,,,,,,,,,,30,640,33,324,60,,,,,,,,,,,,,452,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142219,
