Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-2,27 CM_1 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,1.77,1.77,,,VOLCANIC GLASS [9949] ,332687.51255000004,2607.129,,75280.66224,,,,24275.079,11528.111,2122.7007999999996,503.3977,,18188.586499999998,23880.376829999997,148.38314000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,36,49,27,183,8,,,,,,,,,,,,,303,23,47,,16,4.7,4.9,,,5.1,,3.2,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290771,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-2,27 CM_2 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,1.77,1.77,,,VOLCANIC GLASS [9949] ,330308.26840000006,2655.0762,,73449.45378000001,,,,24376.128,11642.463,2412.16,689.26762,,18072.3655,23220.124099999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,34,45,25,172,7,,,,,,,,,,,,,286,19,38,,15,3.8,4.8,,,4.3,,2.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290772,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967FHOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-6,115 CM_1 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,7.65,7.65,,,VOLCANIC GLASS [9949] ,361724.57475,209.769,,64685.05722,,,,2992.605,3387.678,271.368,,,16420.367,7233.10575,200.75366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,49,22,6,26,14,,,,,,,,,,,,,239,11,18,,4,1,3.4,,,0.9,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290773,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967FHOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-6,115 CM_2 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,7.65,7.65,,,VOLCANIC GLASS [9949] ,361696.52865000005,527.4191999999999,,63896.47323,,,,3560.034,3266.179,349.7632,,,22704.602499999997,15007.76711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,49,22,6,26,13,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290774,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967FHOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-6,115 CM_3 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,7.65,7.65,,,VOLCANIC GLASS [9949] ,357386.77795,335.6304,,60546.3144,,,,3676.629,3330.5020000000004,199.0032,92.93496,,15631.7245,5141.069009999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,47,25,7,27,15,,,,,,,,,,,,,240,15,25,,6,1.3,3.9,,,1,,0.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290775,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 967 / MEDITERRANEAN SEA,HOLE 967FHOLE 967F,34,34,32,32,SUBAQUATIC,,,"s 160-967F-1H-6,115 CM_4 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,7.65,7.65,,,VOLCANIC GLASS [9949] ,359060.19525,395.5644,,61890.61194000001,,,,3808.77,3366.2369999999996,235.1856,185.86992,,22721.2055,15905.41408,69.82736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,44,22,6,26,12,,,,,,,,,,,,,214,12,20,,5,1.2,3.1,,,1.1,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290776,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 968 / MEDITERRANEAN SEA,HOLE 968A,34.5,34.5,32,32,SUBAQUATIC,,,"s 160-968A-1H-2,34 CM_1 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,1.84,1.84,,,VOLCANIC GLASS [9949] ,337810.6001500001,2319.4458,,73931.07219,,,,21834.357,11442.347,2345.8256,,,14344.992,22137.01288,357.86522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,39,47,26,175,8,,,,,,,,,,,,,311,20,40,,15,3.9,4.8,,,4.8,,3,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290777,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 968 / MEDITERRANEAN SEA,HOLE 968A,34.5,34.5,32,32,SUBAQUATIC,,,"s 160-968A-1H-2,34 CM_2 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,1.84,1.84,,,VOLCANIC GLASS [9949] ,329420.14190000005,2487.2609999999995,,72380.36676,,,,22145.277000000002,11506.67,2207.1263999999996,596.33266,,15880.7695,24169.70106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,46,26,187,10,,,,,,,,,,,,,297,16,31,,13,3.6,4.4,,,3.9,,2.6,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290778,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 968 / MEDITERRANEAN SEA,HOLE 968A,34.5,34.5,32,32,SUBAQUATIC,,,"s 160-968A-2H-1,52 CM_1 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,9.52,9.52,,,VOLCANIC GLASS [9949] ,361359.97545,239.736,,62536.298160000006,,,,3536.715,3166.121,295.4896,,,13041.6565,4925.93048,69.82736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,44,23,6,27,14,,,,,,,,,,,,,231,14,23,,5,0.9,3.1,,,0.9,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290779,
[9949],SEAMOUNT,MEDITERRANEAN SEAMOUNTS / ERATOSTHENES / SITE 968 / MEDITERRANEAN SEA,HOLE 968A,34.5,34.5,32,32,SUBAQUATIC,,,"s 160-968A-2H-1,52 CM_2 [9949]",NOT GIVEN [9949],,,,,,,,,VOLCANIC ROCK,9.52,9.52,,,VOLCANIC GLASS [9949] ,357311.98835000006,437.5181999999999,,63377.80725,,,,3109.2000000000003,3266.179,337.7024,,,19981.7105,15549.32272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,43,21,6,23,13,,,,,,,,,,,,,204,14,22,,5,0.9,3,,,1,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290780,
