Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-171R-3,70-73 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,231987.99050000004,17440.793999999998,,91507.4979,,80431.,,,8719.34,14533.264,387.22900000000004,,73717.32,6305.7845,1221.9788,,,,,,,,,,,,,,,,51000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,151,594,,,47,386,37,168,,,,,,59,63,19,147,22,,,,,,,,,,,,,203,11.3,26.1,3.52,17.1,3.81,1.25,,0.62,,0.7,1.79,,1.26,0.16,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,196678,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-171R-3,143-146 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,234886.08750000002,16601.718,,86320.8381,,66722.76,,,18510.73,10131.071999999998,619.5664,,83596.105,5044.6276,960.1262,,,,,,,,,,,,,,,,59700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,210,602,,,40,297,69,76,,,,,,51,71,20,143,22,,,,,,,,,,,,,254,12.2,25.8,4.06,19.2,4.64,1.43,,0.7,,0.71,1.73,,1.36,0.19,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196679,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-174R-1,3-5 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,219928.1675,15882.509999999998,,80710.7775,,75535.20000000001,,,79117.29000000001,38654.864,1161.687,,4565.825000000001,22255.71,1309.263,,,,,,,,,,,,,,,,30600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,251,416,,,53,246,81,100,,,,,,8,580,27,168,24,,,,,,,,,,,,,112,14.7,37.2,5.1,25,5.93,1.9,,0.91,,1.06,2.92,,2.45,0.4,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,196680,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-177R-1,10-13 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,218946.55400000003,16541.783999999996,,81610.5042,,91691.34,,,69040.02,42092.192,1316.5786,,3901.705,22107.3386,1265.6209,,,,,,,,,,,,,,,,17900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,306,176,,,54,135,76,99,,,,,,5,396,27,151,21,,,,,,,,,,,,,92,14.4,35,4.65,22.3,4.97,1.83,,0.85,,1.1,2.97,,2.34,0.35,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196681,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-1,108-112 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,212729.6685,20497.428,,80022.7512,,85466.68000000001,,,50100.47,44926.479999999996,1936.145,,6890.245,24110.3525,1134.6946,,,,,,,,,,,,,,,,45599.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,274,292,,,61,199,53,109,,,,,,5,552,26,160,26,,,,,,,,,,,,,109,13.6,34.6,4.81,24,5.84,1.94,,0.9,,0.96,2.45,,2.09,0.28,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196682,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-2,13-18 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,219086.7845,20677.23,,80869.5528,,87355.06,,,43024.939999999995,48122.592,1781.2534,,6226.125,24184.5382,1091.0525,,,,,,,,,,,,,,,,36000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,289,302,,,61,200,55,111,,,,,,7,538,25,164,27,,,,,,,,,,,,,116,13.4,33.5,4.72,22.7,5.3,1.95,,0.85,,0.91,2.46,,1.91,0.24,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196683,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-2,137-140 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,220769.5505,15103.367999999999,,87908.5911,,78962.26,,,17724.56,56806.367999999995,2942.9404,,20380.1825,17211.0824,916.4841,,,,,,,,,,,,,,,,56800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,300,207,,,53,137,120,82,,,,,,16,283,19,128,17,,,,,,,,,,,,,145,9.7,24.7,3.43,16.6,3.95,1.54,,0.64,,0.76,2.2,,1.68,0.25,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196684,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-5,32-35 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,217076.814,16481.85,,89125.8684,,80570.87999999999,,,58605.399999999994,42514.32,1858.6992,,5894.065,22329.895699999997,1091.0525,,,,,,,,,,,,,,,,31600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,288,182,,,50,136,80,91,,,,,,7,468,27,145,20,,,,,,,,,,,,,99,11.4,29.8,4.15,20.3,4.94,1.73,,0.8,,0.95,2.42,,1.94,0.31,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,196685,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-5,51-59 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,217918.19700000001,15642.773999999998,,88914.168,,79661.66,,,71041.18,40584.592,1858.6992,,3403.615,22478.267099999997,1047.4104,,,,,,,,,,,,,,,,17900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,259,175,,,46,136,67,84,,,,,,6,480,24,134,18,,,,,,,,,,,,,96,11.3,29,4.04,19.9,4.55,1.69,,0.72,,0.89,2.52,,1.97,0.26,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,196686,
[5863],SEAMOUNT,MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN,HOLE 866A,21.3317,21.3326,174.3133,174.3141,SUBAQUATIC,-1372.6,-1372.6,"s 143-866A-179R-5,131-135 [5863]",BASALT [5863],107000000 [5863],129000000 [5863],,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5863] ,216001.7135,15043.433999999997,,88331.99190000001,,78053.04000000001,,,76544.37000000001,37629.695999999996,1239.1328,,3320.6000000000004,20771.996,1047.4104,,,,,,,,,,,,,,,,23300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,241,162,,,48,131,77,79,,,,,,5,495,24,130,17,,,,,,,,,,,,,97,10.8,27.8,3.81,18.5,4.45,1.6,,0.67,,0.86,2.4,,188,0.26,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,196687,
