Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / UNNAMED SEAMOUNT (MUSICIANS SEAMOUNTS) / PACIFIC OCEAN,,33.48,33.48,166.53,166.53,SUBAQUATIC,-3220,-3800,s KK804 1-9 [9919],TRACHYTE [9919],,,,,,,,"MICROVESICULAR, FELDSPAR- AND SPARSELY AEGIRINE-AUGITE-PHYRIC, HOLOCRYSTALLINE, FINE-GRAINED GROUNDMASS [9919] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,54814.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296200,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / UNNAMED SEAMOUNT (MUSICIANS SEAMOUNTS) / PACIFIC OCEAN,,33.48,33.48,166.53,166.53,SUBAQUATIC,-3220,-3800,s KK804 1-10 [9919],MUGEARITE [9919],,,,,,,,"MICROVESICULAR, SPARSELY PLAGIOCLASE-PHYRIC, FINE-GRAINED TRACHYTIC GROUNDMASS [9919] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,21716.724000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296202,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / UNNAMED SEAMOUNT (MUSICIANS SEAMOUNTS) / PACIFIC OCEAN,,33.48,33.48,166.53,166.53,SUBAQUATIC,-3220,-3800,s KK804 1-19 [9919],HAWAIITE [9919],,,,,,,,"VESICULAR, PLAGIOCLASE- AND SPARSELY CLINOPYROXENE-PHYRIC [9919] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,12037.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296204,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / HAMMERSTEIN SEAMOUNT / PACIFIC OCEAN,,32.47,32.47,165.8,165.8,SUBAQUATIC,-2900,-3150,s KK804 5-16 [9919],MUGEARITE [9919],,,,,,,,SPARSELY PLAGIOCLASE-MICROPHYRIC [9919] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,20322.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296206,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / HAMMERSTEIN SEAMOUNT / PACIFIC OCEAN,,32.47,32.47,165.8,165.8,SUBAQUATIC,-2900,-3150,s KK804 5-27 [9919],MUGEARITE [9919],,,,,,,,SPARSELY PLAGIOCLASE-MICROPHYRIC [9919] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,19906.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296208,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / MAHLER SEAMOUNT / PACIFIC OCEAN,,31.63,31.63,165.1,165.1,SUBAQUATIC,-2700,-2740,s KK804 7-1 [9919],HAWAIITE [9919],,,,,,,,VESICULAR APHYRIC [9919] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,26813.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296210,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / BACH RIDGE / PACIFIC OCEAN,,26.58,26.58,158.83,158.83,SUBAQUATIC,-3430,-3530,s KK807 27-2 [9919],BASALT [9919],,,,,,,,PLAGIOCLASE- AND CLINOPYROXENE-MICROPHYRIC [9919] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,4482.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296240,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / BACH RIDGE / PACIFIC OCEAN,,26.58,26.58,158.83,158.83,SUBAQUATIC,-3430,-3530,s KK807 27-7 [9919],BASALT [9919],,,,,,,,"SOMEWHAT VESICULAR, PLAGIOCLASE- AND SPARSELY CLINOPYROXENE-MICROPHYRIC [9919] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,5894.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296243,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / W MENDELSSOHN SEAMOUNT / PACIFIC OCEAN,,25.13,25.13,161.95,161.95,SUBAQUATIC,-2700,-3600,s KK807 38-1 [9919],BASALT [9919],,,,,,,,PLAGIOCLASE-PHYRIC [9919] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,6707.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296244,
[9919],SEAMOUNT,MUSICIANS SEAMOUNTS / W MENDELSSOHN SEAMOUNT / PACIFIC OCEAN,,25.13,25.13,161.95,161.95,SUBAQUATIC,-2700,-3600,s KK807 38-2 [9919],"BASALT, OLIVINE [9919]",,,,,,,,SPARSELY PLAGIOCLASE-PHYRIC [9919] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [9919] ,,,,,,,,,,,,,8284.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296250,
