Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-25-2,105-107 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1641] ,195668.29100000003,21396.438,,73036.638,,,,86280.3,117711.09,52766.,,,10957.980000000001,17359.4538,3447.7259000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149577,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-25-2,107-109 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1641] ,201744.946,21935.844,,75577.0428,,,,91021.83,100486.82,53007.21599999999,309.7832,,10708.935,17062.711,3142.2311999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149578,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / VOGEL / SITE 385 / ATLANTIC OCEAN,,37.3714,37.3714,-60.1625,-60.1625,SUBAQUATIC,-4936,-4936,"s 43-385-23-1,97-99 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1641] ,193705.064,25771.62,,74730.2412,,,,94830.59999999999,126573.37000000001,12724.143999999998,232.3374,,36277.555,18917.353499999997,5193.4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149579,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / VOGEL / SITE 385 / ATLANTIC OCEAN,,37.3714,37.3714,-60.1625,-60.1625,SUBAQUATIC,-4936,-4936,"s 43-385-23-1,148-150 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1641] ,214973.35650000002,26610.696,,73565.88900000001,,,,108511.08,89337.5,18754.543999999998,154.8916,,47982.670000000006,12759.9404,2531.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149580,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-25-2,105-107 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [1641] ,214272.20400000003,27569.639999999996,,77852.8221,,,,84958.89,94912.15999999999,36423.615999999995,154.8916,,17433.15,20771.996,2313.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149581,
[1641],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-25-2,107-109 [1641]",BASANITE [1641],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [1641] ,204783.27350000004,26011.355999999996,,80075.6763,,,,81616.5,91767.48,34554.192,,,17267.12,25371.5094,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149582,
[2904],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-23-1,98-102 [2904]",BASALT [2904],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2904] ,219787.93700000003,19838.154,,82563.156,,,,74853.99,64823.29,29006.223999999995,3485.061,,7388.335,21662.2244,2269.3892,,22200.000000000004,30800.,,9100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,200,254,,,48,106,55,103,,,,,,,480,26,283,,,,,,,,,,,,,,512,24.8,56.8,,25.4,5.21,1.46,,0.86,,0.833,,,1.64,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219617,
[2904],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-23-1,134-139 [2904]",BASALT [2904],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2904] ,163695.73700000002,19478.55,,71660.5854,,,,73221.66,69182.95999999999,47941.68,2555.7114,,9297.68,16395.039699999998,10037.682999999999,,41100.,81300.00000000001,,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,320,277,,,51,134,69,125,,,,,,,545,32,246,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219618,
[2904],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-23-3,113-116 [2904]",BASALT [2904],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2904] ,165144.7855,20257.692,,71766.43560000001,,,,81771.95999999999,50386.35,45107.392,3639.9525999999996,,11040.995,19214.096299999997,14140.040400000002,,48300.,78800.,,23200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,344,299,,,50,156,65,117,,,,,,,410,30,322,,,,,,,,,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219619,
[2904],SEAMOUNT,NEW ENGLAND SEAMOUNT CHAIN / NASHVILLE / SITE 382 / ATLANTIC OCEAN,,35.4173,35.4173,-56.5375,-56.5375,SUBAQUATIC,-5526,-5526,"s 43-382-24-1,118-124 [2904]",BASALT [2904],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2904] ,218993.29750000002,23434.194,,66315.1503,,,,87679.43999999999,36735.579999999994,61811.6,3175.2778,,17267.12,16395.039699999998,12525.2827,,6899.999999999999,13600.000000000002,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,331,224,,,32,85,67,87,,,,,,,320,24,314,,,,,,,,,,,,,,365,26.5,60.1,,27.4,5.54,1.59,,0.874,,0.959,,,1.93,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219620,
