Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK4150 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,276113.8545,5693.73,,92989.4007,,17834.699999999997,30703.350000000002,,47741.96,18513.327999999998,1316.5786,,7803.41,26706.852,1134.6946,,9000.,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,3,,,,6,,,,,,,,12.7,286,31.7,154,9.5,,,,,,,,,,,,,180,12.9,25,,17,,1.4,,,5.2,,3.2,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109374,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK4151 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,276487.8025,5513.928,,93095.2509,,17485.,30547.890000000003,,47884.9,18453.023999999998,1316.5786,,7637.38,26855.2234,1134.6946,,7700.,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,2,,,,6,,,,,,,,12.1,288,31.5,154,9.5,,,,,,,,,,,,,180,12.5,25,,17,,1.55,,,4.8,,3.2,,3.4,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,109375,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK4153 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,276347.572,5573.862,,93571.5768,,17834.699999999997,30236.97,,47741.96,18272.111999999997,1316.5786,,7720.395,27448.709,1134.6946,,8100.000000000001,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,2,,,,6,,,,,,,,12.4,288,31.7,155,9,,,,,,,,,,,,,183,12.5,25,,17,,1.45,,,5,,3.2,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109376,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK4155 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,276254.085,5573.862,,92830.6254,,17974.579999999998,30159.239999999998,,47884.9,18513.327999999998,1316.5786,,7803.41,32715.8937,1134.6946,,7300.,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,3,,,,7,,,,,,,,12.5,287,31.5,155,9.5,,,,,,,,,,,,,188,12.7,27,,17,,1.5,,,5.1,,3.4,,3.5,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,109377,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK4152 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,273355.988,6053.334,,92830.6254,,50986.26,,,48385.189999999995,17488.16,1548.9160000000002,,8052.455,34422.1648,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,5,,,,9,,,,,,,,13,273,29,167,10,,,,,,,,,,,,,217,12.6,28.7,,15.8,4.8,1.5,4.6,,5.1,,3.4,,3.5,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109378,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.5533,-12.555,167.676,167.68,SUBAQUATIC,-1284,-1425,s TIK415X [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,273355.988,5933.465999999999,,93148.176,,50496.68,,,48170.78,17608.768,1548.9160000000002,,8135.47,35089.8361,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,8,,,,7,,,,,,,,11,265,30,163,10,,,,,,,,,,,,,196,12.2,27.2,,15.5,4.9,1.5,4.6,,5.1,,3.2,,3.3,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109379,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN,TIKOPIA AREA,-12.533,-12.533,167.6733,167.6733,SUBAQUATIC,,-1905,s CY11 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,287706.2425,3715.908,,93148.176,,36788.439999999995,,,36592.64,13206.576,1239.1328,,8799.59,39095.8639,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,238,22,,,,,,,,,,,,,,,,13.3,27.1,,14.6,4,1.2,3.6,,3.9,,2.5,,2.7,0.42,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,109380,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN,TIKOPIA AREA,-12.5283,-12.5283,167.7516,167.7516,SUBAQUATIC,,-2412,s CY31 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,250825.621,8031.156,,85632.8118,,62316.54,,,64823.29,34132.064,1316.5786,,5977.08,28932.423,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,178,38,,,,,,,,,,,,,,,,8.4,22.4,,16.5,6.2,1.8,6.2,,6.9,,4.2,,4.1,0.6,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,109381,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN,TIKOPIA AREA,-12.525,-12.525,167.753,167.753,SUBAQUATIC,,-2203,s CY34 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,251059.3385,8210.958,,93994.97760000001,,64554.62,,,68611.2,31478.688,1316.5786,,5811.049999999999,24407.0953,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,238,24,,,,,,,,,,,,,,,,4.9,11.9,,9.4,3.5,1.2,4,,4.3,,2.7,,2.6,0.38,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,109382,
[4890],SEAMOUNT,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN,TIKOPIA AREA,-12.54,-12.54,167.7033,167.7033,SUBAQUATIC,,-1550,s CY36 [4890],BASALT [4890],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4890] ,256107.63650000002,5513.928,,94153.75289999999,,62946,,,66324.15999999999,25810.112,1239.1328,,5395.975,25223.138,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,286,17,,,,,,,,,,,,,,,,5.3,11.9,,8.6,3,1,3,,3.3,,2.1,,1.9,0.3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,109383,
