Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 162, EASTERN SLOPE",29.83,29.83,-28.14,-28.14,SUBAQUATIC,-3080,-3080,s 162A [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,278591.26,2996.7,,84680.16,,30773.600000000002,,,21083.65,3015.2,2168.4824000000003,,43997.95,55639.274999999994,218.21050000000002,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,4,16,,,,,,,,,,,38,,3000,29,10,2150,,,17,20,,,,,,,,,,1000,250,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,36233,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 162, EASTERN SLOPE",29.83,29.83,-28.14,-28.14,SUBAQUATIC,-3080,-3080,s 162B [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,295418.92000000004,3596.0399999999995,,78329.148,,28675.399999999998,,,11792.55,2412.16,2091.0366,,42337.649999999994,57864.846,218.21050000000002,,,,,,,,,,,,,,,,25000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36234,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 164, EASTERN SLOPE",29.82,29.82,-27.9,-27.9,SUBAQUATIC,-4280,-4280,s 164A [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,284667.91500000004,4195.379999999999,,85209.41100000001,,23779.6,,,20368.95,3316.7200000000003,2013.5908,,42337.649999999994,54155.560999999994,305.4947,,,,,,,,,,,,,,,,37000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36235,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 164, EASTERN SLOPE",29.82,29.82,-27.9,-27.9,SUBAQUATIC,-4280,-4280,s 164C [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,294951.48500000004,2996.7,,85738.662,,27276.6,,,13579.3,2713.68,1781.2534,,43167.8,54155.560999999994,261.8526,,,,,,,,,,,,,,,,21000.,,,,,,,,,,,,,,,4,12,,,,,,,,,,,33,,3000,13,,1800,,,16,12,,,,,,,,,,1000,220,,,,,0.9,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,36236,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 162, EASTERN SLOPE",29.83,29.83,-28.14,-28.14,SUBAQUATIC,-3080,-3080,s 162C [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,297288.66000000003,3895.71,,83621.65800000001,,36368.8,,,25371.85,3919.7599999999998,1781.2534,,1660.3000000000002,51929.99,392.77889999999996,,,,,,,,,,,,,,,,32500.,,,,,,,,,,,,,,,4,15,,,,,,,,,,,38,,3900,39,,1800,,15,16,21,,,,,,,,,,940,200,,,,,2,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,36237,
[665],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,"STATION 164, EASTERN SLOPE",29.82,29.82,-27.9,-27.9,SUBAQUATIC,-4280,-4280,s 164B [665],TRACHYTE [665],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [665] ,279526.13,6892.409999999999,,83621.65800000001,,42663.399999999994,,,35735,8442.56,1394.0244,,30715.550000000003,46736.990999999995,1702.0419000000002,,,,,,,,,,,,,,,,14000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36238,
[10377],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,,29.7033,29.7033,-28.3417,-28.3417,SUBAQUATIC,-600,-960,s 9-173TD [10377],BASALT [10377],,,,MIOCENE [10377],,,,PORPHYRIC PILOTAXITIC [10377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10377] ,214739.639,19538.483999999997,,71713.5105,,51405.899999999994,34278.93,,69468.84000000001,49087.456,1239.1328,,11539.085,22181.5243,2705.8102,16600.,,,,4100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377309,
[10377],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,,29.7033,29.7033,-28.3417,-28.3417,SUBAQUATIC,-600,-960,s 9-173TD [10377],BASALT [10377],,,,MIOCENE [10377],,,,PORPHYRIC PILOTAXITIC [10377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10377] ,212495.95100000003,18879.21,,69173.1057,,50916.32,35367.15,,71041.18,53670.56,1239.1328,,11124.01,22626.638499999997,2749.4523,17400.,,,,7400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377310,
[10377],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,,29.965,29.965,-28.2617,-28.2617,SUBAQUATIC,-600,-1000,s 9-178TD2 [10377],BASALT [10377],,,,MIOCENE [10377],,,,PORPHYRIC INTERSERTAL [10377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10377] ,185758.66900000002,27449.771999999997,,66103.4499,,56091.88,40264.14,,93625.7,48363.808,1084.2412000000002,,4814.87,15208.068499999998,3011.3048999999996,35800.,,,,9200.,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377311,
[10377],SEAMOUNT,NORTH ATLANTIC SEAMOUNTS / GREAT METEOR / ATLANTIC OCEAN,,29.965,29.965,-28.2617,-28.2617,SUBAQUATIC,-600,-1000,s 9-178TD2 [10377],BASALT [10377],,,,MIOCENE [10377],,,,PORPHYRIC INTERSERTAL [10377] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10377] ,180850.6015,26550.761999999995,,61498.966199999995,,61337.38,38631.81,,98557.12999999999,52223.263999999996,1161.687,,4565.825000000001,13130.8689,2836.7365,39600.,,,,19800.,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377312,
