Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,-1400,-1400,s 63DS-1 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,245590.34900000002,15582.84,,85738.662,,,,71977.98,49671.65,19116.368,1161.687,,16935.06,34273.7934,4189.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,269,231,,,42,91,66,106,,,,,,14,459,22,198,28,,,,,,,,,,,,0.11,223,25,54,7,29,6,2.1,5.8,0.8,4.7,0.9,2.2,0.3,1.8,0.3,4.4,1.9,,,,,,,,,2.5,,2.6,0.6,0.512492,,,0.704826,,17.577,,15.479,,38.764,,,,,,,,,,,,,,,11273,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 5 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.25,-25.25,-129.33,-129.33,SUBAQUATIC,-2700,-2700,s 57DS-9 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,258211.09400000004,11866.931999999999,,86532.53850000001,,,,73610.31000000001,37807.63,13930.224,1239.1328,,23742.289999999997,35534.9503,4887.9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,2,,,14,1,9,193,,,,,,32,523,48,533,66,,,,,,,,,,,,0.48,587,75,169,21,84,17,5,15,2,11,1.9,4.8,0.6,3.9,0.5,11,3.6,,,,,,,,,7.9,,7.6,1.9,0.512453,,,0.705263,,17.509,,15.471,,38.882,,,,,,,,,,,,,,,11280,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,-1850,-1850,s 64DS-3 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,227921.306,16601.718,,79493.5002,,,,82393.8,66824.45,49208.064,1239.1328,,8135.47,22997.567,2182.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,240,344,,,46,148,42,115,,,,,,13,535,25,220,28,,,,,,,,,,,,0.12,186,22,51,6.8,30,7.1,2.3,6.6,1,5.5,1,2.5,0.3,2.1,0.3,5.3,1.9,,,,,,,,,2.1,,1.9,0.6,0.512773,,,0.703926,,18.112,,15.511,,38.728,,,,,,,,,,,,,,,11281,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,-2600,-2600,s 66DS-5 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,281863.305,6353.004,,92354.2995,,,,43839.719999999994,22870.4,6030.4,929.3496,,29636.355,47627.219399999994,1527.4734999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,298,86,,,38,42,35,113,,,,,,15,533,25,227,31,,,,,,,,,,,,0.14,216,25,56,7.2,31,7.2,2.4,6.6,1,5.6,1,2.6,0.3,2.1,0.3,5.2,1.9,,,,,,,,,2.3,,2.3,0.7,0.512723,,,0.704026,,17.978,,15.498,,38.748,,,,,,,,,,,,,,,11283,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 2 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,-1200,-1200,s 69DS-5 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,232829.37350000002,16961.322,,81557.5791,,,,78196.38,71398.53,36785.439999999995,1161.687,,8633.56,22775.009899999997,1920.2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,291,70,,,40,53,40,117,,,,,,15,519,24,229,33,,,,,,,,,,,,0.14,196,23,54,7.1,30,6.9,2.3,6.4,0.9,5.2,0.9,2.4,0.3,1.9,0.3,5,2,,,,,,,,,2.2,,2.2,0.7,0.51276,,,0.7038,,18.122,,15.511,,38.839,,,,,,,,,,,,,,,11284,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 2 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.19,-25.19,-129.41,-129.41,SUBAQUATIC,-550,-550,s 45DS-5 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,230351.96800000002,21456.372,,84733.08510000001,,,,76952.7,57747.76,33709.935999999994,1084.2412000000002,,13531.445,28561.4945,3316.7996000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,114,,,36,83,89,118,,,,,,28,715,30,359,49,,,,,,,,,,,,0.27,361,40,90,12,49,10.8,3.4,9.7,1.3,7.1,1.2,3.1,0.4,2.3,0.3,8.2,3.2,,,,,,,,,3.9,,4.2,1.2,0.51272,,,0.704071,,18.127,,15.516,,38.942,,,,,,,,,,,,,,,11286,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,,,s 61DS-1 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512734,,,0.704021,,18.16,,15.521,,38.928,,,,,,,,,,,,,,,11289,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,,,s 64DS-2 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51278,,,0.703933,,18.113,,15.513,,38.742,,,,,,,,,,,,,,,11290,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,,,s 65DS-2 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512692,,,0.704057,,18.05,,15.513,,38.919,,,,,,,,,,,,,,,11291,
[759],SEAMOUNT,PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN,,-25.33,-25.33,-129.27,-129.27,SUBAQUATIC,,,s 67DS-2 [759],BASALT [759],,,,,,,,GLASSY [759] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [759] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512758,,,0.704024,,18.161,,15.523,,38.933,,,,,,,,,,,,,,,11292,
