Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / DRIFTERS / DREDGE D6 / PACIFIC OCEAN,,53.53,53.53,-133.69,-133.69,SUBAQUATIC,-2250,-2250,s DR-302 [2530],BASALT [2530],14000000 [2530],14000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,231380.325,9529.506,,77376.4962,,,,80839.2,86693.11,45107.392,1548.9160000000002,,1328.24,24184.5382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,0.04,,4.1,13,2,11,3.5,1.4,4.7,0.81,5.2,1.1,3.1,0.49,3.1,0.46,2.3,0.4,,,,,,,,,,,0.18,0.23,0.513195,,,0.702596,,18.524,,15.443,,37.791,,,,,,,,,,,,,,,105717,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / DRIFTERS / DREDGE D6 / PACIFIC OCEAN,,53.53,53.53,-133.69,-133.69,SUBAQUATIC,-2250,-2250,s DR-306 [2530],BASALT [2530],14000000 [2530],14000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,236428.62300000002,9889.109999999999,,77852.8221,,,,75553.56000000001,87765.15999999999,44021.92,1316.5786,,913.165,22552.4528,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,310,,,,64,,89,,,,,,9,179,33,105,3.1,,,,,,,,,,,,0.1,75,4.7,14,2.2,12,3.7,1.5,5.1,0.87,5.4,1.2,3.3,0.53,3.3,0.5,2.5,0.4,,,,,,,,,,,0.19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,105718,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / GRAHAM / DREDGE D4 / PACIFIC OCEAN,,53.27,53.27,-134.51,-134.51,SUBAQUATIC,-1500,-1500,s GR-101 [2530],BASALT [2530],11000000 [2530],12000000 [2530],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2530] ,233203.32150000002,9469.572,,97911.435,,,,55965.6,96770.37999999999,20081.232,1006.7954,,1992.36,25742.4379,1352.9051,,,,,,,,,,,,,,,,4900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,290,,,,11,,94,,,,,,6,224,32,99,5.5,,,,,,,,,,,,0.04,65,6,15,2.3,12,3.7,1.5,4.7,0.82,5.2,1.1,3.2,0.51,3.1,0.47,2.3,0.7,,,,,,,,,,,0.38,0.64,0.513168,,,0.702397,,18.977,,15.448,,38.037,,,,,,,,,,,,,,,105719,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / GRAHAM / DREDGE D4 / PACIFIC OCEAN,,53.27,53.27,-134.51,-134.51,SUBAQUATIC,-1500,-1500,s GR-104 [2530],BASALT [2530],11000000 [2530],12000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,228108.28,10188.779999999999,,80922.4779,,,,80450.55,86550.17,44926.479999999996,1394.0244,,1909.345,26410.1092,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,25,92,5.1,,,,,,,,,,,,0.11,,4.7,13,2,10,3.2,1.3,4,0.71,4.4,0.9,2.8,0.45,2.7,0.41,2.2,0.4,,,,,,,,,,,0.33,0.48,0.513148,,,0.702442,,18.892,,15.498,,38.169,,,,,,,,,,,,,,,105720,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / GRAHAM / DREDGE D4 / PACIFIC OCEAN,,53.27,53.27,-134.51,-134.51,SUBAQUATIC,-1500,-1500,s GR-110 [2530],BASALT [2530],11000000 [2530],12000000 [2530],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2530] ,231987.99050000004,9589.44,,94365.4533,,,,59929.83,92911,18754.543999999998,1084.2412000000002,,2241.405,24926.3952,960.1262,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,298,,,,14,,88,,,,,,,221,34,117,6,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105721,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / OSHAWA / DREDGE D76-10 / PACIFIC OCEAN,,53.34,53.34,-134.06,-134.06,SUBAQUATIC,-1075,-1075,s OS-10-29 [2530],BASALT [2530],14000000 [2530],14000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,232221.708,12226.536,,74624.391,,,,87679.43999999999,82190.5,41247.935999999994,1084.2412000000002,,1992.36,25519.8808,1440.1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,195,,,,28,,89,,,,,,8,210,37,137,6.6,,,,,,,,,,,,0.09,92,7,19,2.9,15,4.7,1.8,5.9,1,6.5,1.4,3.8,0.6,3.6,0.56,3.2,0.6,,,,,,,,,,,0.44,0.27,0.513122,,,0.702624,,18.821,,15.492,,38.068,,,,,,,,,,,,,,,105722,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / OSHAWA / DREDGE D76-10 / PACIFIC OCEAN,,53.34,53.34,-134.06,-134.06,SUBAQUATIC,-1075,-1075,s OS-208 [2530],BASALT [2530],14000000 [2530],14000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,231193.35100000002,11267.591999999999,,75259.49220000001,,,,85114.34999999999,82476.37999999999,41428.848,,,1826.33,23368.495499999997,1265.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,164,,,,53,,99,,,,,,11,186,27,123,6,,,,,,,,,,,,0.05,49,6.1,18,2.7,13,4.1,1.6,5.5,0.92,5.5,1.2,3.3,0.52,3.1,0.47,3.1,0.4,,,,,,,,,,,0.37,0.26,0.513058,,,0.702552,,18.803,,15.48,,38.06,,,,,,,,,,,,,,,105723,
[2530],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / OSHAWA / DREDGE D76-10 / PACIFIC OCEAN,,53.34,53.34,-134.06,-134.06,SUBAQUATIC,-1075,-1075,s OS-213 [2530],BASALT [2530],14000000 [2530],14000000 [2530],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2530] ,232548.9125,12586.14,,73248.33840000001,,,,90477.72,80761.1,39076.992,542.1206000000001,,1992.36,24852.2095,1571.1155999999999,,,,,,,,,,,,,,,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,88,,,,44,,111,,,,,,5,208,35,140,6.7,,,,,,,,,,,,0.08,44,7.3,21,3,15,4.4,1.7,5.7,0.98,6.1,1.3,3.6,0.57,3.5,0.48,3.1,0.2,,,,,,,,,,,0.68,0.48,0.513088,,,0.702589,,18.807,,15.477,,38.038,,,,,,,,,,,,,,,105724,
[2529],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / KODIAK / PACIFIC OCEAN,,56.9,56.9,-149.2,-149.2,SUBAQUATIC,,,s KS3-56 [2529],TRACHYTE [2529],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2529] ,,,,,,,,,,,,,27768.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95849,
[2529],SEAMOUNT,PRATT-WELKER SEAMOUNT CHAIN / GIACOMINI / PACIFIC OCEAN,,56.5,56.5,-146.6,-146.6,SUBAQUATIC,,,s GS-58 [2529],"BASALT, ALKALINE, OLIVINE [2529]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2529] ,,,,,,,,,,,,,15150.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95853,
