Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12924],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / PACIFIC OCEAN,HOLE 873C,11.9,11.9,164.92,164.92,SUBAQUATIC,-1335,-1335,"s 144-873C-17R1, 23-27 (WOD-1) [12924]",HAWAIITE [12924],,,,MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12924] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,293,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1.9,,0.0035,,0.512779,,,0.704474,,19.426,,15.627,,39.169,,,,,,,,,,,,,,,"12478-144-873C-17R1, 23-27 (WOD-1)",
[2280],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 873 / PACIFIC OCEAN,HOLE 873A,11.8966,11.8966,164.9198,164.9198,SUBAQUATIC,-1346,-1346,"s 144-873A-17R-1,23-27 [2280]",HAWAIITE [2280],,,,,,,,"APHYRIC, INTERSERTLA, COARSE-GRAINED GROUNDMASS [2280] ",VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512779,,,0.704535,,19.135,,15.631,,39.186,,,,,,,,,,,,,,,138189,
[2280],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / PACIFIC OCEAN,NORTH FLANK OF MAIN EDIFICE OF WODEJEBATO GUYOT,12,12,164.9,164.9,SUBAQUATIC,-1350,-1350,s TUNES69-19 [2280],NOT GIVEN [2280],,,,,,,,"PORPHYRITIC, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512764,,,0.704441,,18.806,,15.681,,39.148,,,,,,,,,,,,,,,138195,
[2280],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / PACIFIC OCEAN,NE SATELLITE VOLCANO,12.1,12.1,164.75,164.75,SUBAQUATIC,-3000,-3000,s TUNES610-1 [2280],HAWAIITE [2280],,,,,,,,"PORPHYRITIC, VESICULAR, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512756,,,0.703848,,19.491,,15.631,,39.546,,,,,,,,,,,,,,,138196,
[2280],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / PACIFIC OCEAN,NE SATELLITE VOLCANO,12.1,12.1,164.75,164.75,SUBAQUATIC,-3000,-3000,s TUNES610-7 [2280],"BASALT, ALKALINE [2280]",,,,,,,,"PORPHYRITIC, INTERSERTAL, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512737,,,0.703732,,19.535,,15.618,,39.198,,,,,,,,,,,,,,,138197,
[2147],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 869 / PACIFIC OCEAN,HOLE 869B,11.0016,11.0016,164.7503,164.7503,SUBAQUATIC,-4837.8,-4837.8,"s 143-869B-39R-2,113-116 [2147]",BASALT [2147],,,,,,,,PHYRIC [2147] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2147] ,221143.49850000002,19478.55,,66579.7758,,,,79984.17,51315.46,48424.111999999994,1084.2412000000002,,23327.215,24258.7239,1920.2524,,,,,,,,,,,,,,,,44700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,388,,,,198,,,,,,,,17,221,19,216,45,,,,,,,,,,,,,839,27,53,6.5,27,5.5,1.7,,0.69,,0.73,1.7,,1.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138237,
[2147],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 869 / PACIFIC OCEAN,HOLE 869B,11.0016,11.0016,164.7503,164.7503,SUBAQUATIC,-4837.8,-4837.8,"s 143-869B-40R-1,8-12 [2147]",BASALT [2147],,,,,,,,PHYRIC [2147] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2147] ,208943.44500000004,18279.87,,72031.0611,,,,87990.36,75901.14,42454.015999999996,2091.0366,,7139.29,18620.610699999997,2356.6734,,,,,,,,,,,,,,,,45400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,635,,,,400,,,,,,,,11,850,19,200,45,,,,,,,,,,,,,692,35,70,8.8,35,7.2,2.6,,0.84,,0.84,1.9,,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138238,
[2147],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 869 / PACIFIC OCEAN,HOLE 869B,11.0016,11.0016,164.7503,164.7503,SUBAQUATIC,-4837.8,-4837.8,"s 143-869B-40R-1,123-126 [2147]",BASALT [2147],,,,,,,,PHYRIC [2147] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2147] ,215814.73950000003,16361.981999999998,,66950.2515,,,,62261.729999999996,87407.81,34011.456,1626.3618,,14776.67,20104.324699999997,2182.105,,,,,,,,,,,,,,,,70900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,160,,,,82,,,,,,,,32,622,17,201,42,,,,,,,,,,,,,551,31,63,7.9,33,6.3,2.4,,0.8,,0.75,1.6,,1.3,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138239,
[2147],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 869 / PACIFIC OCEAN,HOLE 869B,11.0016,11.0016,164.7503,164.7503,SUBAQUATIC,-4837.8,-4837.8,"s 143-869B-41R-1,61-64 [2147]",BASALT [2147],,,,,,,,PHYRIC [2147] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2147] ,219133.52800000002,11447.393999999998,,61710.666600000004,,,,72599.81999999999,81833.15,44021.92,1084.2412000000002,,5229.945,18991.5392,1265.6209,,,,,,,,,,,,,,,,61600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,619,,,,350,,,,,,,,10,816,14,110,28,,,,,,,,,,,,,290,18,36,4.6,19,3.9,1.4,,0.54,,0.61,1.3,,1.1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138240,
[2147],SEAMOUNT,RALIK SEAMOUNT GROUP / WODEJEBATO GUYOT / SITE 869 / PACIFIC OCEAN,HOLE 869B,11.0016,11.0016,164.7503,164.7503,SUBAQUATIC,-4837.8,-4837.8,"s 143-869B-52R-5,146-150 [2147]",BASALT [2147],,,,,,,,PHYRIC [2147] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2147] ,213477.56450000004,12586.14,,71343.03480000001,,,,80372.81999999999,59677.45,52162.96,1703.8076,,5312.96,22626.638499999997,1309.263,,,,,,,,,,,,,,,,62200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,323,,,,246,,,,,,,,14,576,17,111,30,,,,,,,,,,,,,497,18,38,4.7,20,4.2,1.7,,0.54,,0.58,1.6,,1.3,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138244,
