Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2280],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-35R-1,41-43 [2280]",BASANITE [2280],,,,,,,,"PORPHYRITIC, INTERGRANULAR, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512723,,,0.704437,,18.579,,15.561,,38.686,,,,,,,,,,,,,,,138186,
[2280],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-38R-6,39-43 [2280]",BASANITE [2280],,,,,,,,"GLOMEROPORPHYRITIC, MICROCRYSTALLINE GROUNDMASS [2280] ",VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2280] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512894,,,0.703549,,19.012,,15.598,,38.944,,,,,,,,,,,,,,,138187,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-33R-3,116-120 [5862]",NOT GIVEN [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,203380.96850000002,16302.048,,65944.67460000001,,,,80761.47,77473.48,82797.39199999999,1548.9160000000002,,8218.485,26261.7378,1483.8314,,,,,,,,,,,,,,,,19400.,,,,,,,,,,,,,,,,,,,,,,,1484,,,8218,,,16306,,,,,,,,,,,,,,23,695,25,299,97,,,,,,,,,,,,,669,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142189,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-34R-1,5-9 [5862]",NOT GIVEN [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,199080.56650000004,17980.199999999997,,63298.41960000001,,,,83093.37,117568.15,63982.543999999994,1703.8076,,3652.66,14317.8401,1832.9682,,,,,,,,,,,,,,,,44400.00000000001,,,,,,,,,,,,,,,,,,,,,,,1833,,,3653,,,17985,,,,,,,,,,,,,,8,772,27,215,68,,,,,,,,,,,,,570,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142190,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-35R-1,44-50 [5862]",NOT GIVEN [5862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5862] ,202212.381,23853.732,,62292.8427,,,,78118.65000000001,92339.24,80566.14399999999,4027.1816,,3486.6299999999997,12834.1261,1832.9682,,,,,,,,,,,,,,,,65000.,,,,,,,,,,,,,,,,,,,,,,,1833,,,3487,,,23860,,,,,,,,,,,,,,11,644,23,241,65,,,,,,,,,,,,,785,107,87,,58,33,28,,,10.5,,6.9,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142191,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-35R-4,42-48 [5862]",BASALT [5862],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5862] ,197444.54400000002,25412.016,,76159.2189,,,,108588.81000000001,45383.45,87078.976,2245.9282,,5146.93,9569.9553,2443.9576,,,,,,,,,,,,,,,,87800.,,,,,,,,,,,,,,,,,,,,,,,2444,,,5147,,,25418,,,,,,,,,,,,,,20,279,33,275,85,,,,,,,,,,,,,362,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142192,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-36R-3,25-31 [5862]",BASALT [5862],,,,,,,,"VERY FINE-GRAINED, INTERSERTAL [5862] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5862] ,200062.18,18040.134,,65203.72320000001,,,,93120.54000000001,86693.11,89672.048,2013.5908,,1494.27,6379.9702,2313.0313,,,,,,,,,,,,,,,,60500.,,,,,,,,,,,,,,,,,,,,,,,2313,,,1494,,,18045,,,,,,,,,,,,,,7,508,27,230,73,,,,,,,,,,,,,357,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142193,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-37R-1,80-84 [5862]",BASALT [5862],,,,,,,,"VERY FINE-GRAINED, INTERSERTAL [5862] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5862] ,194125.75550000003,20677.23,,73724.6643,,,,109288.38,44954.63,107582.336,1936.145,,6558.185,7270.1986,2051.1787,,,,,,,,,,,,,,,,81199.99999999999,,,,,,,,,,,,,,,,,,,,,,,2051,,,6558,,,20682,,,,,,,,,,,,,,12,304,29,252,82,,,,,,,,,,,,,443,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142194,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-38R-1,86-91 [5862]",BASALT [5862],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5862] ,201230.76750000002,17680.53,,63510.12,,,,91021.83,79045.82,93833.02399999999,1703.8076,,4067.735,11350.4121,2051.1787,,,,,,,,,,,,,,,,50199.99999999999,,,,,,,,,,,,,,,,,,,,,,,2051,,,4068,,,17685,,,,,,,,,,,,,,10,511,27,227,73,,,,,,,,,,,,,450,115,86,,54,33,27,,,11.2,,7.9,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142195,
[5862],SEAMOUNT,RATAK SEAMOUNT GROUP / LIMALOK / SITE 871 / PACIFIC OCEAN,HOLE 871C,5.5573,5.5573,172.3443,172.3443,SUBAQUATIC,-1265.5,-1265.5,"s 144-871C-38R-6,98-100 [5862]",BASALT [5862],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5862] ,194593.19050000003,19718.286,,65997.5997,,,,97084.77,90266.61,82676.784,1626.3618,,2988.54,6528.3416,2574.8839,,,,,,,,,,,,,,,,37900.,,,,,,,,,,,,,,,,,,,,,,,2575,,,2989,,,19723,,,,,,,,,,,,,,10,568,31,207,72,,,,,,,,,,,,,499,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142196,
