Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[461],SEAMOUNT,SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN,SOUTH OF UPOLU,-15,-15,-172.1,-172.1,SUBAQUATIC,,,s 66-24 [461],"NEPHELINITE, MELILITE [461]",,,,,,,,"VESICULAR, MICROPORPHYRITIC [461] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,169117.983,19718.286,,54248.2275,,37138.14,44539.29,,101916.22,71641.152,1239.1328,,21749.93,24407.0953,4975.1993999999995,,38900.,7400.,,12900.,,,,,,,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,320,,,42,225,38,125,,,,,,43,1390,,262,,,,,,,,,,,,,,1335,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,12631,
[461],SEAMOUNT,SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN,SOUTH OF UPOLU,-15,-15,-172.1,-172.1,SUBAQUATIC,,,s 66-23 [461],"NEPHELINITE, OLIVINE [461]",,,,,,,,"VESICULAR, MICROPORPHYRITIC [461] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,181738.72800000003,23613.996,,60440.4642,,28465.58,51379.530000000006,,91267.19,82978.30399999999,1394.0244,,20255.66,18768.982099999997,3185.8732999999997,,19800.,800.,,4800.,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1190,,,,500,46,135,,,,,,58,1095,,239,,,,,,,,,,,,,,1240,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,12632,
[461],SEAMOUNT,SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN,SOUTH OF UPOLU,-15,-15,-172.1,-172.1,SUBAQUATIC,,,s 66-1 [461],BASANITE [461],,,,,,,,VERY FINE-GRAINED [461] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,219273.7585,23134.523999999998,,67691.2029,,23989.420000000002,62494.91999999999,,57962.17,42031.888,1239.1328,,23410.23,33754.4935,4364.21,,8500.,3300.,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,167,,,22,143,26,142,,,,,,63,1275,,434,,,,,,,,,,,,,,595,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,12633,
[6967],SEAMOUNT,SAMOAN ISLANDS / VAILULU^U / DREDGE 63 / PACIFIC OCEAN,,-14.218,-14.218,-169.059,-169.059,SUBAQUATIC,-920,-920,s 63-5 [6967],BASALT [6967],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,224696.0045,16002.377999999999,,71025.4842,,,,79206.87,97913.9,49811.10399999999,1316.5786,,7969.44,16617.5968,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,335,498,,,,110,59,85,20,,,,,22.2,404,24.09,178,34.74,,,,,,,,,,,,0.13,210,28.95,58.29,7,29.05,6.8,2.13,6.16,0.92,5.17,0.94,2.32,0.3,1.75,0.25,4.69,2.32,,,,,,,,,2.08,,3.72,0.82,0.512746,,,0.705299,,19.337,,15.604,,39.604,,,,,,,,,,,,,,,170737,
[6967],SEAMOUNT,SAMOAN ISLANDS / VAILULU^U / DREDGE 64 / PACIFIC OCEAN,,-14.26,-14.26,-169.056,-169.056,SUBAQUATIC,-2630,-2630,s 64-1 [6967],BASALT [6967],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,223013.23850000004,16781.519999999997,,70813.7838,,,,82393.8,96341.56,49147.76,1316.5786,,8882.605000000001,17136.8967,1440.1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,329,455,,,,104,85,82,19,,,,,29.6,424,26.43,189,38.97,,,,,,,,,,,,0.33,236,31.12,63.12,7.58,31.29,7.33,2.26,6.72,1.02,5.68,1.01,2.53,0.33,1.91,0.27,5.13,2.59,,,,,,,,,3.04,,4.06,0.87,0.512764,,,0.705303,,19.363,,15.606,,39.623,,,,,,,,,,,,,,,170739,
[6967],SEAMOUNT,SAMOAN ISLANDS / VAILULU^U / DREDGE 68 / PACIFIC OCEAN,,-14.217,-14.217,-169.064,-169.064,SUBAQUATIC,-780,-780,s 68-10 [6967],BASALT [6967],,350000 [6967],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,225210.18300000002,17980.199999999997,,78858.399,,,,88145.81999999999,86407.23,36544.223999999995,1471.4702,,9380.695,20475.2532,1571.1155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,351,66,,,,47,68,94,18,,,,,24.7,434,27.93,202,42.41,,,,,,,,,,,,0.38,239,33.97,67.35,8.07,32.91,7.62,2.39,6.83,1.06,5.95,1.11,2.77,0.36,2.12,0.31,5.45,2.9,,,,,,,,,2.96,,4.67,0.98,0.51276,,,0.705373,,19.325,,15.61,,39.56,,,,,,,,,,,,,,,170741,
[6967],SEAMOUNT,SAMOAN ISLANDS / VAILULU^U / DREDGE 68 / PACIFIC OCEAN,,-14.217,-14.217,-169.064,-169.064,SUBAQUATIC,-780,-780,s 68-11 [6967],BASALT [6967],,350000 [6967],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,213197.10350000003,7431.816,,29849.7564,,,,87135.33,44525.810000000005,170901.536,1316.5786,,3403.615,7418.57,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,154,2771,,,,1067,103,86,6,,,,,9.3,181,10.47,80,15.57,,,,,,,,,,,,0.09,90,13.04,26.9,3.19,12.96,3.01,0.93,2.58,0.4,2.24,0.41,0.99,0.13,0.74,0.11,2.03,1.01,,,0.002039,,,,,,0.66,,1.75,0.54,0.512724,,,0.705594,,19.357,,15.623,,39.685,,,,,0.128,,,,,,,,,,170742,
[6967],SEAMOUNT,SAMOAN ISLANDS / VAILULU^U / DREDGE 68 / PACIFIC OCEAN,,-14.217,-14.217,-169.064,-169.064,SUBAQUATIC,-780,-780,s 68-28 [6967],BASALT [6967],,350000 [6967],,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,221657.67700000003,21696.108,,81345.8787,,,,89311.77,87908.1,30212.303999999996,1394.0244,,10376.875,21217.1102,2182.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,394,50,,,,21,26,99,24,,,,,33.1,521,31.28,222,48.08,,,,,,,,,,,,0.38,292,41.67,84.11,10.01,40.82,9.26,2.81,8.06,1.23,6.64,1.2,2.96,0.38,2.24,0.32,5.92,3.25,,,,,,,,,2.65,,4.96,1.03,0.512743,,,0.705419,,19.337,,15.598,,39.648,,,,,,,,,,,,,,,170743,
[6967],SEAMOUNT,SAMOAN ISLANDS / MULI / DREDGE 79 / PACIFIC OCEAN,,-13.916,-13.916,-169.993,-169.993,SUBAQUATIC,-3484,-3484,s 79-4 [6967],BASALT [6967],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,220769.5505,18759.341999999997,,90290.2206,,,,89778.15000000001,59963.33,19719.408,1703.8076,,17350.135,34867.279,10343.1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,144,1,,,,4,10,188,23,,,,,38.6,1901,73.39,371,92.26,,,,,,,,,,,,0.54,662,107.5,238.81,29.95,132.41,28.68,8.77,23.57,3.22,16.7,2.85,6.52,0.81,4.39,0.62,9.45,5.95,,,,,,,,,3.8,,6.48,1.21,0.51273,,,0.704904,,19.279,,15.617,,39.517,,,,,,,,,,,,,,,170779,
[6967],SEAMOUNT,SAMOAN ISLANDS / MULI / DREDGE 80 / PACIFIC OCEAN,,-14.129,-14.129,-170.062,-170.062,SUBAQUATIC,-2368,-2368,s 80-23 [6967],BASALT [6967],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6967] ,225630.87450000003,20137.823999999997,,91189.9473,,,,85891.65000000001,62178.899999999994,25387.983999999997,1548.9160000000002,,16104.91,30935.436899999997,3796.8627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,205,7,,,,0,13,163,28,,,,,38.4,967,48.07,419,77.72,,,,,,,,,,,,0.37,409,58.62,122.09,14.81,65.12,15.63,4.94,14.04,2.04,10.92,1.88,4.39,0.56,3.07,0.45,10.18,5.24,,,,,,,,,4.52,,7.18,1.55,0.512767,,,0.704914,,19.177,,15.591,,39.305,,,,,,,,,,,,,,,170781,
