Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-1 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,203474.4555,13605.018,,71872.2858,,,,87601.70999999999,76258.49,65791.66399999999,1084.2412000000002,,5146.93,14985.5114,2574.8839,29300.,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,470,,,50,337,,105,20,,,,,11,587,26,194,43,,,,,,,,,,,,,322,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106483,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-2 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,209504.36700000003,13844.753999999999,,72242.76150000001,,,,87834.90000000001,77044.65999999999,60364.304,1316.5786,,5312.96,18027.1251,2487.5996999999998,22300.,,,,2800.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,413,,,52,222,,105,22,,,,,13.6,644,25.3,196,49.9,,,,,,,,,,,,,298,36.7,72.2,8.88,34.6,7.36,2.29,6.85,0.97,5.26,0.93,2.4,0.31,1.85,0.26,4.44,2.29,,,,,,,,,1.68,,3.47,0.94,,,,,,,,,,,,,,,,,,,,,,,,,106484,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-3 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,205998.60450000002,13545.083999999997,,71660.5854,,,,88767.66,78188.18,59640.656,1239.1328,,6641.200000000001,17730.3823,2531.2418,20500.,,,,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,395,,,49,205,,103,16,,,,,19,570,27,194,42,,,,,,,,,,,,,271,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106485,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-5 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,203567.9425,13425.216,,69914.0571,,,,88767.66,79546.11,65248.928,1239.1328,,5728.035,16024.111200000001,2662.1681,25600.,,,,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,435,,,51,261,,104,16,,,,,18,589,27,195,41,,,,,,,,,,,,,308,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106486,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-6 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,209270.64950000003,13904.687999999998,,74042.2149,,,,89078.58,76687.31,57288.799999999996,1316.5786,,6143.11,18768.982099999997,2618.526,19400.,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,374,,,50,185,,101,19,,,,,15,575,26,199,44,,,,,,,,,,,,,260,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106487,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-7 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,208756.471,14204.358,,75312.4173,,,,82937.91,78831.40999999999,52404.17599999999,1239.1328,,4731.855,18249.6822,2531.2418,29300.,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,405,,,43,183,,103,21,,,,,12,589,26,208,43,,,,,,,,,,,,,237,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106488,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-8 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,206886.731,13904.687999999998,,71925.2109,,,,88845.39,78045.24,61690.992,1316.5786,,6807.23,18620.610699999997,2924.0207,21400.,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,431,,,47,199,,105,20,,,,,20,626,29,209,45,,,,,,,,,,,,,332,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106489,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-11 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,208616.2405,13964.622,,73407.1137,,,,89000.84999999999,75686.73,59821.568,1316.5786,,6890.245,19510.839099999997,2574.8839,18100.,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,402,,,47,259,,102,22,,,,,21,571,26,202,46,,,,,,,,,,,,,305,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106490,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-12 [4868],BASANITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,198987.07950000002,14084.49,,71713.5105,,,,87135.33,82119.03,59339.136,1084.2412000000002,,5728.035,14317.8401,2531.2418,35300.,,,,5800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,455,,,46,234,,100,22,,,,,17,590,26,202,43,,,,,,,,,,,,,296,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106491,
[4868],SEAMOUNT,SELVAGEN ISLANDS / CONCEPTION / ATLANTIC OCEAN,,29.8225,29.8225,-12.6617,-12.6617,SUBAQUATIC,,,s DS822-13 [4868],"BASALT, ALKALINE [4868]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,210579.4675,13904.687999999998,,72613.2372,,,,89700.42,74757.62000000001,61389.471999999994,1394.0244,,7056.275,19436.6534,2487.5996999999998,17200.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,411,,,52,205,,104,20,,,,,21,559,26,197,44,,,,,,,,,,,,,308,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106496,
