Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-4 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,215674.50900000002,22415.316,,67161.9519,,23359.96,66225.95999999999,,74400.27,50112.624,1239.1328,,13614.46,20030.139,2574.8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,341,,,51,197,69,,,,,,,33.1,666,32.9,311,38.1,,,,,,,,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11480,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-6 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,213197.10350000003,22235.514,,66156.375,,25458.16,67469.64,,72327.64,54394.20799999999,1316.5786,,13365.415,20623.6246,2574.8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,358,,,56,220,70,,,,,,,30.9,691,27.4,306,36.4,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11482,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-102 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,213944.99950000003,21456.372,,64039.371,,22730.5,68713.31999999999,,71112.65,59700.96,1394.0244,,12369.235,18843.1678,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,435,,,58,266,66,,,,,,,30.8,656,28.2,298,35.7,,,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11488,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-103 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,212168.7465,20077.89,,60017.0634,,19793.02,73377.12,,67467.68,73088.44799999999,1316.5786,,12867.325,19510.839099999997,2269.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,547,,,68,384,63,,,,,,,27.9,630,25.4,278,32.7,,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11489,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-104 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,214318.9475,22235.514,,65944.67460000001,,22170.98,67625.09999999999,,74686.15,52404.17599999999,1316.5786,,13282.400000000001,20549.4389,2662.1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,351,,,54,208,70,,,,,,,30.6,696,28.4,307,37,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11490,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-110 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,209691.34100000001,19118.946,,56735.707200000004,,16505.84,78040.92,,64251.53,84124.07999999999,1394.0244,,11207.025000000001,17582.0109,2182.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,657,,,73,467,64,,,,,,,26.4,605,25,265,32.1,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11491,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-111 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,213804.76900000003,21636.174,,65838.8244,,23150.14,67314.18000000001,,71398.53,56203.328,1316.5786,,13365.415,19585.0248,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,392,,,54,247,68,,,,,,,31,662,27,301,36,,,,,,,,,,,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11492,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN,,-17.6,-17.6,-148.9,-148.9,SUBAQUATIC,,,s 3-114 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,212262.2335,20377.559999999998,,60863.865000000005,,19513.260000000002,73921.23,,66395.62999999999,71822.064,1316.5786,,12286.22,18323.8679,2313.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,525,,,67,368,63,,,,,,,29.3,618,24.4,280,33.2,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11494,
[562],SEAMOUNT,SOCIETY ISLANDS / TEAHITIA / PACIFIC OCEAN,,-17.49,-17.49,-148.84,-148.84,SUBAQUATIC,-2800,-2800,s 9DS-3 [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14,,15.61,,38.94,,,,,,,,,,,,,,,11503,
[562],SEAMOUNT,SOCIETY ISLANDS / MOUA PIHAA / PACIFIC OCEAN,,-18.3,-18.3,-148.7,-148.7,SUBAQUATIC,,,s 28-1CD [562],BASALT [562],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [562] ,210018.5455,21276.569999999996,,79493.5002,,44901.479999999996,41818.74,,80046.4,29790.176,1239.1328,,10127.83,25594.0665,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,162,,,46,83,133,,,,,,,26,621,38.2,324,45.1,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11530,
