Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/1 [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,298503.99100000004,4914.588,,83145.33210000001,,14827.28,34589.85,44383.83,36163.82,9467.728,2323.374,,7056.275,30861.2512,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608073,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/2 [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,304767.62000000005,4794.72,,80657.8524,,14477.579999999998,33890.280000000006,43528.799999999996,35163.24,9045.599999999999,1626.3618,,6641.200000000001,30490.3227,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608074,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/3 [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,305936.2075,4614.918,,79228.8747,,13988,32568.870000000003,41896.469999999994,34162.66,8502.864,1471.4702,,6558.185,29822.651399999995,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608075,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/3A [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,296447.27700000006,5034.455999999999,,83833.3584,,15246.920000000002,35600.340000000004,45705.24,37164.4,9708.944,2013.5908,,6807.23,31380.5511,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608076,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/3B [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,299906.29600000003,4854.654,,82986.5568,,14897.22,34745.31,44617.020000000004,35877.939999999995,9467.728,1548.9160000000002,,7222.305,31083.8083,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608077,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,FLANK,7.93,7.94,94.04,94.05,SUBAQUATIC,-511,-511,s 9/4 [16287],DACITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,301682.54900000006,4854.654,,83092.407,,14827.28,34589.85,44461.56,36163.82,9166.207999999999,1781.2534,,6890.245,31380.5511,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608078,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,WITHIN CRATER,7.93,7.94,94.04,94.05,SUBAQUATIC,-398,-398,s 10/1 [16287],RHYOLITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,332580.00250000006,2936.7659999999996,,77958.6723,,6994,16323.300000000001,20987.100000000002,23942.45,3678.544,1626.3618,,7056.275,33754.4935,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608079,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,WITHIN CRATER,7.93,7.94,94.04,94.05,SUBAQUATIC,-398,-398,s 10/2 [16287],RHYOLITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,323231.30250000005,2996.7,,79281.79980000001,,9791.599999999999,22852.62,29304.21,24800.09,4040.368,2478.2656,,6807.23,35238.2075,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608080,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,WITHIN CRATER,7.93,7.94,94.04,94.05,SUBAQUATIC,-398,-398,s 10/3 [16287],RHYOLITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,327111.01300000004,3356.304,,91772.1234,,1608.6200000000001,3808.77,4896.99,26801.25,1326.6879999999999,1936.145,,4399.795,38947.4925,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608081,
[16287],SEAMOUNT,SUNDA ARC / UNNAMED SEAMOUNT (SUNDA ARC) / INDIAN OCEAN,WITHIN CRATER,7.93,7.94,94.04,94.05,SUBAQUATIC,-398,-398,s 10/4 [16287],RHYOLITE [16287],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16287] ,328232.857,3056.634,,80552.0022,,7763.340000000001,18188.82,23396.73,24943.030000000002,4100.6720000000005,2555.7114,,6890.245,35386.57889999999,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608082,
