Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / GASCOYNE GUYOT / PACIFIC OCEAN,,-36.65,-36.65,156.23,156.23,SUBAQUATIC,,,s 65821 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,228341.99750000003,11027.856,,72983.7129,,,,80916.93000000001,62178.899999999994,68565.64799999999,1239.1328,,4482.81,21439.6673,1614.7576999999999,,,,,,,,,,,,,,,,5600.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,185,553,,,,314,,,,,,,,7,446,18,121,15,,,,,,,,,,,,,160,13.8,29.8,3.75,18.7,4.64,1.75,4.96,,4.07,,1.88,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33219,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / GASCOYNE GUYOT / PACIFIC OCEAN,,-36.65,-36.65,156.23,156.23,SUBAQUATIC,,,s 65809 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,227500.61450000003,14863.632,,76794.3201,,,,78040.92,57962.17,49147.76,1084.2412000000002,,9878.785,26113.3664,3185.8732999999997,,,,,,,,,,,,,,,,5900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,177,317,,,,254,,,,,,,,19,626,25,242,36,,,,,,,,,,,,,296,28,62,7.62,34,7.36,2.53,6.94,,5.1,,2.11,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33220,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / GASCOYNE GUYOT / PACIFIC OCEAN,,-36.65,-36.65,156.23,156.23,SUBAQUATIC,,,s 65808 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,232174.96450000003,11327.525999999998,,72295.6866,,,,77807.73,60320.67999999999,61027.647999999994,1161.687,,7056.275,21662.2244,2313.0313,,,,,,,,,,,,,,,,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,174,484,,,,301,,,,,,,,13,551,20,149,17,,,,,,,,,,,,,207,16.2,36.6,4.55,22,5.01,1.92,5.19,,4.08,,1.85,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33221,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / GASCOYNE GUYOT / PACIFIC OCEAN,,-36.65,-36.65,156.23,156.23,SUBAQUATIC,,,s 65811 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,234886.08750000002,10308.648,,71237.18460000001,,,,76019.93999999999,59034.22,60786.43199999999,1161.687,,6226.125,20549.4389,1309.263,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,167,503,,,,274,,,,,,,,12,442,19,119,12,,,,,,,,,,,,,143,11,25.7,3.4,16.4,3.88,1.84,3.99,,3.67,,1.93,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33222,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / DERWENT HUNTER / PACIFIC OCEAN,,-30.93,-30.93,156.23,156.23,SUBAQUATIC,,,s 65828 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,235213.29200000002,10788.119999999999,,70390.383,,,,73532.58,66252.69,54213.295999999995,1161.687,,4731.855,21068.7388,1221.9788,,,,,,,,,,,,,,,,22100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,179,559,,,,322,,,,,,,,10,416,22,125,13,,,,,,,,,,,,,103,11.1,26.3,3.45,17.2,4.62,1.69,5.22,,4.31,,2.01,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33224,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / DERWENT HUNTER / PACIFIC OCEAN,,-30.93,-30.93,156.23,156.23,SUBAQUATIC,,,s 65835 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,223106.7255,20737.163999999997,,80181.5265,,,,78740.49,66824.45,29368.048,1006.7954,,9546.724999999999,24332.9096,7157.3044,,,,,,,,,,,,,,,,18400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,266,49,,,,59,,,,,,,,33,609,37,282,39,,,,,,,,,,,,,340,32.6,71.8,9.32,41.8,9.64,3.41,9.65,,7.46,,3.75,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33225,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / DERWENT HUNTER / PACIFIC OCEAN,,-30.93,-30.93,156.23,156.23,SUBAQUATIC,,,s 65836 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,231660.78600000002,21995.778,,84680.16,,,,70190.18999999999,58105.11000000001,21769.744,929.3496,,19093.449999999997,30935.436899999997,3796.8627,,,,,,,,,,,,,,,,18700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,249,20,,,,34,,,,,,,,20,711,38,346,41,,,,,,,,,,,,,602,38,91.8,11.6,50.7,10.5,3.4,9.77,,7.56,,3.74,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33226,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / TAUPO / PACIFIC OCEAN,,-32.98,-32.98,156.23,156.23,SUBAQUATIC,-500,-750,s 65839 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,234091.448,18219.935999999998,,79281.79980000001,,,,83715.20999999999,54388.670000000006,29187.136,1161.687,,10210.845,29303.3515,2574.8839,,,,,,,,,,,,,,,,12200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,168,83,,,,76,,,,,,,,20,538,30,236,30,,,,,,,,,,,,,249,30.2,51.1,7.36,32.3,8.2,2.84,8.66,,6.45,,2.71,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33227,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / BRITANNIA / PACIFIC OCEAN,,-28.63,-28.63,155.45,155.45,SUBAQUATIC,-1100,-1400,s 68644 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,240635.538,7851.354,,73565.88900000001,,,,79984.17,58962.75,55841.50399999999,1084.2412000000002,,3652.66,20771.996,1352.9051,,,,,,,,,,,,,,,,3900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,172,499,,,,302,,,,,,,,8,293,19,97,8,,,,,,,,,,,,,122,8.22,20,2.71,12.4,3.54,1.48,4.03,,3.83,,2.21,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33229,
[984],SEAMOUNT,TASMANTID SEAMOUNTS / GASCOYNE GUYOT / DREDGE FR3/85 G-6 / PACIFIC OCEAN,NORTHERN FLANK,-36.65,-36.65,156.23,156.23,SUBAQUATIC,-600,-900,s 85-170 [984],BASALT [984],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [984] ,240214.8465,13605.018,,72719.0874,,,,77108.16,56389.829999999994,45047.087999999996,1006.7954,,9795.769999999999,23442.6812,2313.0313,,,,,,,,,,,,,,,,6800.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,179,361,,,,247,,,,,,,,18,585,24,201,29,,,,,,,,,,,,,255,21.8,47,6.3,28.4,6.34,2.33,5.97,,4.7,,2.01,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6831-85-170,
