Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / HOWLAND / PACIFIC OCEAN,,0.84,0.84,-176.75,-176.75,SUBAQUATIC,,,s HOW-3 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512965,,,0.703086,,20.773,,15.641,,40.563,,,,,,,,0.282956,,,,,,,383141,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / HOWLAND / PACIFIC OCEAN,,0.97,0.97,-176.57,-176.57,SUBAQUATIC,,,s HOW-7 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512976,,,0.703021,,19.978,,15.594,,39.66,,,,,,,,0.28294,,,,,,,383142,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / HOWLAND / PACIFIC OCEAN,,0.67,0.67,-176.54,-176.54,SUBAQUATIC,,,s HOW-9 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,268494.664,13425.216,,96694.1577,,,,31636.11,53173.68,16161.472,542.1206000000001,,22746.11,30119.394199999995,1745.6840000000002,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.59,,,,,,,,,,,,,0.512909,,,0.703083,,19.86,,15.581,,39.399,,,,,,,,0.282939,,,,,,,383143,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / LELEI / PACIFIC OCEAN,,-1.07,-1.07,-176.19,-176.19,SUBAQUATIC,,,s LEL-2 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,266064.00200000004,13485.15,,100240.13940000001,,,,35289.42,51744.28,16282.08,851.9038,,15357.775000000001,24407.0953,2007.5366000000001,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,9.84,,,,,,,,,,,,,0.512948,,,0.70295,,19.79,,15.581,,39.555,,,,,,,,0.282983,,,,,,,383144,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / SIAPO / PACIFIC OCEAN,,-2.6,-2.6,-175.42,-175.42,SUBAQUATIC,,,s SIA-2 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51301,,,0.702931,,19.909,,15.574,,39.563,,,,,,,,0.282992,,,,,,,383145,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / SIAPO / PACIFIC OCEAN,,-2.57,-2.57,-175.43,-175.43,SUBAQUATIC,,,s SIA-6 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513047,,,0.702909,,19.952,,15.592,,39.622,,,,,,,,0.283001,,,,,,,383146,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / POLO / PACIFIC OCEAN,,-2.78,-2.78,-175.15,-175.15,SUBAQUATIC,,,s POL-2 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512988,,,0.702912,,19.39,,15.554,,39.191,,,,,,,,0.283055,,,,,,,383147,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / POLO / PACIFIC OCEAN,,-2.78,-2.78,-175.15,-175.15,SUBAQUATIC,,,s POL-3 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512857,,,0.702904,,19.418,,15.557,,39.255,,,,,,,,0.283038,,,,,,,383148,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / POLO / PACIFIC OCEAN,,-2.78,-2.78,-175.15,-175.15,SUBAQUATIC,,,s POL-3 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.418,,15.558,,39.255,,,,,,,,0.283037,,,,,,,383149,
[12822],SEAMOUNT,TOKELAU SEAMOUNTS / TAI / PACIFIC OCEAN,,-3.84,-3.84,-173.41,-173.41,SUBAQUATIC,,,s TAI-1 [12822],"BASALT, ALKALINE [12822]",59000000 [12822],72000000 [12822],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,210158.776,28768.319999999996,,60281.68890000001,,,,92420.97,103131.20999999999,45348.60799999999,929.3496,,4482.81,3041.6137,2356.6734,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283093,,,,,,,383150,
