Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13310][5455],SEAMOUNT,TONGA ARC / UNNAMED SEAMOUNT (TONGA ARC) / PACIFIC OCEAN,,-21,-24,-176,-176.5,SUBAQUATIC,-1500,-1500,s 48/114KD [13310] / s SO48/114KD [5455],BASALT [13310],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [13310] ,237971.1585,3476.1719999999996,,,,,,,,,,,2324.42,,,,,,,,,,790.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12187-SO48/114KD,
[3678][3360],SEAMOUNT,TONGA ARC / ROCHAMBEAU BANK / DREDGE PPTU 23 / PACIFIC OCEAN,RELAY ZONE,-15.17,-15.17,-176.7,-176.7,SUBAQUATIC,,,s PPTU23-2 [3678],BASALT [3678] / THOLEIITE [3360],,,,,,,,APHYRIC [3678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3678] / VOLCANIC GLASS [3360] ,228482.22800000003,11327.525999999998,,79070.0994,,,,88223.55,84263.12999999999,39981.551999999996,1471.4702,,2158.39,22997.567,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,238,,,47,115,,,,,,,,5.47,211,41,127,,,,,,,,,,,,,,50,,,,13.68,4.13,,,,,,,,,,3.27,0.375,,,,,,,,,,,,,0.513049,,,0.703338,,,,,,,,,,,,,,,,,,,,,12599-PPTU 23-2,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 9DR / PACIFIC OCEAN,,-25.894,-25.894,-177.2,-177.2,SUBAQUATIC,-750,-750,s 9DR-4 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,231847.76000000004,3116.5679999999998,,89760.96960000001,,,,75864.48,93768.64,41850.976,1471.4702,,1577.285,12314.8262,218.21050000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,55,,,47.7,12,140,67,,,,,,2.61,184,10.7,28,0.21,0.29,,,,,,,5.09,0.02,,,0.11,54.6,1.12,3.04,0.55,2.97,1.08,0.47,1.53,0.29,1.97,0.43,1.32,0.19,1.27,0.19,0.68,0.03,0.04,,,,,,,0.01,0.86,,0.11,0.06,0.513016,,,0.703473,,18.735,,15.57,,38.347,,,,,,,,,,,,,,,138679,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 12DR / PACIFIC OCEAN,,-25.837,-25.837,-177.19,-177.19,SUBAQUATIC,-690,-690,s 12DR-2 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,233717.50000000003,4554.9839999999995,,74941.9416,,,,92110.05,82476.37999999999,38896.08,1781.2534,,1909.345,15133.8828,960.1262,,,,,,,400.,600.,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,,21.4,,,43.8,26.8,138,75.5,,,,,,2.62,198,13.1,22.5,0.21,0.61,,,,,,,,,,,0.12,63.5,1.27,3.79,0.66,3.63,1.37,0.56,1.8,0.34,2.31,0.5,1.46,0.21,1.43,0.21,0.78,0.02,,,,,,,,,1.05,,0.13,0.16,0.513026,,,0.703486,,18.692,,15.561,,38.306,,,,,,,,,,,,,,,138680,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN,,-25.877,-25.877,-177.187,-177.187,SUBAQUATIC,-440,-440,s 13DR-1 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,240729.02500000002,4135.445999999999,,73777.5894,,,,98172.99,85335.18,38172.432,2168.4824000000003,,2324.42,13946.9116,872.8420000000001,,,,,,,400.,600.,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,34.7,,,42,21.4,132,59.6,,,,,,3.12,190,11.7,19.9,0.17,0.3,,,,,,,,,,,0.13,63.4,1.35,3.71,0.66,3.62,1.33,0.54,1.8,0.33,2.23,0.49,1.4,0.21,1.37,0.21,0.73,,,,,,,,,,0.94,,0.13,0.09,0.513016,,,0.703479,,18.737,,15.578,,38.386,,,,,,,,,,,,,,,138681,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN,,-25.877,-25.877,-177.187,-177.187,SUBAQUATIC,-440,-440,s 13DR-3 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,233717.50000000003,3356.304,,84362.6094,,,,80528.28,96627.44,43177.664,1471.4702,,1660.3000000000002,12908.3118,261.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,48,,,24.3,13.9,72.2,42.3,,,,,,2.27,114,9.56,15,0.08,,,,,,,,,,,,0.09,34.7,0.88,2.33,0.42,2.2,0.83,0.36,1.19,0.23,1.59,0.35,1.1,0.16,1.07,0.17,0.57,0.01,,,,,,,,,0.54,,0.12,0.04,0.513034,,,0.703469,,18.711,,15.544,,38.277,,,,,,,,,,,,,,,138682,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 14DR / PACIFIC OCEAN,,-25.888,-25.888,-177.185,-177.185,SUBAQUATIC,-150,-150,s 14DR-5 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6185] ,235587.24000000002,3655.9739999999997,,82139.7552,,,,84803.43000000001,89909.26,41247.935999999994,1626.3618,,1743.3149999999998,11647.1549,218.21050000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,36,,,43.7,24,135,81,,,,,,3.04,194,12.7,23.5,0.4,0.35,,,,,,,2.55,0.03,,,0.13,61.7,1.31,3.63,0.66,3.64,1.4,0.56,1.91,0.34,2.36,0.52,1.49,0.22,1.47,0.22,0.8,0.03,0.06,,,,,,,0.02,1.01,,0.13,0.07,0.513011,,,0.703473,,18.738,,15.574,,38.371,,,,,,,,,,,,,,,138683,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 9DR / PACIFIC OCEAN,,-25.894,-25.894,-177.2,-177.2,SUBAQUATIC,-750,-750,s 9DR-4 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.724,,15.559,,38.319,,,,,,,,,,,,,,,138733,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN,,-25.877,-25.877,-177.187,-177.187,SUBAQUATIC,-440,-440,s 13DR-1 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.716,,15.553,,38.31,,,,,,,,,,,,,,,138734,
[6185],SEAMOUNT,TONGA ARC / MONOWAI / DREDGE 14DR / PACIFIC OCEAN,,-25.888,-25.888,-177.185,-177.185,SUBAQUATIC,-150,-150,s 14DR-5 [6185],BASALT [6185],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6185] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,,15.566,,38.343,,,,,,,,,,,,,,,138735,
