Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3348][15508],SEAMOUNT,TORE-MADEIRA RISE / AMPERE / ATLANTIC OCEAN,,35.0533,35.0533,-12.9,-12.9,SUBAQUATIC,,,s DS797-1B [3348],HAWAIITE [3348] / NOT GIVEN [15508],31200000 [15508],31200000 [15508],,OLIGOCENE [15508],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3348] ,222779.521,26730.564,,80763.7026,,,,73454.84999999999,66109.75,25749.807999999997,774.4580000000001,,14361.595,24703.8381,3753.2206,18600.,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512969,,,0.703005,,19.655,,15.59,,39.397,,,,,,,,0.282998,,,,,,,10773-DS797-1B,
[3348][15508],SEAMOUNT,TORE-MADEIRA RISE / AMPERE / ATLANTIC OCEAN,,35.0503,35.0503,-12.9006,-12.9006,SUBAQUATIC,,,s VH-97-103 [3348],HAWAIITE [3348] / NOT GIVEN [15508],31000000 [15508],31000000 [15508],,OLIGOCENE [15508],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3348] ,223854.6215,26311.025999999998,,96588.30750000001,,,,70578.84,45597.86,13206.576,387.22900000000004,,14444.61,30712.879799999995,3884.1469,26900.,,,,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,926,25.5,374,71.7,,,,,,,,,,,,1.61,403,50.8,107,13.4,53.6,112,3.47,9.07,1.23,6.49,1.13,2.76,0.36,2.22,0.3,10,4.56,,,,,,,,0.06,2.1,,5.29,2.16,0.512991,,,0.702972,,19.614,,15.601,,39.419,,,,,,,,0.282999,,,,,,,10774-VH-97-103,
[8659],SEAMOUNT,TORE-MADEIRA RISE / UNICORN / ATLANTIC OCEAN,,34.7902,34.7902,-14.588,-14.588,SUBAQUATIC,-1352,-1352,s 423DR-2 [8659],NEPHELINITE [8659],27000000 [8659],27000000 [8659],,,,,,OLIVINE-PHYRIC [8659] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8659] ,166780.80800000002,23254.391999999996,,58482.23550000001,,,,110298.87,109063.22,56746.064,1626.3618,,5146.93,14688.7686,9252.1252,25800.,,,,4400.,,,,,,,,,,,30200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,329,361,,,62,156,62.7,152,21.2,,,,,9.76,783,42.5,439,121,,,,,,,,,,,,0.1,237,128,237,27.9,111,19.4,5.69,15.9,1.94,10.3,1.61,3.56,0.41,2.33,0.31,10.8,6.8,,,,,,,,,4.27,,12.1,1.86,0.512956,,,0.703062,,19.304,,15.529,,39.324,,,,,,,,,,,,,,,229133,
[8659],SEAMOUNT,TORE-MADEIRA RISE / SEINE / ATLANTIC OCEAN,,33.8678,33.8678,-14.369,-14.369,SUBAQUATIC,-1300,-1300,s 426DR-3 [8659],BASANITE [8659],22000000 [8659],22000000 [8659],,,,,,OLIVINE-PHYRIC [8659] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8659] ,192349.5025,18579.54,,64145.2212,,,,95996.55,84406.07,62535.24799999999,1626.3618,,12701.295,23368.495499999997,5848.0414,7800.,,,,300.,,,,,,,,,,,8100.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,383,,,52,191,,,,,,,,,1249,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51288,,,0.70349,,19.762,,15.561,,40.279,,,,,,,,,,,,,,,229136,
[9668],SEAMOUNT,TORE-MADEIRA RISE / TORE / ATLANTIC OCEAN,,39.6943,39.6943,-13.6943,-13.6943,SUBAQUATIC,-3350,-4930,s TMD3B-2 [9668],TRACHYTE [9668],,,,CRETACEOUS [9668],,,,"ALMOST APHYRIC, MICROVESICULAR, MICROLITIC FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,289809.7,2277.4919999999997,,99234.5625,,,,19976.609999999997,17367.210000000003,2291.5519999999997,1781.2534,,38186.899999999994,50075.347499999996,349.1368,,,,,,,,,,,,,,,,10700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5.5,,,1.5,11,,,,,,,,76,692,11,355,81,,,,,,,,,,,,,1200,97,213,,40,5.1,1.55,3.1,,2.1,,1.1,,1.09,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,296513,
[9668],SEAMOUNT,TORE-MADEIRA RISE / TORE / ATLANTIC OCEAN,,39.7555,39.7555,-12.3893,-12.3893,SUBAQUATIC,-4589,-5007,s TMD10C-1 [9668],TRACHYANDESITE [9668],,,,CRETACEOUS [9668],,,,"SLIGHTLY PORPHYRITIC, MICRO-VESICULAR, MICROLITIC-FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,271953.683,4195.379999999999,,103944.89640000001,,,,27594.149999999998,19225.43,3557.9359999999997,1703.8076,,34036.149999999994,45846.762599999995,829.1999000000001,,,,,,,,,,,,,,,,35400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,1.2,24.6,,,,,,,,60.7,862,22.5,387,114,,,,,,,,,,,,,987,59,186,,50.1,8.09,2.94,6.2,,4.68,,2.06,,1.69,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,296514,
[9668],SEAMOUNT,TORE-MADEIRA RISE / TORE / ATLANTIC OCEAN,,39.7555,39.7555,-12.3893,-12.3893,SUBAQUATIC,-4589,-5007,s TMD10C-2 [9668],TRACHYANDESITE [9668],,,,CRETACEOUS [9668],,,,"SLIGHTLY PORPHYRITIC, MICRO-VESICULAR, MICROLITIC-FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,273215.7575,4255.313999999999,,102145.44300000001,,,,27050.04,18939.55,3497.6319999999996,2245.9282,,31960.775,45995.134,480.0631,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,1,37,,,,,,,,43.5,835,12.8,502,122,,,,,,,,,,,,,1025,39,190,,30.5,5.15,2.12,3.85,,2.85,,1.3,,1.14,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,296515,
[9668],SEAMOUNT,TORE-MADEIRA RISE / SPONGE BOB / ATLANTIC OCEAN,,38.4583,38.4583,-12.9,-12.9,SUBAQUATIC,-3243,-3811,s TMD4-3 [9668],TRACHYTE [9668],,,,CRETACEOUS [9668],,,,"SLIGHTLY PORPHYRITIC, MICROLITIC-FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,294390.563,2097.6899999999996,,95582.7306,,,,16323.300000000001,2787.33,1869.424,774.4580000000001,,46405.385,49036.7477,392.77889999999996,,,,,,,,,,,,,,,,30700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,0.4,,,,,,,,,211,26,86.8,1007,173,,,,,,,,,,,,,14.3,187,283,,106,16.2,3.3,12.8,,13.8,,9.52,,16.6,,,,,,,,,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,296516,
[9668],SEAMOUNT,TORE-MADEIRA RISE / SPONGE BOB / ATLANTIC OCEAN,,38.4583,38.4583,-12.9,-12.9,SUBAQUATIC,-3243,-3811,s TMD4-8 [9668],TRACHYTE [9668],,,,CRETACEOUS [9668],,,,"PORPHYRITIC, MICROLITIC-FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,296353.79000000004,2876.832,,98440.68600000002,,,,14768.699999999999,2501.45,1266.3839999999998,464.6748,,56865.274999999994,47849.7765,261.8526,,,,,,,,,,,,,,,,12900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,,,0.8,2.5,,,,,,,,185,63,57,1235,261,,,,,,,,,,,,,240,180,290,,72,9.6,2.18,8.5,,8.2,,5.8,,6.4,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,296517,
[9668],SEAMOUNT,TORE-MADEIRA RISE / ASHTON / ATLANTIC OCEAN,,38.0257,38.0257,-13.3777,-13.3777,SUBAQUATIC,,,s TMD14-9 [9668],TRACHYTE [9668],,,,CRETACEOUS [9668],,,,"HIGHLY PORPHYRITIC, MICROLITIC-FLUIDAL [9668] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [9668] ,281629.5875,3596.0399999999995,,94418.3784,,,,17722.44,26158.02,2472.4639999999995,851.9038,,49061.865,45253.276999999995,2313.0313,,,,,,,,,,,,,,,,19900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,1.6,5.5,,,,,,,,105,377,31.2,637,129,,,,,,,,,,,,,643,110,182,,68.1,11,2.76,7.16,,6.84,,3.11,,3.64,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,296518,
