Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12822][12924],SEAMOUNT,WAKE SEAMOUNT GROUP / MALONEY GUYOT / PACIFIC OCEAN,,21.05,21.05,157.15,157.15,SUBAQUATIC,-2500,-2500,s MAL-2-L [12822] / s TUNES 6 23-8 (MAL-2) [12924],"BASALT, ALKALINE [12822] / ANKARAMITE [12924]",,,,CRETACEOUS [12822] / MESOZOIC [12924],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12822] ,239093.0025,15223.235999999999,,53507.2761,,50007.100000000006,,69646.08,104989.43,49931.71199999999,1084.2412000000002,,6558.185,13205.0546,610.9894,,,,,,,,,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,506,,,34.4,53,,43,,,,,,15,314,13.9,137,58.8,4.3,,,,,,,4,3.74,,,1.03,,8.8,20.5,2.6,11.7,2.9,1.11,9.62,1.7,8.29,1.75,4.5,0.6,0.05,0.15,3.73,4.13,0.7,,,,,,,0.16,7,,0.0014,0.525,0.512843,,,0.703245,,20.595,,15.689,,39.906,,,,,,,,,,,,,,,12481-TUNES 6 23-8 (MAL-2),
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / HIMU / DREDGE RC26 D3 / PACIFIC OCEAN,,21.47,21.47,151.78,151.78,SUBAQUATIC,-3400,-4520,s RC263-1 [449],HAWAIITE [449],120200000 [449],120000000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512894,,,0.702949,,20.574,,15.764,,39.728,,,,,,,,,,,,,,,33239,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / HIMU / DREDGE RC26 D3 / PACIFIC OCEAN,,21.47,21.47,151.78,151.78,SUBAQUATIC,-3400,-4520,s RC263-7 [449],HAWAIITE [449],120000000 [449],120000000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702905,,20.481,,15.713,,40.248,,,,,,,,,,,,,,,33240,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / GOLDEN DRAGON / PACIFIC OCEAN,,21.35,21.35,153.33,153.33,SUBAQUATIC,-3835,-3835,s V33-76-1 [449],ANKARAMITE [449],99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512961,,,0.702984,,20.37,,15.694,,39.912,,,,,,,,,,,,,,,33250,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / GOLDEN DRAGON / PACIFIC OCEAN,,21.35,21.35,153.33,153.33,SUBAQUATIC,-3835,-3835,s V33-76-3 [449],"BASALT, ALKALINE, OLIVINE [449]",99400000 [449],99400000 [449],,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,0.70361,,20.384,,15.679,,40.286,,,,,,,,,,,,,,,33251,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / WILDE GUYOT / PACIFIC OCEAN,,21.17,21.17,163.15,163.15,SUBAQUATIC,-1386,-1386,s AV20-1 [449],PICRITE [449],,,,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512701,,,0.705343,,18.799,,15.582,,38.66,,,,,,,,,,,,,,,33261,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / MIAMI GUYOT / PACIFIC OCEAN,,21.68,21.68,161.87,161.87,SUBAQUATIC,-1535,-1535,s AV21-2 [449],"BASALT, ALKALINE [449]",,,,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512995,,,0.703077,,19.51,,15.547,,39.351,,,,,,,,,,,,,,,33262,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / LAMONT GUYOT / PACIFIC OCEAN,,21.48,21.48,159.53,159.53,SUBAQUATIC,-1215,-1215,s AV23-1 [449],"BASALT, ALKALINE [449]",,,,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512951,,,0.702916,,19.147,,15.533,,38.947,,,,,,,,,,,,,,,33263,
[449],SEAMOUNT,WAKE SEAMOUNT GROUP / SCRIPPS GUYOT / PACIFIC OCEAN,,23.7,23.7,159.55,159.55,SUBAQUATIC,-2595,-3200,s AV25-2 [449],"BASALT, ALKALINE [449]",,,,CRETACEOUS [449],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [449] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512966,,,0.702689,,20.173,,15.631,,39.931,,,,,,,,,,,,,,,33264,
[1997],SEAMOUNT,WAKE SEAMOUNT GROUP / HIMU / DREDGE RC26 D3 / PACIFIC OCEAN,,21.47,21.47,151.78,151.78,SUBAQUATIC,-3400,-4520,s RC263-1 [1997],HAWAIITE [1997],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512894,,,0.702949,,20.574,,15.764,,39.728,,,,,,,,,,,,,,,36291,
