Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4562],SEAMOUNT,HONSHU ARC / MEIYO / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,,39.6,39.6,137.719,137.719,SUBAQUATIC,-1435,-1435,s MESA [4562],"ANDESITE, AUGITE [4562]",,,,,,,,HYALOPILITIC [4562] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [4562] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,,,,,,,,,,,,,,,,,,,,,127846,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,STEEP SLOPE OF EASTERN PART OF YAMATO SEAMOUNT,38.895,38.91,136.013,136.023,SUBAQUATIC,-1510,-1600,"s D-5A,016 [4175]",TRACHYANDESITE [4175],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4175] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70359,,,,,,,,,,,,,,,,,,,,,303180,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,WESTERN FLANK OF EASTERN PART OF YAMATO SEAMOUNT,38.908,38.913,135.968,135.972,SUBAQUATIC,-910,-1220,"s D-5B,009 [4175]",TRACHYANDESITE [4175],,,,,,,,,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [4175] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7036,,,,,,,,,,,,,,,,,,,,,303182,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / MEIYO-DAISAN / DREDGE D-8 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,SLOPE OF WESTERN FLANK OF MEIYO-DAISAN SEAMOUNT,40.168,40.173,139.912,139.917,SUBAQUATIC,-2190,-2260,"s D-9,001 I [4175]",LIGNITE [4175],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4175] ,202866.79,8690.429999999998,,109184.4813,,5385.38,3264.66,,4216.73,2713.68,0.,,10459.89,6825.0844,785.5577999999999,,,,,,,,,,,,,,,,297200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303188,
[4175],SEAMOUNT,YAMATO SEAMOUNT CHAIN / MEIYO-DAISAN / DREDGE D-8 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,SLOPE OF WESTERN FLANK OF MEIYO-DAISAN SEAMOUNT,40.168,40.173,139.912,139.917,SUBAQUATIC,-2190,-2260,"s D-9,001 R [4175]",LIGNITE [4175],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4175] ,25288.233500000002,4614.918,,13495.9005,,14897.22,1632.33,,3930.8500000000004,844.2560000000001,0.,,1079.195,964.4141,567.3473,,,,,,,,,,,,,,,,876600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303189,
[10855],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,STEEP SLOPE OF EASTERN PART OF YAMATO SEAMOUNT,38.895,38.91,136.013,136.023,SUBAQUATIC,-1510,-1600,"s D-5A,043 [10855]",TRACHYANDESITE [10855],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [10855] ,276721.52,,,,,,,,,,,,,,,,18000.,5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396442,
[10855],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,STEEP SLOPE OF EASTERN PART OF YAMATO SEAMOUNT,38.895,38.91,136.013,136.023,SUBAQUATIC,-1510,-1600,"s D-5A,044 [10855]",TRACHYANDESITE [10855],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [10855] ,267840.255,,,,,,,,,,,,,,,,32000.,12000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396443,
[10855],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,STEEP SLOPE OF EASTERN PART OF YAMATO SEAMOUNT,38.895,38.91,136.013,136.023,SUBAQUATIC,-1510,-1600,"s D-5A,048 [10855]",TRACHYANDESITE [10855],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [10855] ,291679.44,,,,,,,,,,,,,,,,17000.,14000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396444,
[10855],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,WESTERN FLANK OF EASTERN PART OF YAMATO SEAMOUNT,38.908,38.913,135.968,135.972,SUBAQUATIC,-910,-1220,"s D-5B,034 [10855]",TRACHYANDESITE [10855],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [10855] ,274384.34500000003,,,,,,,,,,,,,,,,32000.,12000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396445,
[10855],SEAMOUNT,YAMATO SEAMOUNT CHAIN / YAMATO / DREDGE D-5 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN,WESTERN FLANK OF EASTERN PART OF YAMATO SEAMOUNT,38.908,38.913,135.968,135.972,SUBAQUATIC,-910,-1220,"s D-5B,038 [10855]",TRACHYANDESITE [10855],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [10855] ,285135.35000000003,,,,,,,,,,,,,,,,15000.,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396446,
