Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1590],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 713 / INDIAN OCEAN,HOLE 713A,-4.193,-4.193,73.3942,73.3942,SUBAQUATIC,-2920.3,-2920.3,"s 115-713A-13R-1,22-27 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512974,,,0.70368,,,,,,,,,,,,,,,,,,,,,34149,
[1590],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 713 / INDIAN OCEAN,HOLE 713A,-4.193,-4.193,73.3942,73.3942,SUBAQUATIC,-2920.3,-2920.3,"s 115-713A-19R-2,2-4 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512965,,,0.70383,,18.62,,15.565,,38.64,,,,,,,,,,,,,,,34150,
[1590],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 713 / INDIAN OCEAN,HOLE 713A,-4.193,-4.193,73.3942,73.3942,SUBAQUATIC,-2920.3,-2920.3,"s 115-713A-21R-1,2-5 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512975,,,0.70376,,18.596,,15.572,,38.649,,,,,,,,,,,,,,,34151,
[1590],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715A,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715A-26R-1,57-60 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512988,,,0.70351,,18.534,,15.547,,38.552,,,,,,,,,,,,,,,34152,
[1590],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715A,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715A-29R-1,5-8 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7033,,18.457,,15.539,,38.223,,,,,,,,,,,,,,,34153,
[1589],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715C,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715C-25R-3,25-34 [1589]",BASALT [1589],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1589] ,226659.23150000002,5873.531999999999,,80552.0022,,,,83015.64,76687.31,71882.368,1394.0244,,1494.27,11202.0407,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34160,
[1589],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715C,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715C-25R-6,38-42 [1589]",BASALT [1589],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1589] ,227079.923,5933.465999999999,,79863.9759,,,,83326.56000000001,83834.31,66635.92,1394.0244,,2158.39,11795.5263,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34161,
[1589],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715C,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715C-30R-6,0-9 [1589]",BASALT [1589],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1589] ,226705.975,7012.277999999999,,83462.8827,,,,82782.45,76258.49,66334.4,1239.1328,,2158.39,12611.569,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34162,
[1589],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 715 / INDIAN OCEAN,HOLE 715A,5.0815,5.0815,73.8313,73.8313,SUBAQUATIC,-2272.8,-2272.8,"s 115-715A-29R-1,37-38 [1589]",BASALT [1589],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1589] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513017,,,0.703784,,,,,,,,,,,,,,,,,,,,,34163,
[1589],SUBMARINE RIDGE,CHAGOS-LACCADIVE RIDGE / CHAGOS-LACCADIVE RIDGE / SITE 713 / INDIAN OCEAN,HOLE 713A,-4.193,-4.193,73.3942,73.3942,SUBAQUATIC,-2920.3,-2920.3,"s 115-713A-13R-3,16-20 [1589]",BASALT [1589],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1589] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512967,,,0.703927,,,,,,,,,,,,,,,,,,,,,34168,
