Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 1 / PACIFIC OCEAN,,17.1017,17.1017,-168.3467,-168.3467,SUBAQUATIC,-1800,-2255,s F7-89-D1-1 [6181],BENMOREITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,265035.645,14384.159999999998,,108496.455,,,,26350.47,39451.439999999995,2593.0719999999997,154.8916,,37439.765,36573.55009999999,5542.5467,,,,,,,,,,,,,,,,9300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,70.1,840,48,391,110,,,,,,,,,,,,,937,69.5,136,,50.1,11,3.55,10.5,1.33,,,,,3.18,0.44,8.8,7.8,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,140200,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 1 / PACIFIC OCEAN,,17.1017,17.1017,-168.3467,-168.3467,SUBAQUATIC,-1800,-2255,s F7-89-D1-4 [6181],BENMOREITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,232315.19500000004,14563.962,,86797.16399999999,,,,81150.12,56175.420000000006,32745.071999999996,1239.1328,,18014.255,26410.1092,3142.2311999999997,,,,,,,,,,,,,,,,34700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,46.1,736,30,231,62,,,,,,,,,,,,,890,41.8,78.9,,36,8.31,2.58,7.57,0.95,,,,,2.16,0.3,5.2,4.4,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,140201,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 6 / PACIFIC OCEAN,,16.9867,16.9867,-168.5783,-168.5783,SUBAQUATIC,-1830,-2300,s F7-89-D6-1 [6181],HAWAIITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,242131.33000000002,10848.054,,96323.682,,,,84647.97,45740.8,10854.72,3639.9525999999996,,15025.715,30638.694099999997,6633.599200000001,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,17.5,516,42,603,80,,,,,,,,,,,,,431,39.6,138,,51.9,12.7,4.19,12.5,1.63,,,,,3.07,0.4,14.6,6.4,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,140202,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 6 / PACIFIC OCEAN,,16.9867,16.9867,-168.5783,-168.5783,SUBAQUATIC,-1830,-2300,s F7-89-D6-2 [6181],"BASALT, THOLEIITIC [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,223901.36500000002,17860.332,,106379.45100000002,,,,67780.56000000001,86478.7,19236.976,929.3496,,8052.455,19065.724899999997,1832.9682,,,,,,,,,,,,,,,,27400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,20.4,532,22,178,32,,,,,,,,,,,,,247,21.9,44.4,,24.2,5.89,1.93,5.69,0.79,,,,,1.76,0.24,4.1,2.2,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,140203,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 9 / PACIFIC OCEAN,,16.9667,16.9667,-168.5667,-168.5667,SUBAQUATIC,-2100,-3050,s F7-89-D9-1 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,225771.105,24752.742,,76741.395,,,,97939.8,64537.409999999996,24543.728,1239.1328,,14112.55,22552.4528,4669.7047,,,,,,,,,,,,,,,,59500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,27.3,377,44,268,50,,,,,,,,,,,,,320,39.8,71.7,,37.7,9.21,2.9,9.01,1.34,,,,,3.73,0.54,6.41,3.8,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,140204,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 11 / PACIFIC OCEAN,,17.1417,17.1417,-168.32,-168.32,SUBAQUATIC,-2240,-2530,s F7-89-D11-1 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,232782.63,25112.346,,79916.901,,,,84647.97,65680.93,20382.751999999997,1006.7954,,14444.61,25445.6951,4058.7153000000003,,,,,,,,,,,,,,,,22799.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,,,23.1,459,52,308,60,,,,,,,,,,,,,274,38.6,81.3,,44.6,10.7,3.52,10.9,1.53,,,,,3.34,0.43,7.36,3.9,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,140205,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 12 / PACIFIC OCEAN,,17.12,17.12,-168.3117,-168.3117,SUBAQUATIC,-2110,-2550,s F7-89-D12-1 [6181],"BASALT, THOLEIITIC [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,228575.71500000003,15822.576,,88914.168,,,,77652.27,82190.5,28403.183999999997,1006.7954,,9546.724999999999,20178.5104,1440.1893,,,,,,,,,,,,,,,,22400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,,,,,,,,,,,,16.8,382,26,150,28,,,,,,,,,,,,,504,21.6,42.7,,21.8,6.12,1.99,6.18,0.9,,,,,2.39,0.34,4.51,1.9,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,140206,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 12 / PACIFIC OCEAN,,17.12,17.12,-168.3117,-168.3117,SUBAQUATIC,-2110,-2550,s F7-89-D12-4 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,227173.41000000003,26550.761999999995,,81504.65400000001,,,,82549.26,70397.95,22553.696,929.3496,,14859.685,23591.0526,4713.3468,,,,,,,,,,,,,,,,17400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,35.3,430,40,302,44,,,,,,,,,,,,,279,37.5,74.9,,41,10.3,3.33,10.3,1.39,,,,,2.9,0.39,6.26,3.4,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,140207,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 12 / PACIFIC OCEAN,,17.12,17.12,-168.3117,-168.3117,SUBAQUATIC,-2110,-2550,s F7-89-D12-5 [6181],HAWAIITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,238859.28500000003,20617.296,,84150.909,,,,67547.37,65395.05,18935.456,1084.2412000000002,,15440.79,28487.3088,7681.0096,,,,,,,,,,,,,,,,35400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,13.1,564,68,462,72,,,,,,,,,,,,,430,64.9,131,,64.9,16.9,5.49,16.7,2.3,,,,,4.63,0.63,9.71,5.5,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,140208,
[6181],SUBMARINE RIDGE,KARIN RIDGE / KARIN RIDGE / DREDGE 29 / PACIFIC OCEAN,,16.7067,16.7067,-168.2838,-168.2838,SUBAQUATIC,-1950,-2400,s F7-89-D29-4 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,206138.83500000002,19538.483999999997,,84150.909,,,,79517.79000000001,112207.9,25207.071999999996,1161.687,,12535.265,13724.3545,8946.6305,,,,,,,,,,,,,,,,103000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,31.6,794,62,291,84,,,,,,,,,,,,,655,72.5,100,,43.1,9.54,3.03,9.33,1.24,,,,,3.53,0.52,6.18,5.9,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,140209,
