Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6181],SUBMARINE RIDGE,KELI RIDGE / EAST KELI RIDGE / DREDGE 63 / PACIFIC OCEAN,,15.5,15.5,-169.2517,-169.2517,SUBAQUATIC,-2905,-2905,s SO33-D63-5 [6181],TRACHYANDESITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,281068.66550000006,3116.5679999999998,,124744.46070000001,,,,23241.27,15080.169999999998,5970.096,2013.5908,,28557.16,41173.0635,436.42100000000005,,,,,,,,,,,,,,,,65900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,32.2,1170,52,1050,188,,,,,,,,,,,,,1500,137,249,,88.6,13.4,3.84,10.4,1.24,,,,,2.01,0.25,23.3,11.1,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,140165,
[6181],SUBMARINE RIDGE,KELI RIDGE / EAST KELI RIDGE / DREDGE 40 / PACIFIC OCEAN,,15.635,15.635,-169.09,-169.09,SUBAQUATIC,-3050,-3050,s SO37-D40-2 [6181],BASANITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,186693.539,24632.874,,76476.7695,,,,102292.68000000001,103988.85,30574.128,1781.2534,,8218.485,14243.6544,17980.5452,,,,,,,,,,,,,,,,42000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,22.8,1250,60,449,90,,,,,,,,,,,,,556,92.9,176,,86.5,17.3,5.17,1.88,3.82,,,,,15.1,0.54,11.4,7.41,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,140166,
[6181],SUBMARINE RIDGE,KELI RIDGE / EAST KELI RIDGE / DREDGE 41 / PACIFIC OCEAN,,15.635,15.635,-169.1167,-169.1167,SUBAQUATIC,-2400,-2400,s SO37-D41-5 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,217918.19700000001,23074.59,,81345.8787,,,,79284.59999999999,90052.2,34011.456,1161.687,,12452.25,18175.4965,2051.1787,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,27.7,688,26,233,52,,,,,,,,,,,,,519,35.5,72.1,,35.9,8.04,2.59,7.46,0.98,,,,,1.87,0.25,5.52,3.69,,,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,140167,
[6181],SUBMARINE RIDGE,KELI RIDGE / EAST KELI RIDGE / DREDGE 41 / PACIFIC OCEAN,,15.635,15.635,-169.1167,-169.1167,SUBAQUATIC,-2400,-2400,s SO37-D41-41 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6181] ,233904.47400000002,26011.355999999996,,96800.0079,,,,61562.159999999996,69254.43,17126.336,1006.7954,,18595.36,21884.7815,2924.0207,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,33.6,720,30,285,50,,,,,,,,,,,,,416,40.2,85.6,,41.8,9.52,2.98,8.64,1.15,,,,,2.2,0.3,6.67,3.9,,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,140168,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 15 / PACIFIC OCEAN,,15.6833,15.6833,-170.35,-170.35,SUBAQUATIC,-1895,-1895,s SO37-D15-3 [6181],MUGEARITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,259613.399,8049.136199999999,,109184.4813,,,,39564.57,44883.16,8502.864,1781.2534,,37605.795000000006,29896.8371,1527.4734999999998,,,,,,,,,,,,,,,,29900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,116,1790,40,485,116,,,,,,,,,,,,,1160,109,198,,61.6,8.82,2.62,7.28,0.96,,,,,3.04,0.45,7.94,6.19,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,140169,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 15 / PACIFIC OCEAN,,15.6833,15.6833,-170.35,-170.35,SUBAQUATIC,-1895,-1895,s SO37-D15-4 [6181],TRACHYANDESITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,254424.87050000002,6173.202,,129084.31890000001,,,,36844.020000000004,37664.689999999995,9588.336,1161.687,,23161.185,28709.8659,1003.7683000000001,,,,,,,,,,,,,,,,58500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,34.1,2000,26,425,124,,,,,,,,,,,,,1630,68.1,147,,37.4,5.36,1.59,4.08,0.49,,,,,1.35,0.19,7.81,4.08,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,140170,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 15 / PACIFIC OCEAN,,15.6833,15.6833,-170.35,-170.35,SUBAQUATIC,-1895,-1895,s SO37-D15-11 [6181],"BASALT, THOLEIITIC [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,221236.9855,18459.672,,70231.60770000001,,,,101515.38,84549.01,37207.568,1161.687,,6890.245,15504.811299999998,3142.2311999999997,,,,,,,,,,,,,,,,24800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,,,,,,,,,10.7,481,28,213,34,,,,,,,,,,,,,118,22.9,48.2,,28.5,6.95,2.07,6.57,0.94,,,,,2.25,0.32,4.81,2.14,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,140171,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 15 / PACIFIC OCEAN,,15.6833,15.6833,-170.35,-170.35,SUBAQUATIC,-1895,-1895,s SO37-D15-22 [6181],"BASALT, ALKALINE [6181]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,198052.2095,17201.058,,97964.3601,,,,76330.86,101701.81,25629.199999999997,2013.5908,,12203.205,18398.0536,11565.1565,,,,,,,,,,,,,,,,60500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,8.27,2900,62,371,114,,,,,,,,,,,,,949,97.7,176,,75.9,13.3,3.85,10.9,1.44,,,,,3.55,0.51,7.44,7.22,,,,,,,,,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,140172,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 17 / PACIFIC OCEAN,,15.68,15.68,-170.37,-170.37,SUBAQUATIC,-1180,-1628,s SO37-D17-1B [6181],BENMOREITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,262978.931,5873.531999999999,,108708.1554,,,,31791.57,30160.339999999997,7055.567999999999,1239.1328,,41175.44,43917.9344,1047.4104,,,,,,,,,,,,,,,,22100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,142,1410,30,368,90,,,,,,,,,,,,,1750,91.6,153,,41.6,5.86,1.64,4.64,0.62,,,,,2.12,0.32,7.08,3.67,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,140173,
[6181],SUBMARINE RIDGE,KELI RIDGE / WEST KELI RIDGE / DREDGE 17 / PACIFIC OCEAN,,15.68,15.68,-170.37,-170.37,SUBAQUATIC,-1180,-1628,s SO37-D17-1E [6181],MUGEARITE [6181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6181] ,263399.62250000006,6173.202,,104791.698,,,,34201.200000000004,45955.21,8502.864,1394.0244,,38435.945,29600.0943,5629.8309,,,,,,,,,,,,,,,,39700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,113,1780,50,390,92,,,,,,,,,,,,,1600,112,171,,56.8,8.42,2.33,6.5,0.91,,,,,2.82,0.43,7.95,4.75,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,140174,
