Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-28-3,93-97 [2089]","BASALT, ALKALINE [2089]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,209036.932,25412.016,,77429.4213,,39865.8,58297.5,,60535.090000000004,24242.207999999995,1858.6992,,19010.435,21513.853,8641.1358,,17100.,,,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601,,,,33,,323,18,,,43,14,9,123,18,,,,,19,672,42,255,37,,,,,,,,,,,,,1334,62.6,131.9,,67,15.3,5.95,,1.71,,,,,2.98,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128416,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-30-2,72-76 [2089]",BASALT [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,225677.61800000002,20976.899999999998,,74994.8667,,37697.659999999996,52079.1,,37807.63,30996.255999999998,2091.0366,,32541.88,24407.0953,4800.631,,19100.,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477,,,,25,,195,0,,,23,0,0,107,19,,,,,42,415,35,287,42,,,,,,,,,,,,,1088,53.9,109.9,,52,12,4.6,,1.53,,,,,3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128417,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-31-2,3-7 [2089]","BASALT, ALKALINE [2089]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,222265.3425,21696.108,,75047.7918,,38536.939999999995,52079.1,,43596.7,30332.912,1936.145,,22165.005,24258.7239,4975.1993999999995,,25299.999999999996,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,25,,198,0,,,28,0,0,118,19,,,,,33,489,36,275,40,,,,,,,,,,,,,1027,53.9,111.5,,54,12.3,4.78,,1.5,,,,,3.04,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128418,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-32-3,40-44 [2089]",BASALT [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,18.6,,14.8,5.28,1.77,5.93,1.08,,,,0.6,4.06,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128419,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-34-1,74-79 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,223854.6215,10967.922,,77164.7958,,34970,50913.15,,80832.57,43599.792,1781.2534,,1328.24,18620.610699999997,741.9157,,15100.,,,2500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,,,,39,,422,217,,,42,67,162,78,14,,,,,0,162,33,134,0,,,,,,,,,,,,,61,6.96,17.6,,14.4,5.09,1.67,5.83,1,,,,0.55,3.82,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128420,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-32-2,124-130 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,218292.14500000002,11507.328,,79070.0994,,41264.600000000006,41585.549999999996,,83977.25,36725.136,2710.6029999999996,,1909.345,23071.752699999997,872.8420000000001,,11399.999999999998,,,13200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,50,,460,222,,,54,77,157,78,15,,,,,0,180,31,145,0,,,,,,,,,,,,,62,24,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128421,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-32-2,127-133 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,220255.372,11387.46,,78540.8484,,33850.96,47803.950000000004,,84620.48,37207.568,2633.1572,,1577.285,22626.638499999997,829.1999000000001,,12700.,,,10300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,47,,471,216,,,46,73,172,82,14,,,,,0,179,29,145,0,,,,,,,,,,,,,72,24,0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128422,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-32-2,40-44 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,225116.696,11387.46,,79123.0245,,38606.88,46249.35,,83048.14,39016.687999999995,1936.145,,1245.225,20104.324699999997,785.5577999999999,,12500.,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2667,,,,36,,447,214,,,44,72,162,78,15,,,,,0,178,35,141,0,,,,,,,,,,,,,67,23,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128423,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-33-1,34-38 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,223854.6215,11207.658,,78011.5974,,36578.62,48969.9,,83119.61,40644.896,1858.6992,,1245.225,19881.7676,785.5577999999999,,13200.,,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932,,,,39,,421,217,,,42,71,166,77,14,,,,,0,171,33,139,0,,,,,,,,,,,,,60,21,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128424,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-33-1,144-150 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,221423.9595,11447.393999999998,,77270.64600000001,,38676.82,46638,,76258.49,43841.007999999994,1781.2534,,1992.36,19288.282,741.9157,,23600.,,,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,44,,454,211,,,46,69,152,82,13,,,,,0,168,33,132,0,,,,,,,,,,,,,69,23,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128425,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-33-2,64-70 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,223620.90400000004,10967.922,,78434.9982,,37557.78,49358.549999999996,,73185.28,45650.128,1626.3618,,1992.36,20623.6246,785.5577999999999,,19400.,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,41,,445,210,,,47,70,124,74,15,,,,,0,166,34,135,0,,,,,,,,,,,,,195,23,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128426,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-33-3,135-140 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,224509.03050000002,11087.789999999999,,77694.0468,,36158.979999999996,48969.9,,81547.27,43539.488,1703.8076,,1162.21,20846.1817,741.9157,,13799.999999999998,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,,,,41,,442,222,,,42,66,171,76,13,,,,,0,166,33,127,0,,,,,,,,,,,,,59,22,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128427,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-33-4,25-29 [2089]",THOLEIITE [2089],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2089] ,221751.16400000002,10907.988,,77270.64600000001,,33920.899999999994,52079.1,,80761.1,42634.928,1703.8076,,1079.195,19436.6534,785.5577999999999,,21100.,,,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,,,,38,,431,212,,,46,67,150,73,13,,,,,0,165,33,130,0,,,,,,,,,,,,,60,21,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128428,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-26-6,61-63 [2089]",NOT GIVEN [2089],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [2089] ,238999.51550000004,5693.73,,73618.8141,,29724.5,5829.75,,67396.20999999999,10251.679999999998,1936.145,,29221.28,22033.1529,829.1999000000001,,27900.,,,74700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,9,,176,20,,,13,11,0,127,19,,,,,52,191,26,525,78,,,,,,,,,,,,,240,26,72,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128429,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-28-4,108-110 [2089]",NOT GIVEN [2089],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [2089] ,242271.56050000002,11327.525999999998,,81504.65400000001,,32592.04,21764.399999999998,,30589.160000000003,19236.976,851.9038,,44911.115,18768.982099999997,1963.8945,,42900.,,,20900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128430,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-32-2,35-38 [2089]",NOT GIVEN [2089],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [2089] ,206279.06550000003,7012.277999999999,,71025.4842,,21891.219999999998,18266.55,,82905.2,17789.68,1316.5786,,22165.005,25668.2522,1396.5472,,66400.,,,70700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128431,
[2089],SUBMARINE RIDGE,WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN,HOLE 524,-29.4842,-29.4842,3.5123,3.5123,SUBAQUATIC,-4805,-4805,"s 73-524-35-1,102-104 [2089]",NOT GIVEN [2089],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [2089] ,206559.5265,12526.205999999998,,73989.2898,,48118.72,13991.4,,54317.2,29669.568,2091.0366,,7637.38,36721.9215,1876.6103,,47600.,,,63300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,,,28,,283,122,,,192,50,0,68,6,,,,,11,140,8,234,28,,,,,,,,,,,,,265,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128432,
